tempo_ms,angulo_deg,u_pct,referencia
13,-1.16,50.11,45.05
23,-1.16,27.22,45.09
33,-1.16,27.54,45.13
42,-1.16,27.89,45.16
52,-1.19,28.91,45.20
63,-1.22,29.24,45.24
73,-1.24,29.39,45.28
83,-1.24,29.18,45.32
92,-1.22,29.34,45.35
103,-1.21,29.62,45.40
113,-1.21,30.30,45.44
123,-1.20,30.49,45.48
132,-1.20,30.76,45.51
143,-1.19,31.13,45.56
153,-1.16,30.89,45.60
165,-1.73,43.63,45.65
173,-1.69,31.77,45.68
184,-1.64,31.95,45.72
193,-1.58,31.89,45.76
203,-1.50,31.96,45.80
213,-1.42,32.02,45.84
223,-1.31,31.87,45.89
234,-1.19,31.85,45.93
243,-1.07,32.19,45.97
253,-0.95,32.49,46.01
263,-0.80,32.03,46.05
274,-0.61,31.53,46.10
284,-0.40,31.35,46.14
293,-0.19,31.42,46.18
303,0.03,31.56,46.23
314,0.25,31.72,46.27
324,0.49,31.55,46.32
333,0.76,31.11,46.36
343,1.06,30.59,46.40
354,1.41,29.76,46.45
364,1.79,29.29,46.49
374,2.18,29.29,46.54
383,2.55,29.69,46.58
393,2.91,29.87,46.62
404,3.28,29.89,46.67
414,3.67,29.76,46.71
423,4.07,29.43,46.76
433,4.50,28.76,46.80
444,4.99,27.83,46.85
454,5.51,27.09,46.90
464,6.03,27.22,46.94
473,6.53,27.51,46.98
484,7.04,27.41,47.04
494,7.57,26.80,47.08
504,8.14,26.15,47.13
514,8.70,26.23,47.17
523,9.25,26.55,47.22
534,9.80,26.19,47.27
544,10.39,25.67,47.32
554,10.96,25.70,47.36
563,11.54,25.55,47.41
574,12.13,25.48,47.46
584,12.72,25.13,47.51
594,13.31,25.20,47.56
604,13.90,25.01,47.60
614,14.51,24.49,47.65
624,15.09,24.99,47.70
634,15.68,24.82,47.75
644,16.28,24.50,47.80
654,16.85,24.84,47.85
664,17.44,24.49,47.90
674,18.01,24.75,47.95
684,18.58,24.65,48.00
695,19.14,24.73,48.05
704,19.70,24.59,48.10
714,20.24,24.98,48.15
724,20.79,24.69,48.20
734,21.32,24.88,48.25
745,21.85,24.82,48.30
754,22.38,24.78,48.35
764,22.90,24.92,48.40
774,23.40,25.16,48.45
785,23.88,25.43,48.51
794,24.36,25.37,48.56
804,24.82,25.62,48.61
814,25.28,25.69,48.66
825,25.71,26.13,48.72
835,26.14,25.99,48.77
844,26.56,26.25,48.82
854,26.96,26.51,48.87
864,27.35,26.70,48.92
875,27.73,27.00,48.98
885,28.10,27.05,49.03
894,28.44,27.41,49.08
904,28.79,27.44,49.13
915,29.11,27.95,49.19
925,29.43,28.01,49.25
934,29.71,28.57,49.30
944,29.97,29.12,49.35
955,30.22,29.37,49.41
965,30.46,29.56,49.46
975,30.69,29.81,49.52
984,30.90,30.22,49.57
995,31.11,30.27,49.63
1005,31.29,30.86,49.68
1015,31.46,31.26,49.74
1024,31.63,31.25,49.79
1034,31.76,31.92,49.84
1045,31.90,32.06,49.91
1055,32.02,32.53,49.96
1065,32.14,32.47,50.02
1074,32.25,32.77,50.07
1085,32.34,33.35,50.13
1095,32.40,34.10,50.19
1105,32.44,34.42,50.24
1115,32.49,34.46,50.30
1125,32.54,34.74,50.36
1135,32.57,35.16,50.41
1145,32.62,34.75,50.47
1155,32.68,34.82,50.53
1165,32.74,34.88,50.59
1175,32.79,35.24,50.64
1185,32.82,35.71,50.70
1195,32.85,36.03,50.76
1205,32.84,36.72,50.82
1215,32.82,37.25,50.88
1225,32.79,37.57,50.94
1235,32.78,37.45,51.00
1245,32.77,37.48,51.05
1255,32.77,37.43,51.11
1265,32.76,37.92,51.17
1275,32.74,38.07,51.23
1285,32.74,37.89,51.29
1296,32.76,37.84,51.36
1305,32.78,37.79,51.41
1315,32.76,38.75,51.47
1325,32.79,38.05,51.53
1336,32.83,37.80,51.60
1345,32.86,38.40,51.65
1355,32.88,38.44,51.71
1365,32.92,38.30,51.77
1375,32.96,38.54,51.83
1386,32.99,38.72,51.90
1395,33.05,38.43,51.96
1405,33.09,38.80,52.02
1415,33.12,39.29,52.08
1426,33.18,38.75,52.15
1436,33.23,39.12,52.21
1445,33.28,39.23,52.26
1455,33.34,39.15,52.33
1466,33.42,38.76,52.39
1476,33.49,39.09,52.46
1485,33.57,39.13,52.51
1495,33.66,38.99,52.58
1506,33.75,39.15,52.64
1516,33.86,38.86,52.71
1526,33.95,39.32,52.77
1535,34.05,39.16,52.83
1545,34.16,39.20,52.89
1556,34.26,39.40,52.96
1566,34.38,39.01,53.02
1575,34.50,39.29,53.08
1585,34.63,39.12,53.14
1596,34.76,39.17,53.22
1606,34.89,39.18,53.28
1616,35.04,39.06,53.34
1625,35.17,39.25,53.40
1636,35.33,39.01,53.47
1646,35.47,39.20,53.54
1656,35.63,39.05,53.60
1665,35.78,39.27,53.66
1675,35.95,39.02,53.73
1686,36.12,39.08,53.80
1696,36.29,39.03,53.86
1706,36.46,38.98,53.93
1715,36.65,38.81,53.99
1726,36.84,38.93,54.06
1736,37.03,38.86,54.12
1746,37.22,38.88,54.19
1756,37.41,38.88,54.26
1766,37.61,38.65,54.32
1776,37.81,38.85,54.39
1786,38.02,38.58,54.46
1796,38.22,38.94,54.52
1806,38.43,38.59,54.59
1816,38.64,38.70,54.66
1826,38.86,38.63,54.72
1836,39.08,38.49,54.79
1847,39.28,38.90,54.86
1856,39.51,38.52,54.92
1866,39.71,38.89,54.99
1876,39.93,38.68,55.06
1886,40.14,38.73,55.13
1896,40.36,38.75,55.19
1906,40.58,38.65,55.26
1916,40.79,38.88,55.33
1926,41.01,38.51,55.40
1937,41.23,38.72,55.47
1946,41.45,38.68,55.53
1956,41.67,38.77,55.60
1966,41.90,38.48,55.67
1977,42.11,38.82,55.75
1986,42.33,38.81,55.81
1996,42.54,38.95,55.88
2006,42.74,39.04,55.94
2016,42.96,38.78,56.01
2027,43.16,39.04,56.09
2036,43.38,38.81,56.15
2046,43.58,39.08,56.22
2056,43.79,38.98,56.29
2067,43.99,39.01,56.37
2077,44.19,39.22,56.44
2086,44.40,39.00,56.50
2096,44.58,39.56,56.57
2107,44.78,39.25,56.65
2117,44.96,39.56,56.72
2126,45.14,39.46,56.78
2136,45.33,39.50,56.85
2147,45.51,39.68,56.93
2157,45.69,39.53,57.00
2167,45.86,39.98,57.07
2176,46.03,39.75,57.13
2186,46.19,40.14,57.20
2197,46.35,40.03,57.28
2207,46.52,39.96,57.35
2217,46.68,40.09,57.42
2226,46.85,40.06,57.48
2237,47.00,40.25,57.56
2247,47.16,40.31,57.63
2257,47.31,40.36,57.70
2266,47.46,40.44,57.77
2277,47.62,40.37,57.85
2287,47.77,40.47,57.92
2297,47.92,40.45,57.99
2307,48.06,40.72,58.06
2317,48.21,40.67,58.13
2327,48.34,40.96,58.20
2337,48.48,40.80,58.28
2347,48.61,40.97,58.35
2357,48.75,40.93,58.42
2367,48.89,40.95,58.49
2377,49.01,41.21,58.56
