tempo_ms,angulo_deg,u_pct,referencia
13,-0.90,18.52,0.00
23,-0.90,0.60,0.00
32,-0.90,0.56,0.00
42,-0.91,0.57,0.00
53,-0.91,0.56,0.00
63,-0.91,0.62,0.00
72,-0.91,0.52,0.00
82,-0.90,0.51,0.00
93,-0.90,0.57,0.00
103,-0.90,0.56,0.00
113,-0.90,0.58,0.00
122,-0.90,0.55,0.00
133,-0.90,0.61,0.00
143,-0.90,0.59,0.00
153,-0.90,0.53,0.00
162,-0.89,0.57,0.00
172,-0.89,0.57,0.00
183,-0.89,0.52,0.00
193,-0.89,0.58,0.00
203,-0.88,0.57,0.00
212,-0.88,0.61,0.00
223,-0.88,0.62,0.00
233,-0.88,0.64,0.00
243,-0.88,0.64,0.00
252,-0.88,0.68,0.00
263,-0.88,0.67,0.00
273,-0.88,0.65,0.00
283,-0.88,0.63,0.00
293,-0.88,0.64,0.00
302,-0.87,0.64,0.00
313,-0.87,0.67,0.00
323,-0.87,0.69,0.00
333,-0.87,0.68,0.00
343,-0.87,0.74,0.00
353,-0.87,0.72,0.00
363,-0.88,0.74,0.00
373,-0.88,0.76,0.00
383,-0.88,0.70,0.00
393,-0.88,0.75,0.00
403,-0.88,0.74,0.00
413,-0.88,0.73,0.00
423,-0.87,0.73,0.00
434,-0.88,0.79,0.00
443,-0.88,0.79,0.00
453,-0.88,0.78,0.00
463,-0.88,0.76,0.00
474,-0.88,0.78,0.00
483,-0.88,0.79,0.00
493,-0.88,0.75,0.00
503,-0.88,0.81,0.00
513,-0.88,0.79,0.00
524,-0.87,0.79,0.00
533,-0.87,0.79,0.00
543,-0.87,0.85,0.00
553,-0.87,0.80,0.00
564,-0.87,0.78,0.00
573,-0.87,0.83,0.00
583,-0.87,0.83,0.00
593,-0.87,0.80,0.00
604,-0.87,0.83,0.00
614,-0.87,0.85,0.00
623,-0.86,0.83,0.00
633,-0.86,0.81,0.00
643,-0.86,0.87,0.00
654,-0.86,0.87,0.00
664,-0.86,0.90,0.00
673,-0.86,0.90,0.00
683,-0.86,0.87,0.00
694,-0.86,0.88,0.00
704,-0.86,0.93,0.00
713,-0.86,0.91,0.00
723,-0.86,0.89,0.00
734,-0.86,0.92,0.00
744,-0.86,0.93,0.00
754,-0.86,0.97,0.00
763,-0.86,0.99,0.00
774,-0.87,0.98,0.00
784,-0.86,0.93,0.00
794,-0.86,0.92,0.00
803,-0.86,0.95,0.00
813,-0.86,0.95,0.00
824,-0.86,0.93,0.00
834,-0.86,0.95,0.00
844,-0.86,0.98,0.00
853,-0.86,0.99,0.00
864,-0.86,0.98,0.00
874,-0.86,1.05,0.00
884,-0.86,1.00,0.00
893,-0.86,1.01,0.00
904,-0.86,0.97,0.00
914,-0.86,1.04,0.00
924,-0.85,0.98,0.00
934,-0.85,1.01,0.00
944,-0.85,1.00,0.00
954,-0.85,1.04,0.00
964,-0.85,1.07,0.00
974,-0.85,1.07,0.00
983,-0.85,1.03,0.00
994,-0.85,1.04,0.00
1004,-0.85,1.08,0.00
1014,-0.85,1.07,0.00
1024,-0.85,1.07,0.00
1034,-0.85,1.13,0.00
1044,-0.85,1.08,0.00
1054,-0.85,1.15,0.00
1064,-0.85,1.12,0.00
1074,-0.86,1.17,0.00
1084,-0.86,1.09,0.00
1094,-0.86,1.15,0.00
1104,-0.86,1.13,0.00
1115,-0.86,1.15,0.00
1124,-0.86,1.22,0.00
1134,-0.86,1.18,0.00
1144,-0.87,1.20,0.00
1154,-0.87,1.19,0.00
1164,-0.86,1.14,0.00
1174,-0.86,1.13,0.00
1184,-0.86,1.17,0.00
1194,-0.86,1.15,0.00
1205,-0.86,1.16,0.00
1214,-0.86,1.23,0.00
1224,-0.86,1.22,0.00
1234,-0.86,1.20,0.00
1245,-0.86,1.17,0.00
1255,-0.86,1.21,0.00
1264,-0.86,1.21,0.00
1274,-0.86,1.24,0.00
1285,-0.86,1.29,0.00
1295,-0.86,1.23,0.00
1304,-0.86,1.26,0.00
1314,-0.86,1.22,0.00
1324,-0.86,1.25,0.00
1335,-0.86,1.29,0.00
1345,-0.86,1.26,0.00
1354,-0.86,1.31,0.00
1364,-0.86,1.29,0.00
1375,-0.86,1.26,0.00
1385,-0.86,1.28,0.00
1394,-0.86,1.30,0.00
1404,-0.86,1.32,0.00
1415,-0.86,1.32,0.00
1425,-0.86,1.32,0.00
1435,-0.86,1.37,0.00
1444,-0.87,1.39,0.00
1454,-0.87,1.35,0.00
1465,-0.87,1.33,0.00
1475,-0.87,1.33,0.00
1485,-0.87,1.38,0.00
1494,-0.87,1.36,0.00
1505,-0.87,1.34,0.00
1515,-0.87,1.38,0.00
1525,-0.87,1.40,0.00
1534,-0.87,1.45,0.00
1545,-0.87,1.40,0.00
1555,-0.87,1.39,0.00
1565,-0.87,1.43,0.00
1575,-0.87,1.38,0.00
1585,-0.87,1.39,0.00
1595,-0.86,1.31,0.00
1605,-0.86,1.41,0.00
1615,-0.86,1.42,0.00
1624,-0.86,1.44,0.00
1635,-0.87,1.48,0.00
1645,-0.87,1.45,0.00
1655,-0.87,1.49,0.00
1665,-0.87,1.50,0.00
1675,-0.87,1.49,0.00
1685,-0.87,1.49,0.00
1695,-0.87,1.45,0.00
1705,-0.87,1.53,0.00
1715,-0.87,1.42,0.00
1725,-0.87,1.47,0.00
1735,-0.87,1.50,0.00
1745,-0.86,1.45,0.00
1756,-0.87,1.53,0.00
1765,-0.87,1.50,0.00
1775,-0.87,1.56,0.00
1785,-0.87,1.55,0.00
1795,-0.87,1.56,0.00
1805,-0.87,1.49,0.00
1815,-0.87,1.53,0.00
1825,-0.87,1.57,0.00
1835,-0.87,1.56,0.00
1846,-0.87,1.60,0.00
1855,-0.87,1.53,0.00
1865,-0.87,1.54,0.00
1875,-0.87,1.58,0.00
1886,-0.87,1.60,0.00
1896,-0.87,1.56,0.00
1905,-0.87,1.60,0.00
1915,-0.87,1.62,0.00
1926,-0.87,1.64,0.00
1936,-0.87,1.64,0.00
1945,-0.87,1.63,0.00
1955,-0.87,1.63,0.00
1965,-0.87,1.60,0.00
1976,-0.87,1.63,0.00
1986,-0.87,1.65,0.00
1995,-0.87,1.66,0.00
2005,-0.87,1.69,0.00
2016,-0.87,1.68,0.00
2026,-0.87,1.68,0.00
2036,-0.87,1.69,0.00
2045,-0.87,1.67,0.00
2056,-0.87,1.66,0.00
2066,-0.87,1.69,0.00
2076,-0.87,1.71,0.00
2085,-0.87,1.71,0.00
2096,-0.87,1.73,0.00
