tempo_us,angulo_deg,motor_percent
0,-86.39,0
889,-86.40,0
1778,-86.39,0
2667,-86.36,0
3556,-86.34,0
4445,-86.33,0
5334,-86.34,0
6223,-86.35,0
7112,-86.34,0
8001,-86.33,0
8890,-86.32,0
9779,-86.33,0
10668,-86.35,0
11557,-86.37,0
12446,-86.36,0
13335,-86.34,0
14224,-86.33,0
15113,-86.32,0
16002,-86.33,0
16891,-86.33,0
17780,-86.33,0
18669,-86.32,0
19558,-86.31,0
20447,-86.32,0
21336,-86.33,0
22225,-86.33,0
23114,-86.33,0
24003,-86.32,0
24892,-86.31,0
25781,-86.31,0
26670,-86.31,0
27559,-86.31,0
28448,-86.31,0
29337,-86.31,0
30226,-86.31,0
31115,-86.31,0
32004,-86.31,0
32893,-86.31,0
33782,-86.31,0
34671,-86.31,0
35560,-86.31,0
36449,-86.31,0
37338,-86.31,0
38227,-86.31,0
39116,-86.31,0
40005,-86.31,0
40894,-86.30,0
41783,-86.30,0
42672,-86.29,0
43561,-86.29,0
44450,-86.29,0
45339,-86.29,0
46228,-86.29,0
47117,-86.29,0
48006,-86.29,0
48895,-86.29,0
49784,-86.29,0
50673,-86.29,0
51562,-86.29,0
52451,-86.29,0
53340,-86.29,0
54229,-86.29,0
55118,-86.29,0
56007,-86.29,0
56896,-86.30,0
57785,-86.30,0
58674,-86.30,0
59563,-86.30,0
60452,-86.30,0
61341,-86.29,0
62230,-86.29,0
63119,-86.29,0
64008,-86.29,0
64897,-86.29,0
65786,-86.29,0
66675,-86.28,0
67564,-86.28,0
68453,-86.28,0
69342,-86.28,0
70231,-86.28,0
71120,-86.28,0
72009,-86.28,0
72898,-86.28,0
73787,-86.28,0
74676,-86.29,0
75565,-86.29,0
76454,-86.29,0
77343,-86.29,0
78232,-86.28,0
79121,-86.28,0
80010,-86.28,0
80899,-86.28,0
81788,-86.28,0
82677,-86.28,0
83566,-86.27,0
84455,-86.27,0
85344,-86.27,0
86233,-86.28,0
87122,-86.28,0
88011,-86.28,0
88900,-86.28,0
89789,-86.29,0
90678,-86.29,0
91567,-86.29,0
92456,-86.29,0
93345,-86.28,0
94234,-86.28,0
95123,-86.28,0
96012,-86.28,0
96901,-86.28,0
97790,-86.28,0
98679,-86.27,0
99568,-86.27,0
100457,-86.27,0
101346,-86.26,0
102235,-86.26,0
103124,-86.26,0
104013,-86.26,0
104902,-86.26,0
105791,-86.26,0
106680,-86.26,0
107569,-86.26,0
108458,-86.26,0
109347,-86.26,0
110236,-86.26,0
111125,-86.27,0
112014,-86.27,0
112903,-86.27,0
113792,-86.27,0
114681,-86.27,0
115570,-86.27,0
116459,-86.27,0
117348,-86.27,0
118237,-86.27,0
119126,-86.27,0
120015,-86.26,0
120904,-86.26,0
121793,-86.26,0
122682,-86.26,0
123571,-86.26,0
124460,-86.26,0
125349,-86.26,0
126238,-86.26,0
127127,-86.26,0
128016,-86.26,0
128905,-86.26,0
129794,-86.26,0
130683,-86.26,0
131572,-86.25,0
132461,-86.25,0
133350,-86.25,0
134239,-86.25,0
135128,-86.25,0
136017,-86.25,0
136906,-86.26,35
137795,-86.26,35
138684,-86.26,35
139573,-86.26,35
140462,-86.26,35
141351,-86.26,35
142240,-86.26,35
143129,-86.26,35
144018,-86.26,35
144907,-86.26,35
145796,-86.27,35
146685,-86.25,35
147574,-86.33,35
148463,-86.29,35
149352,-86.30,35
150241,-86.31,35
151130,-86.39,35
152019,-84.66,35
152908,-84.69,35
153797,-84.73,35
154686,-84.79,35
155575,-84.81,35
156464,-84.87,35
157353,-83.17,35
158242,-83.21,35
159131,-83.28,35
160020,-83.33,35
160909,-83.40,35
161798,-83.48,35
162687,-83.51,35
163576,-83.58,35
164465,-83.62,35
165354,-83.69,35
166243,-83.75,35
167132,-83.79,35
168021,-83.84,35
168910,-83.88,35
169799,-83.93,35
170688,-83.98,35
171577,-84.02,35
172466,-84.06,35
173355,-84.10,35
174244,-84.14,35
175133,-84.18,35
176022,-82.49,35
176911,-82.55,35
177800,-82.62,35
178689,-82.77,35
179578,-82.84,35
180467,-82.86,35
181356,-82.89,35
182245,-82.92,35
183134,-82.93,35
184023,-82.94,35
184912,-82.95,35
185801,-82.96,35
186690,-82.95,35
187579,-82.93,35
188468,-82.94,35
189357,-82.92,35
190246,-82.90,35
191135,-82.89,35
192024,-82.89,35
192913,-82.87,35
193802,-82.84,35
194691,-82.83,35
195580,-82.81,35
196469,-82.77,35
197358,-82.72,35
198247,-82.69,35
199136,-82.65,35
200025,-82.60,35
200914,-82.54,35
201803,-82.50,35
202692,-82.47,35
203581,-82.40,35
204470,-82.35,35
205359,-82.30,35
206248,-82.24,35
207137,-82.16,35
208026,-82.09,35
208915,-82.03,35
209804,-81.95,35
210693,-81.86,35
211582,-81.78,35
212471,-81.71,35
213360,-81.64,35
214249,-81.55,35
215138,-81.47,35
216027,-81.38,35
216916,-81.27,35
217805,-81.17,35
218694,-81.07,35
219583,-80.98,35
220472,-80.87,35
221361,-80.75,35
222250,-80.65,35
223139,-80.54,35
224028,-80.42,35
224917,-80.30,35
225806,-80.19,35
226695,-80.08,35
227584,-79.96,35
228473,-79.83,35
229362,-79.71,35
230251,-79.58,35
231140,-79.44,35
232029,-79.30,35
232918,-79.16,35
233807,-79.03,35
234696,-78.88,35
235585,-78.72,35
236474,-78.58,35
237363,-78.43,35
238252,-78.27,35
239141,-78.10,35
240030,-77.95,35
240919,-77.79,35
241808,-77.61,35
242697,-77.44,35
243586,-77.28,35
244475,-77.12,35
245364,-76.94,35
246253,-76.76,35
247142,-76.60,35
248031,-76.42,35
248920,-76.24,35
249809,-76.05,35
250698,-75.88,35
251587,-75.70,35
252476,-75.51,35
253365,-75.31,35
254254,-75.13,35
255143,-74.93,35
256032,-74.72,35
256921,-74.52,35
257810,-74.34,35
258699,-74.14,35
259588,-73.93,35
260477,-73.73,35
261366,-73.54,35
262255,-73.32,35
263144,-73.09,35
264033,-72.89,35
264922,-72.69,35
265811,-72.46,35
266700,-72.23,35
267589,-72.03,35
268478,-71.82,35
269367,-71.58,35
270256,-71.36,35
271145,-71.15,35
272034,-70.92,35
272923,-70.69,35
273812,-70.45,35
274701,-70.23,35
275590,-70.00,35
276479,-69.76,35
