tempo_ms,angulo_deg,u_pct,referencia
12,-1.80,63.28,45.00
22,-1.80,27.56,45.00
32,-1.80,27.91,45.00
42,-1.80,28.21,45.00
52,-1.80,28.56,45.00
62,-1.81,28.87,45.00
72,-1.81,29.24,45.00
82,-1.81,29.44,45.00
92,-1.81,29.77,45.00
102,-1.81,30.10,45.00
112,-1.82,30.46,45.00
122,-1.82,30.68,45.00
132,-1.82,31.03,45.00
143,-1.82,31.32,45.00
152,-1.82,31.64,45.00
162,-1.82,31.93,45.00
172,-1.81,32.21,45.00
183,-1.81,32.56,45.00
192,-1.82,32.94,45.00
202,-1.82,33.25,45.00
212,-1.82,33.47,45.00
223,-1.81,33.74,45.00
233,-1.81,34.11,45.00
242,-1.81,34.40,45.00
252,-1.81,34.70,45.00
262,-1.81,35.05,45.00
273,-1.81,35.35,45.00
283,-1.81,35.65,45.00
292,-1.81,35.94,45.00
302,-1.80,36.20,45.00
313,-1.80,36.60,45.00
323,-1.80,36.96,45.00
332,-1.81,37.27,45.00
342,-1.81,37.57,45.00
353,-1.81,37.81,45.00
363,-1.80,38.11,45.00
373,-1.80,38.41,45.00
382,-1.80,38.73,45.00
392,-1.80,39.10,45.00
403,-1.80,39.46,45.00
413,-1.80,39.75,45.00
422,-1.81,40.04,45.00
432,-1.81,40.40,45.00
443,-1.81,40.66,45.00
453,-1.80,40.88,45.00
463,-1.80,41.27,45.00
472,-1.81,41.65,45.00
483,-1.81,41.92,45.00
493,-1.81,42.25,45.00
503,-1.81,42.56,45.00
513,-1.82,42.89,45.00
523,-1.82,43.18,45.00
533,-1.82,43.46,45.00
543,-1.82,43.81,45.00
553,-1.82,44.12,45.00
562,-1.83,44.46,45.00
573,-1.83,44.74,45.00
583,-1.82,44.95,45.00
593,-1.82,45.26,45.00
603,-1.82,45.57,45.00
613,-1.82,45.95,45.00
623,-1.82,46.26,45.00
633,-1.82,46.58,45.00
643,-1.82,46.88,45.00
654,-1.82,47.20,45.00
663,-1.82,47.49,45.00
673,-1.82,47.81,45.00
683,-1.82,48.14,45.00
694,-1.82,48.47,45.00
703,-1.82,48.82,45.00
713,-1.83,49.12,45.00
723,-1.83,49.36,45.00
733,-1.82,49.66,45.00
744,-1.82,49.95,45.00
753,-1.82,50.34,45.00
763,-1.82,50.62,45.00
773,-1.82,50.90,45.00
784,-1.82,51.24,45.00
794,-1.82,51.50,45.00
803,-1.82,51.80,45.00
813,-1.82,52.14,45.00
824,-1.81,52.44,45.00
834,-1.81,52.78,45.00
843,-1.81,53.09,45.00
853,-1.81,53.38,45.00
864,-1.81,53.68,45.00
874,-1.81,54.03,45.00
884,-1.81,54.35,45.00
893,-1.81,54.64,45.00
903,-1.81,54.94,45.00
914,-1.81,55.33,45.00
924,-1.81,55.65,45.00
933,-1.81,55.90,45.00
943,-1.81,56.17,45.00
954,-1.81,56.52,45.00
964,-1.81,56.80,45.00
974,-1.81,57.10,45.00
983,-1.81,57.44,45.00
994,-1.80,57.74,45.00
1004,-1.80,58.07,45.00
1014,-1.81,58.41,45.00
1024,-1.80,58.66,45.00
1034,-1.81,59.06,45.00
1044,-1.81,59.35,45.00
1054,-1.81,59.66,45.00
1064,-1.81,59.97,45.00
1073,-1.81,60.32,45.00
1084,-1.82,60.64,45.00
1094,-1.82,60.89,45.00
1104,-1.82,61.24,45.00
1114,-1.82,61.50,45.00
1124,-1.82,61.87,45.00
1134,-1.82,62.17,45.00
1144,-1.82,62.44,45.00
1154,-1.82,62.75,45.00
1164,-1.82,63.03,45.00
1174,-1.82,63.41,45.00
1184,-1.82,63.71,45.00
1194,-1.83,64.03,45.00
1205,-1.83,64.32,45.00
1214,-1.83,64.60,45.00
1224,-1.82,64.91,45.00
1234,-1.82,65.20,45.00
1244,-1.82,65.54,45.00
1254,-1.82,65.88,45.00
1264,-1.82,66.18,45.00
1274,-1.82,66.49,45.00
1284,-1.82,66.78,45.00
1295,-1.82,67.06,45.00
1304,-1.82,67.41,45.00
1314,-1.82,67.75,45.00
1324,-1.82,68.04,45.00
1335,-1.82,68.35,45.00
1344,-1.82,68.64,45.00
1354,-1.82,68.94,45.00
1364,-1.82,69.26,45.00
1375,-1.82,69.62,45.00
1384,-1.82,69.93,45.00
1394,-1.82,70.19,45.00
1404,-1.81,70.44,45.00
1414,-1.81,70.77,45.00
1425,-1.80,71.07,45.00
1434,-1.81,71.49,45.00
1444,-1.81,71.78,45.00
1454,-1.81,72.12,45.00
1465,-1.81,72.45,45.00
1475,-1.81,72.72,45.00
1484,-1.81,73.06,45.00
1494,-1.81,73.32,45.00
1505,-1.81,73.61,45.00
1515,-1.81,73.96,45.00
1524,-1.81,74.28,45.00
1534,-1.81,74.58,45.00
1544,-1.82,74.89,45.00
1555,-1.81,75.17,45.00
1564,-1.81,75.44,45.00
1574,-1.81,75.80,45.00
1584,-1.81,76.17,45.00
1595,-1.81,76.46,45.00
1605,-1.81,76.76,45.00
1614,-1.81,77.02,45.00
1624,-1.81,77.36,45.00
1635,-1.81,77.69,45.00
1645,-1.81,78.04,45.00
1654,-1.82,78.35,45.00
1664,-1.82,78.65,45.00
1675,-1.82,78.99,45.00
1685,-1.82,79.25,45.00
1695,-1.82,79.48,45.00
1704,-1.82,79.84,45.00
