tempo_s,referencia_deg
0.0,45.0
0.01,45.0
0.02,45.0
0.03,45.0
0.04,45.0
0.05,45.0
0.06,45.0
0.07,45.0
0.08,45.0
0.09,45.0
0.1,45.0
0.11,45.0
0.12,45.0
0.13,45.0
0.14,45.0
0.15,45.0
0.16,45.0
0.17,45.0
0.18,45.0
0.19,45.0
0.2,45.0
0.21,45.0
0.22,45.0
0.23,45.0
0.24,45.0
0.25,45.0
0.26,45.0
0.27,45.0
0.28,45.0
0.29,45.0
0.3,45.0
0.31,45.0
0.32,45.0
0.33,45.0
0.34,45.0
0.35000000000000003,45.0
0.36,45.0
0.37,45.0
0.38,45.0
0.39,45.0
0.4,45.0
0.41000000000000003,45.0
0.42,45.0
0.43,45.0
0.44,45.0
0.45,45.0
0.46,45.0
0.47000000000000003,45.0
0.48,45.0
0.49,45.0
0.5,45.0
0.51,45.0
0.52,45.0
0.53,45.0
0.54,45.0
0.55,45.0
0.56,45.0
0.5700000000000001,45.0
0.58,45.0
0.59,45.0
0.6,45.0
0.61,45.0
0.62,45.0
0.63,45.0
0.64,45.0
0.65,45.0
0.66,45.0
0.67,45.0
0.68,45.0
0.6900000000000001,45.0
0.7000000000000001,45.0
0.71,45.0
0.72,45.0
0.73,45.0
0.74,45.0
0.75,45.0
0.76,45.0
0.77,45.0
0.78,45.0
0.79,45.0
0.8,45.0
0.81,45.0
0.8200000000000001,45.0
0.8300000000000001,45.0
0.84,45.0
0.85,45.0
0.86,45.0
0.87,45.0
0.88,45.0
0.89,45.0
0.9,45.0
0.91,45.0
0.92,45.0
0.93,45.0
0.9400000000000001,45.0
0.9500000000000001,45.0
0.96,45.0
0.97,45.0
0.98,45.0
0.99,45.0
1.0,45.0
1.01,45.0
1.02,45.0
1.03,45.0
1.04,45.0
1.05,45.0
1.06,45.0
1.07,45.0
1.08,45.0
1.09,45.0
1.1,45.0
1.11,45.0
1.12,45.0
1.1300000000000001,45.0
1.1400000000000001,45.0
1.1500000000000001,45.0
1.16,45.0
1.17,45.0
1.18,45.0
1.19,45.0
1.2,45.0
1.21,45.0
1.22,45.0
1.23,45.0
1.24,45.0
1.25,45.0
1.26,45.0
1.27,45.0
1.28,45.0
1.29,45.0
1.3,45.0
1.31,45.0
1.32,45.0
1.33,45.0
1.34,45.0
1.35,45.0
1.36,45.0
1.37,45.0
1.3800000000000001,45.0
1.3900000000000001,45.0
1.4000000000000001,45.0
1.41,45.0
1.42,45.0
1.43,45.0
1.44,45.0
1.45,45.0
1.46,45.0
1.47,45.0
1.48,45.0
1.49,45.0
1.5,45.0
1.51,45.0
1.52,45.0
1.53,45.0
1.54,45.0
1.55,45.0
1.56,45.0
1.57,45.0
1.58,45.0
1.59,45.0
1.6,45.0
1.61,45.0
1.62,45.0
1.6300000000000001,45.0
1.6400000000000001,45.0
1.6500000000000001,45.0
1.6600000000000001,45.0
1.67,45.0
1.68,45.0
1.69,45.0
1.7,45.0
1.71,45.0
1.72,45.0
1.73,45.0
1.74,45.0
1.75,45.0
1.76,45.0
1.77,45.0
1.78,45.0
1.79,45.0
1.8,45.0
1.81,45.0
1.82,45.0
1.83,45.0
1.84,45.0
1.85,45.0
1.86,45.0
1.87,45.0
1.8800000000000001,45.0
1.8900000000000001,45.0
1.9000000000000001,45.0
1.9100000000000001,45.0
1.92,45.0
1.93,45.0
1.94,45.0
1.95,45.0
1.96,45.0
1.97,45.0
1.98,45.0
1.99,45.0
2.0,45.0
2.0100000000000002,45.0
2.02,45.0
2.0300000000000002,45.0
2.04,45.0
2.05,45.0
2.06,45.0
2.07,45.0
2.08,45.0
2.09,45.0
2.1,45.0
2.11,45.0
2.12,45.0
2.13,45.0
2.14,45.0
2.15,45.0
2.16,45.0
2.17,45.0
2.18,45.0
2.19,45.0
2.2,45.0
2.21,45.0
2.22,45.0
2.23,45.0
2.24,45.0
2.25,45.0
2.2600000000000002,45.0
2.27,45.0
2.2800000000000002,45.0
2.29,45.0
2.3000000000000003,45.0
2.31,45.0
2.32,45.0
2.33,45.0
2.34,45.0
2.35,45.0
2.36,45.0
2.37,45.0
2.38,45.0
2.39,45.0
2.4,45.0
2.41,45.0
2.42,45.0
2.43,45.0
2.44,45.0
2.45,45.0
2.46,45.0
2.47,45.0
2.48,45.0
2.49,45.0
2.5,45.0
2.5100000000000002,45.0
2.52,45.0
2.5300000000000002,45.0
2.54,45.0
2.5500000000000003,45.0
2.56,45.0
2.57,45.0
2.58,45.0
2.59,45.0
2.6,45.0
2.61,45.0
2.62,45.0
2.63,45.0
2.64,45.0
2.65,45.0
2.66,45.0
2.67,45.0
2.68,45.0
2.69,45.0
2.7,45.0
2.71,45.0
2.72,45.0
2.73,45.0
2.74,45.0
2.75,45.0
2.7600000000000002,45.0
2.77,45.0
2.7800000000000002,45.0
2.79,45.0
2.8000000000000003,45.0
2.81,45.0
2.82,45.0
2.83,45.0
2.84,45.0
2.85,45.0
2.86,45.0
2.87,45.0
2.88,45.0
2.89,45.0
2.9,45.0
2.91,45.0
2.92,45.0
2.93,45.0
2.94,45.0
2.95,45.0
2.96,45.0
2.97,45.0
2.98,45.0
2.99,45.0
3.0,45.0
3.0100000000000002,45.0
3.02,45.0
3.0300000000000002,45.0
3.04,45.0
3.0500000000000003,45.0
3.06,45.0
3.0700000000000003,45.0
3.08,45.0
3.09,45.0
3.1,45.0
3.11,45.0
3.12,45.0
3.13,45.0
3.14,45.0
3.15,45.0
3.16,45.0
3.17,45.0
3.18,45.0
3.19,45.0
