tempo_ms,angulo_deg,u_pct,referencia
12,-0.81,42.82,45.00
22,-0.81,27.14,45.00
32,-0.82,27.42,45.00
42,-0.82,27.63,45.00
52,-0.82,27.85,45.00
62,-0.84,28.66,45.00
72,-0.84,28.51,45.00
82,-0.86,29.23,45.00
92,-0.89,29.75,45.00
102,-0.89,29.49,45.00
113,-0.87,29.54,45.00
122,-0.86,29.72,45.00
132,-0.84,29.92,45.00
142,-0.83,30.52,45.00
153,-0.81,30.53,45.00
162,-0.80,31.03,45.00
172,-0.76,30.88,45.00
182,-0.73,31.18,45.00
192,-0.69,31.24,45.00
203,-0.63,31.31,45.00
212,-0.56,31.20,45.00
222,-0.49,31.44,45.00
232,-0.40,31.35,45.00
243,-0.29,31.19,45.00
252,-0.19,31.63,45.00
262,-0.06,31.15,45.00
272,0.12,30.47,45.00
283,0.30,30.77,45.00
293,0.46,31.22,45.00
302,0.64,31.00,45.00
312,0.86,30.37,45.00
323,1.11,30.00,45.00
333,1.35,30.24,45.00
342,1.60,30.36,45.00
352,1.86,30.15,45.00
362,2.20,28.66,45.00
373,2.56,28.38,45.00
383,2.90,28.77,45.00
392,3.23,29.16,45.00
402,3.57,28.94,45.00
413,3.95,28.24,45.00
423,4.38,27.34,45.00
433,4.82,27.08,45.00
442,5.25,27.36,45.00
453,5.66,27.61,45.00
463,6.10,27.12,45.00
473,6.57,26.55,45.00
482,7.05,26.38,45.00
493,7.51,26.69,45.00
503,7.98,26.42,45.00
513,8.48,25.70,45.00
523,9.00,25.44,45.00
532,9.52,25.31,45.00
543,10.02,25.59,45.00
553,10.55,24.94,45.00
563,11.08,24.79,45.00
572,11.61,24.81,45.00
583,12.15,24.53,45.00
593,12.70,24.20,45.00
603,13.23,24.53,45.00
613,13.78,24.03,45.00
623,14.34,23.70,45.00
633,14.89,23.68,45.00
643,15.44,23.68,45.00
653,16.00,23.28,45.00
664,16.54,23.66,45.00
673,17.07,23.57,45.00
683,17.60,23.48,45.00
693,18.13,23.39,45.00
703,18.65,23.60,45.00
713,19.17,23.34,45.00
723,19.67,23.55,45.00
733,20.17,23.68,45.00
743,20.65,23.67,45.00
754,21.13,23.77,45.00
763,21.60,23.67,45.00
773,22.07,23.79,45.00
783,22.52,23.85,45.00
794,22.96,24.15,45.00
803,23.39,24.16,45.00
813,23.79,24.64,45.00
823,24.19,24.43,45.00
833,24.59,24.45,45.00
844,24.94,25.37,45.00
853,25.30,25.17,45.00
863,25.64,25.42,45.00
873,25.97,25.59,45.00
884,26.28,25.94,45.00
894,26.59,25.88,45.00
903,26.88,26.32,45.00
913,27.15,26.42,45.00
924,27.40,26.99,45.00
934,27.64,27.10,45.00
943,27.86,27.52,45.00
953,28.07,27.72,45.00
964,28.27,27.89,45.00
974,28.45,28.33,45.00
984,28.62,28.60,45.00
993,28.78,28.80,45.00
1003,30.01,6.75,45.00
1014,30.12,29.04,45.00
1024,31.33,6.72,45.00
1033,31.40,29.43,45.00
1043,31.44,29.96,45.00
1054,31.48,30.10,45.00
1064,31.51,30.52,45.00
1074,31.51,31.08,45.00
1083,31.52,31.06,45.00
1094,31.51,31.46,45.00
1104,31.48,32.05,45.00
1114,31.46,31.91,45.00
1123,31.41,32.50,45.00
1134,31.33,33.40,45.00
1144,31.24,33.74,45.00
1154,31.17,33.49,45.00
1164,31.12,33.07,45.00
1173,31.09,32.80,45.00
1184,31.06,33.12,45.00
1194,30.99,33.85,45.00
1204,30.91,34.29,45.00
1213,30.80,35.04,45.00
