tempo_ms,angulo_deg,u_pct,referencia
11,0.29,-5.90,0.00
21,0.29,-0.16,0.00
31,0.28,-0.15,0.00
41,0.28,-0.11,0.00
51,0.28,-0.16,0.00
61,0.28,-0.16,0.00
71,0.28,-0.13,0.00
81,0.28,-0.15,0.00
91,0.27,-0.10,0.00
101,0.27,-0.12,0.00
111,0.27,-0.11,0.00
121,0.27,-0.15,0.00
131,0.27,-0.20,0.00
141,0.27,-0.21,0.00
151,0.27,-0.19,0.00
161,0.27,-0.20,0.00
171,0.27,-0.25,0.00
181,0.27,-0.18,0.00
191,0.27,-0.18,0.00
201,0.27,-0.21,0.00
211,0.27,-0.22,0.00
221,0.27,-0.18,0.00
231,0.27,-0.17,0.00
241,0.27,-0.22,0.00
251,0.27,-0.14,0.00
261,0.27,-0.16,0.00
271,0.27,-0.18,0.00
281,0.27,-0.21,0.00
291,0.27,-0.20,0.00
301,0.26,-0.16,0.00
311,0.26,-0.17,0.00
321,0.26,-0.19,0.00
331,0.26,-0.19,0.00
341,0.26,-0.24,0.00
351,0.26,-0.19,0.00
361,0.26,-0.21,0.00
371,0.26,-0.28,0.00
381,0.27,-0.28,0.00
391,0.27,-0.22,0.00
401,0.26,-0.18,0.00
411,0.26,-0.20,0.00
421,0.26,-0.21,0.00
431,0.26,-0.24,0.00
441,0.26,-0.25,0.00
451,0.26,-0.23,0.00
461,0.27,-0.27,0.00
471,0.26,-0.22,0.00
481,0.27,-0.26,0.00
491,0.27,-0.26,0.00
501,0.27,-0.26,0.00
511,0.27,-0.26,0.00
521,0.27,-0.24,0.00
531,0.27,-0.20,0.00
541,0.26,-0.22,0.00
551,0.26,-0.27,0.00
561,0.26,-0.25,0.00
571,0.26,-0.24,0.00
581,0.26,-0.25,0.00
591,0.26,-0.26,0.00
601,0.26,-0.25,0.00
611,0.26,-0.27,0.00
621,0.26,-0.25,0.00
631,0.26,-0.28,0.00
641,0.26,-0.22,0.00
651,0.26,-0.25,0.00
661,0.26,-0.22,0.00
671,0.26,-0.25,0.00
681,0.26,-0.26,0.00
691,0.26,-0.26,0.00
701,0.26,-0.33,0.00
711,0.26,-0.31,0.00
721,0.26,-0.25,0.00
731,0.26,-0.28,0.00
741,0.26,-0.27,0.00
751,0.26,-0.24,0.00
761,0.26,-0.28,0.00
771,0.26,-0.25,0.00
781,0.25,-0.25,0.00
791,0.25,-0.29,0.00
801,0.25,-0.28,0.00
811,0.25,-0.25,0.00
821,0.25,-0.29,0.00
831,0.25,-0.24,0.00
841,0.25,-0.26,0.00
851,0.25,-0.32,0.00
861,0.25,-0.31,0.00
871,0.25,-0.32,0.00
881,0.25,-0.36,0.00
891,0.26,-0.34,0.00
901,0.26,-0.29,0.00
911,0.25,-0.29,0.00
921,0.25,-0.29,0.00
931,0.25,-0.30,0.00
941,0.25,-0.23,0.00
951,0.25,-0.33,0.00
961,0.25,-0.28,0.00
971,0.25,-0.30,0.00
981,0.25,-0.33,0.00
991,0.25,-0.39,0.00
1001,0.25,-0.31,0.00
1011,0.25,-0.38,0.00
1021,0.25,-0.28,0.00
1031,0.25,-0.25,0.00
1041,0.24,-0.24,0.00
1051,0.24,-0.29,0.00
1061,0.24,-0.29,0.00
1071,0.24,-0.33,0.00
1081,0.24,-0.32,0.00
1091,0.24,-0.36,0.00
1101,0.25,-0.42,0.00
1111,0.25,-0.44,0.00
1121,0.25,-0.37,0.00
1131,0.26,-0.39,0.00
1141,0.26,-0.41,0.00
1151,0.26,-0.31,0.00
1161,0.26,-0.37,0.00
1171,0.26,-0.37,0.00
1181,0.26,-0.34,0.00
1191,0.26,-0.33,0.00
1201,0.26,-0.40,0.00
1211,0.26,-0.36,0.00
1221,0.26,-0.39,0.00
1231,0.26,-0.38,0.00
1241,0.26,-0.37,0.00
1251,0.26,-0.30,0.00
1261,0.26,-0.33,0.00
1271,0.25,-0.31,0.00
1281,0.25,-0.32,0.00
1291,0.25,-0.29,0.00
1301,0.25,-0.37,0.00
1311,0.25,-0.39,0.00
1321,0.25,-0.35,0.00
1331,0.25,-0.35,0.00
