tempo_ms,angulo_deg,u_pct,referencia
21,1.48,-0.83,0.00
31,1.48,-0.86,0.00
41,1.48,-0.85,0.00
51,1.48,-0.86,0.00
61,1.47,-0.81,0.00
71,1.47,-0.86,0.00
81,1.47,-0.84,0.00
91,1.46,-0.91,0.00
101,1.46,-0.82,0.00
111,1.46,-0.89,0.00
121,1.45,-0.89,0.00
131,1.45,-0.84,0.00
141,1.44,-0.90,0.00
151,1.44,-0.93,0.00
161,1.44,-0.98,0.00
171,1.44,-0.96,0.00
181,1.44,-0.94,0.00
191,1.43,-0.94,0.00
201,1.43,-1.01,0.00
211,1.43,-1.04,0.00
221,1.43,-1.02,0.00
231,1.43,-1.04,0.00
241,1.43,-1.01,0.00
251,1.43,-1.03,0.00
261,1.43,-1.06,0.00
271,1.43,-1.10,0.00
281,1.42,-1.03,0.00
291,1.42,-1.04,0.00
301,1.42,-1.06,0.00
311,1.42,-1.09,0.00
321,1.42,-1.09,0.00
331,1.42,-1.13,0.00
341,1.42,-1.11,0.00
351,1.41,-1.09,0.00
361,1.41,-1.14,0.00
371,1.41,-1.16,0.00
381,1.41,-1.14,0.00
391,1.41,-1.16,0.00
401,1.41,-1.18,0.00
411,1.41,-1.20,0.00
421,1.41,-1.21,0.00
431,1.41,-1.21,0.00
441,1.41,-1.23,0.00
451,1.40,-1.20,0.00
461,1.40,-1.22,0.00
471,1.40,-1.16,0.00
481,1.40,-1.25,0.00
491,1.39,-1.20,0.00
501,1.39,-1.23,0.00
511,1.39,-1.33,0.00
521,1.39,-1.27,0.00
531,1.39,-1.28,0.00
541,1.39,-1.28,0.00
551,1.39,-1.29,0.00
561,1.39,-1.28,0.00
571,1.39,-1.33,0.00
581,1.38,-1.32,0.00
591,1.39,-1.38,0.00
601,1.39,-1.42,0.00
611,1.39,-1.40,0.00
621,1.39,-1.35,0.00
631,1.39,-1.37,0.00
641,1.38,-1.38,0.00
651,1.39,-1.44,0.00
661,1.38,-1.37,0.00
671,1.38,-1.39,0.00
681,1.38,-1.37,0.00
691,1.38,-1.45,0.00
701,1.38,-1.49,0.00
711,1.38,-1.46,0.00
721,1.38,-1.47,0.00
731,1.38,-1.47,0.00
741,1.38,-1.50,0.00
751,1.38,-1.50,0.00
761,1.38,-1.45,0.00
771,1.37,-1.48,0.00
781,1.38,-1.55,0.00
791,1.37,-1.52,0.00
801,1.38,-1.59,0.00
811,1.38,-1.60,0.00
821,1.38,-1.59,0.00
831,1.38,-1.59,0.00
841,1.38,-1.60,0.00
851,1.38,-1.60,0.00
861,1.38,-1.54,0.00
871,1.38,-1.58,0.00
881,1.38,-1.63,0.00
891,1.38,-1.71,0.00
901,1.38,-1.64,0.00
911,1.38,-1.64,0.00
921,1.38,-1.63,0.00
931,1.38,-1.69,0.00
941,1.38,-1.69,0.00
951,1.38,-1.71,0.00
961,1.38,-1.65,0.00
971,1.38,-1.68,0.00
981,1.38,-1.77,0.00
991,1.38,-1.76,0.00
1001,1.39,-1.76,0.00
1011,1.39,-1.75,0.00
1021,1.39,-1.76,0.00
1031,1.39,-1.75,0.00
1041,1.39,-1.81,0.00
1051,1.39,-1.84,0.00
1061,1.39,-1.74,0.00
1071,1.39,-1.76,0.00
1081,1.39,-1.84,0.00
1091,1.39,-1.80,0.00
1101,1.39,-1.81,0.00
1111,1.38,-1.82,0.00
1121,1.38,-1.82,0.00
1131,1.38,-1.84,0.00
1141,1.38,-1.88,0.00
1151,1.38,-1.87,0.00
1161,1.38,-1.87,0.00
1171,1.38,-1.88,0.00
1181,1.38,-1.91,0.00
1191,1.38,-1.91,0.00
1201,1.38,-1.90,0.00
1211,1.39,-1.98,0.00
1221,1.39,-1.97,0.00
1231,1.39,-2.00,0.00
1241,1.39,-1.98,0.00
1251,1.39,-1.96,0.00
1261,1.39,-1.95,0.00
1271,1.39,-1.95,0.00
1281,1.39,-2.02,0.00
1291,1.39,-1.97,0.00
1301,1.39,-2.00,0.00
1311,1.39,-2.04,0.00
1321,1.39,-2.02,0.00
1331,1.39,-2.01,0.00
1341,1.39,-2.04,0.00
1351,1.38,-2.00,0.00
1361,1.38,-2.05,0.00
1371,1.38,-2.01,0.00
1381,1.38,-2.04,0.00
1391,1.38,-2.08,0.00
1401,1.38,-2.14,0.00
1411,1.38,-2.17,0.00
1421,1.39,-2.18,0.00
1431,1.39,-2.15,0.00
1441,1.39,-2.14,0.00
1451,1.39,-2.13,0.00
1461,1.39,-2.15,0.00
1471,1.39,-2.17,0.00
1481,1.39,-2.20,0.00
1491,1.39,-2.20,0.00
1501,1.39,-2.19,0.00
1511,1.39,-2.26,0.00
1521,1.39,-2.26,0.00
1531,1.39,-2.22,0.00
1541,1.39,-2.22,0.00
1551,1.39,-2.22,0.00
1561,1.39,-2.30,0.00
1571,1.39,-2.27,0.00
1581,1.39,-2.28,0.00
1591,1.40,-2.35,0.00
1601,1.40,-2.34,0.00
1611,1.40,-2.35,0.00
1621,1.40,-2.29,0.00
1631,1.40,-2.32,0.00
1641,1.40,-2.33,0.00
1651,1.40,-2.34,0.00
1661,1.40,-2.38,0.00
1671,1.40,-2.31,0.00
1681,1.40,-2.39,0.00
1691,1.40,-2.34,0.00
1701,1.40,-2.41,0.00
1711,1.40,-2.40,0.00
1721,1.40,-2.42,0.00
1731,1.41,-2.51,0.00
1741,1.41,-2.50,0.00
1751,1.41,-2.44,0.00
1761,1.41,-2.41,0.00
1771,1.41,-2.46,0.00
1781,1.41,-2.46,0.00
1791,1.41,-2.54,0.00
1801,1.41,-2.45,0.00
1811,1.41,-2.52,0.00
1821,1.41,-2.48,0.00
1831,1.41,-2.55,0.00
1841,1.41,-2.56,0.00
1851,1.41,-2.52,0.00
1861,1.41,-2.57,0.00
1871,1.41,-2.52,0.00
1881,1.41,-2.52,0.00
1891,1.40,-2.50,0.00
1901,1.41,-2.59,0.00
1911,1.40,-2.55,0.00
1921,1.40,-2.60,0.00
1931,1.40,-2.59,0.00
1941,1.41,-2.68,0.00
1951,1.41,-2.69,0.00
1961,1.41,-2.63,0.00
1971,1.41,-2.67,0.00
1981,1.41,-2.62,0.00
1991,1.41,-2.65,0.00
2001,1.41,-2.64,0.00
2011,1.41,-2.69,0.00
2021,1.41,-2.76,0.00
2031,1.41,-2.71,0.00
2041,1.41,-2.78,0.00
2051,1.41,-2.65,0.00
2061,1.41,-2.76,0.00
2071,1.41,-2.63,0.00
2081,1.40,-2.71,0.00
2091,1.40,-2.71,0.00
2101,1.40,-2.77,0.00
2111,1.40,-2.80,0.00
2121,1.40,-2.77,0.00
2131,1.40,-2.81,0.00
2141,1.40,-2.73,0.00
2151,1.40,-2.82,0.00
2161,1.40,-2.73,0.00
2171,1.40,-2.86,0.00
2181,1.40,-2.79,0.00
2191,1.40,-2.83,0.00
2201,1.40,-2.84,0.00
2211,1.40,-2.89,0.00
2221,1.40,-2.91,0.00
2231,1.40,-2.84,0.00
2241,1.40,-2.91,0.00
2251,1.39,-2.82,0.00
2261,1.39,-2.92,0.00
2271,1.40,-2.94,0.00
2281,1.40,-2.93,0.00
2291,1.40,-2.97,0.00
2301,1.40,-2.94,0.00
2311,1.40,-3.10,0.00
2321,1.40,-2.95,0.00
2331,1.40,-2.99,0.00
2341,1.40,-2.91,0.00
2351,1.40,-2.98,0.00
2361,1.40,-2.95,0.00
2371,1.40,-2.99,0.00
2381,1.40,-3.06,0.00
2391,1.40,-3.02,0.00
2401,1.40,-3.03,0.00
2411,1.40,-3.06,0.00
2421,1.40,-3.08,0.00
2431,1.40,-3.08,0.00
2441,1.40,-3.07,0.00
2451,1.40,-3.05,0.00
2461,1.40,-3.10,0.00
2471,1.40,-3.07,0.00
2481,1.40,-3.11,0.00
2491,1.40,-3.13,0.00
2501,1.39,-3.10,0.00
2511,1.39,-3.12,0.00
2521,1.39,-3.16,0.00
2531,1.39,-3.18,0.00
2541,1.40,-3.19,0.00
2551,1.39,-3.15,0.00
2561,1.39,-3.18,0.00
2571,1.39,-3.17,0.00
2581,1.39,-3.19,0.00
2591,1.39,-3.19,0.00
2601,1.39,-3.26,0.00
2611,1.39,-3.19,0.00
2621,1.39,-3.24,0.00
2631,1.39,-3.25,0.00
2641,1.39,-3.27,0.00
2651,1.39,-3.26,0.00
2661,1.39,-3.27,0.00
2671,1.39,-3.29,0.00
2681,1.39,-3.30,0.00
2691,1.39,-3.31,0.00
2701,1.39,-3.28,0.00
2711,1.39,-3.30,0.00
2721,1.39,-3.32,0.00
2731,1.39,-3.37,0.00
2741,1.39,-3.31,0.00
2751,1.39,-3.41,0.00
2761,1.39,-3.34,0.00
2771,1.39,-3.37,0.00
2781,1.39,-3.35,0.00
2791,1.39,-3.38,0.00
2801,1.38,-3.36,0.00
2811,1.38,-3.43,0.00
2821,1.39,-3.44,0.00
2831,1.39,-3.43,0.00
2841,1.39,-3.47,0.00
2851,1.39,-3.48,0.00
2861,1.39,-3.41,0.00
2871,1.38,-3.39,0.00
2881,1.38,-3.43,0.00
2891,1.38,-3.47,0.00
2901,1.38,-3.50,0.00
2911,1.38,-3.52,0.00
2921,1.38,-3.56,0.00
2931,1.39,-3.58,0.00
2941,1.39,-3.54,0.00
2951,1.39,-3.55,0.00
2961,1.39,-3.56,0.00
2971,1.39,-3.54,0.00
2981,1.39,-3.56,0.00
2991,1.39,-3.59,0.00
3001,1.39,-3.64,0.00
3011,1.39,-3.59,0.00
3021,1.39,-3.61,0.00
3031,1.39,-3.57,0.00
3041,1.39,-3.62,0.00
3051,1.39,-3.63,0.00
3061,1.39,-3.63,0.00
3071,1.39,-3.68,0.00
3081,1.39,-3.64,0.00
3091,1.39,-3.68,0.00
3101,1.39,-3.71,0.00
3111,1.39,-3.68,0.00
3121,1.39,-3.67,0.00
3131,1.39,-3.75,0.00
3141,1.39,-3.71,0.00
3151,1.39,-3.71,0.00
3161,1.39,-3.71,0.00
3171,1.38,-3.70,0.00
3181,1.38,-3.76,0.00
3191,1.39,-3.79,0.00
3201,1.39,-3.77,0.00
3211,1.38,-3.71,0.00
3221,1.38,-3.81,0.00
3231,1.38,-3.82,0.00
3241,1.38,-3.81,0.00
3251,1.39,-3.85,0.00
3261,1.39,-3.89,0.00
3271,1.39,-3.85,0.00
3281,1.39,-3.85,0.00
3291,1.39,-3.87,0.00
3301,1.39,-3.88,0.00
3311,1.39,-3.87,0.00
3321,1.39,-3.93,0.00
3331,1.39,-3.90,0.00
3341,1.39,-3.93,0.00
3351,1.40,-4.01,0.00
3361,1.40,-3.93,0.00
3371,1.40,-3.94,0.00
3381,1.40,-3.96,0.00
3391,1.40,-3.94,0.00
3401,1.40,-3.93,0.00
3411,1.40,-3.98,0.00
3421,1.40,-3.98,0.00
3431,1.40,-4.06,0.00
3441,1.40,-4.01,0.00
3451,1.40,-4.01,0.00
3461,1.40,-3.97,0.00
3471,1.40,-4.02,0.00
3481,1.40,-4.01,0.00
3491,1.40,-4.07,0.00
3501,1.40,-4.09,0.00
3511,1.40,-4.02,0.00
3521,1.40,-4.07,0.00
3531,1.40,-4.06,0.00
3541,1.40,-4.14,0.00
3551,1.40,-4.12,0.00
3561,1.40,-4.12,0.00
3571,1.40,-4.09,0.00
3581,1.39,-4.02,0.00
3591,1.39,-4.04,0.00
3601,1.39,-4.14,0.00
3611,1.39,-4.14,0.00
3621,1.38,-4.12,0.00
3631,1.39,-4.23,0.00
3641,1.39,-4.17,0.00
3651,1.39,-4.24,0.00
3661,1.39,-4.26,0.00
3671,1.39,-4.22,0.00
3681,1.39,-4.21,0.00
3691,1.39,-4.23,0.00
3701,1.39,-4.23,0.00
3711,1.39,-4.22,0.00
