tempo_ms,angulo_deg,u_pct,referencia
10,-3.57,73.41,0.00
20,-3.57,2.13,0.00
30,-3.57,2.15,0.00
40,-3.57,2.16,0.00
50,-3.57,2.15,0.00
60,-3.57,2.15,0.00
70,-3.57,2.23,0.00
80,-3.57,2.24,0.00
90,-3.56,2.24,0.00
100,-3.57,2.30,0.00
110,-3.56,2.27,0.00
120,-3.56,2.35,0.00
130,-3.57,2.40,0.00
140,-3.57,2.46,0.00
150,-3.57,2.42,0.00
160,-3.57,2.42,0.00
170,-3.57,2.45,0.00
180,-3.57,2.53,0.00
190,-3.57,2.50,0.00
200,-3.57,2.47,0.00
210,-3.57,2.64,0.00
220,-3.57,2.53,0.00
230,-3.57,2.66,0.00
240,-3.57,2.61,0.00
250,-3.57,2.68,0.00
260,-3.57,2.71,0.00
270,-3.57,2.70,0.00
280,-3.57,2.69,0.00
290,-3.57,2.72,0.00
300,-3.57,2.80,0.00
310,-3.57,2.78,0.00
320,-3.58,2.87,0.00
330,-3.57,2.84,0.00
340,-3.58,2.87,0.00
350,-3.58,2.90,0.00
360,-3.57,2.87,0.00
370,-3.57,2.93,0.00
380,-3.57,2.92,0.00
390,-3.57,3.03,0.00
400,-3.57,2.99,0.00
410,-3.58,3.09,0.00
420,-3.57,2.99,0.00
430,-3.57,3.10,0.00
440,-3.57,3.13,0.00
450,-3.58,3.18,0.00
460,-3.58,3.22,0.00
470,-3.58,3.14,0.00
480,-3.58,3.19,0.00
490,-3.58,3.20,0.00
500,-3.58,3.25,0.00
510,-3.58,3.28,0.00
520,-3.58,3.30,0.00
530,-3.58,3.36,0.00
540,-3.58,3.38,0.00
550,-3.59,3.46,0.00
560,-3.58,3.36,0.00
570,-3.58,3.40,0.00
580,-3.58,3.43,0.00
590,-3.58,3.45,0.00
600,-3.58,3.48,0.00
610,-3.58,3.56,0.00
620,-3.58,3.48,0.00
630,-3.58,3.59,0.00
640,-3.58,3.55,0.00
650,-3.58,3.65,0.00
660,-3.58,3.64,0.00
670,-3.59,3.70,0.00
680,-3.59,3.70,0.00
690,-3.58,3.63,0.00
700,-3.58,3.69,0.00
710,-3.58,3.76,0.00
720,-3.58,3.78,0.00
730,-3.58,3.83,0.00
740,-3.58,3.82,0.00
750,-3.58,3.82,0.00
760,-3.58,3.86,0.00
770,-3.58,3.92,0.00
780,-3.58,3.91,0.00
790,-3.58,3.92,0.00
800,-3.58,3.96,0.00
810,-3.58,3.96,0.00
820,-3.58,4.00,0.00
830,-3.58,4.08,0.00
840,-3.58,4.10,0.00
850,-3.59,4.11,0.00
860,-3.58,4.08,0.00
870,-3.58,4.10,0.00
880,-3.58,4.13,0.00
890,-3.58,4.14,0.00
900,-3.58,4.22,0.00
910,-3.58,4.20,0.00
920,-3.58,4.21,0.00
930,-3.58,4.26,0.00
940,-3.58,4.30,0.00
950,-3.58,4.35,0.00
960,-3.58,4.30,0.00
970,-3.57,4.34,0.00
980,-3.57,4.39,0.00
990,-3.57,4.40,0.00
1000,-3.58,4.47,0.00
1010,-3.58,4.49,0.00
1020,-3.58,4.53,0.00
1030,-3.58,4.58,0.00
1040,-3.59,4.60,0.00
1050,-3.59,4.57,0.00
1060,-3.59,4.60,0.00
1070,-3.59,4.68,0.00
1080,-3.59,4.62,0.00
1090,-3.59,4.66,0.00
1100,-3.59,4.68,0.00
1110,-3.59,4.64,0.00
1120,-3.59,4.72,0.00
1130,-3.59,4.80,0.00
1140,-3.59,4.78,0.00
1150,-3.59,4.77,0.00
1160,-3.59,4.82,0.00
1170,-3.59,4.87,0.00
1180,-3.59,4.87,0.00
1190,-3.58,4.84,0.00
1200,-3.58,4.93,0.00
1210,-3.58,4.89,0.00
1220,-3.58,4.96,0.00
1230,-3.58,4.97,0.00
1240,-3.58,5.00,0.00
1250,-3.58,5.02,0.00
1260,-3.58,5.12,0.00
1270,-3.58,5.13,0.00
1280,-3.59,5.13,0.00
1290,-3.59,5.16,0.00
1300,-3.59,5.18,0.00
1310,-3.59,5.17,0.00
1320,-3.59,5.22,0.00
1330,-3.59,5.20,0.00
1340,-3.59,5.30,0.00
1350,-3.59,5.28,0.00
1360,-3.59,5.24,0.00
1370,-3.58,5.29,0.00
1380,-3.58,5.35,0.00
1390,-3.58,5.32,0.00
1400,-3.58,5.39,0.00
1410,-3.58,5.45,0.00
1420,-3.58,5.47,0.00
1430,-3.59,5.51,0.00
1440,-3.59,5.49,0.00
1450,-3.59,5.50,0.00
1460,-3.59,5.58,0.00
1470,-3.59,5.58,0.00
1480,-3.59,5.59,0.00
1490,-3.59,5.62,0.00
1500,-3.59,5.63,0.00
1510,-3.59,5.69,0.00
1520,-3.59,5.70,0.00
1530,-3.59,5.72,0.00
1540,-3.59,5.75,0.00
1550,-3.59,5.76,0.00
1560,-3.59,5.79,0.00
1570,-3.59,5.76,0.00
1580,-3.59,5.81,0.00
1590,-3.59,5.86,0.00
1600,-3.59,5.93,0.00
1610,-3.59,5.87,0.00
