tempo_ms,angulo_deg,u_pct,referencia
11,-0.89,18.33,0.00
21,-0.89,0.50,0.00
31,-0.89,0.47,0.00
41,-0.88,0.48,0.00
51,-0.88,0.53,0.00
61,-0.89,0.58,0.00
71,-0.89,0.59,0.00
81,-0.89,0.62,0.00
91,-0.89,0.59,0.00
101,-0.89,0.54,0.00
111,-0.89,0.56,0.00
121,-0.89,0.54,0.00
131,-0.89,0.62,0.00
141,-0.89,0.60,0.00
151,-0.89,0.59,0.00
161,-0.89,0.58,0.00
171,-0.89,0.62,0.00
181,-0.89,0.61,0.00
191,-0.89,0.60,0.00
201,-0.89,0.63,0.00
211,-0.89,0.69,0.00
221,-0.89,0.64,0.00
231,-0.89,0.67,0.00
241,-0.89,0.64,0.00
251,-0.89,0.66,0.00
261,-0.89,0.67,0.00
271,-0.89,0.68,0.00
281,-0.89,0.68,0.00
291,-0.89,0.67,0.00
301,-0.89,0.70,0.00
311,-0.89,0.71,0.00
321,-0.89,0.66,0.00
331,-0.89,0.66,0.00
341,-0.89,0.70,0.00
351,-0.89,0.72,0.00
361,-0.89,0.71,0.00
371,-0.89,0.80,0.00
381,-0.89,0.78,0.00
391,-0.89,0.77,0.00
401,-0.89,0.79,0.00
411,-0.89,0.73,0.00
421,-0.89,0.75,0.00
431,-0.89,0.75,0.00
441,-0.89,0.79,0.00
451,-0.89,0.73,0.00
461,-0.89,0.76,0.00
471,-0.89,0.74,0.00
481,-0.89,0.78,0.00
491,-0.89,0.79,0.00
501,-0.88,0.78,0.00
511,-0.88,0.80,0.00
521,-0.88,0.84,0.00
531,-0.89,0.83,0.00
541,-0.88,0.79,0.00
551,-0.88,0.85,0.00
561,-0.88,0.81,0.00
571,-0.88,0.84,0.00
581,-0.88,0.81,0.00
591,-0.88,0.83,0.00
601,-0.88,0.84,0.00
611,-0.88,0.82,0.00
621,-0.87,0.84,0.00
631,-0.87,0.82,0.00
641,-0.87,0.89,0.00
651,-0.87,0.91,0.00
661,-0.88,0.94,0.00
671,-0.88,0.89,0.00
681,-0.88,0.91,0.00
691,-0.88,0.96,0.00
701,-0.88,0.95,0.00
711,-0.88,0.93,0.00
721,-0.88,0.92,0.00
731,-0.88,0.88,0.00
741,-0.88,0.92,0.00
751,-0.87,0.90,0.00
761,-0.88,0.97,0.00
771,-0.88,1.00,0.00
781,-0.88,0.94,0.00
791,-0.88,0.98,0.00
801,-0.88,1.00,0.00
