tempo_ms,angulo_deg,u_pct,referencia
10,-3.15,64.78,0.00
20,-3.14,1.80,0.00
30,-3.07,0.37,0.00
40,-3.02,0.73,0.00
50,-3.04,2.40,0.00
60,-3.05,2.06,0.00
70,-3.09,2.74,0.00
80,-3.13,2.71,0.00
90,-3.13,1.99,0.00
100,-3.09,1.12,0.00
110,-3.06,1.37,0.00
120,-3.07,2.38,0.00
130,-3.04,1.25,0.00
140,-3.03,1.97,0.00
150,-3.03,1.96,0.00
160,-3.00,1.57,0.00
170,-3.00,1.94,0.00
180,-3.00,2.10,0.00
190,-2.98,1.79,0.00
200,-2.96,1.71,0.00
210,-2.94,1.75,0.00
220,-2.93,1.94,0.00
230,-2.91,1.59,0.00
240,-2.91,2.22,0.00
250,-2.89,1.77,0.00
260,-2.89,2.23,0.00
270,-2.92,2.83,0.00
280,-2.90,1.83,0.00
290,-2.87,1.51,0.00
300,-2.84,1.80,0.00
310,-2.83,1.92,0.00
320,-2.82,2.18,0.00
330,-2.82,2.20,0.00
340,-2.81,2.02,0.00
350,-2.81,2.39,0.00
360,-2.83,2.68,0.00
370,-2.83,2.42,0.00
380,-2.83,2.46,0.00
390,-2.83,2.34,0.00
400,-2.83,2.33,0.00
410,-2.83,2.55,0.00
420,-2.83,2.33,0.00
430,-2.83,2.51,0.00
440,-2.84,2.78,0.00
450,-2.85,2.61,0.00
460,-2.84,2.49,0.00
470,-2.84,2.43,0.00
480,-2.84,2.56,0.00
490,-2.84,2.69,0.00
500,-2.83,2.44,0.00
510,-2.84,2.69,0.00
520,-2.85,2.97,0.00
530,-2.85,2.63,0.00
540,-2.85,2.62,0.00
550,-2.84,2.61,0.00
560,-2.85,2.79,0.00
570,-2.85,2.79,0.00
580,-2.85,2.86,0.00
590,-2.85,2.65,0.00
600,-2.85,2.84,0.00
610,-2.87,3.35,0.00
620,-2.86,2.69,0.00
630,-2.84,2.38,0.00
640,-2.83,2.62,0.00
650,-2.84,3.04,0.00
660,-2.83,2.76,0.00
670,-2.82,2.81,0.00
680,-2.83,3.07,0.00
690,-2.82,2.85,0.00
700,-2.82,2.90,0.00
710,-2.81,2.79,0.00
720,-2.79,2.60,0.00
730,-2.80,3.27,0.00
740,-2.82,3.33,0.00
750,-2.81,2.85,0.00
760,-2.79,2.76,0.00
770,-2.79,3.12,0.00
780,-2.79,3.03,0.00
790,-2.79,3.07,0.00
800,-2.77,2.92,0.00
810,-2.77,3.04,0.00
820,-2.79,3.51,0.00
830,-2.78,3.14,0.00
840,-2.77,2.90,0.00
850,-2.77,3.31,0.00
860,-2.77,3.16,0.00
870,-2.78,3.49,0.00
880,-2.78,3.26,0.00
890,-2.78,3.30,0.00
900,-2.78,3.31,0.00
910,-2.77,3.13,0.00
920,-2.77,3.39,0.00
930,-2.76,3.23,0.00
940,-2.76,3.39,0.00
950,-2.76,3.34,0.00
960,-2.76,3.36,0.00
970,-2.75,3.37,0.00
980,-2.74,3.23,0.00
990,-2.74,3.42,0.00
1000,-2.73,3.31,0.00
1010,-2.73,3.44,0.00
1020,-2.72,3.31,0.00
1030,-2.71,3.45,0.00
1040,-2.72,3.60,0.00
1050,-2.72,3.62,0.00
1060,-2.72,3.65,0.00
