tempo_ms,angulo_deg,u_pct,referencia
10,-3.42,70.33,0.00
20,-3.38,1.24,0.00
30,-3.48,4.09,0.00
40,-3.47,1.93,0.00
50,-3.45,1.71,0.00
60,-3.44,1.81,0.00
70,-3.43,2.01,0.00
80,-3.44,2.27,0.00
90,-3.40,1.44,0.00
100,-3.40,2.26,0.00
110,-3.44,3.03,0.00
120,-3.43,2.06,0.00
130,-3.41,1.88,0.00
140,-3.41,2.09,0.00
150,-3.37,1.54,0.00
160,-3.35,1.98,0.00
170,-3.33,1.88,0.00
180,-3.29,1.48,0.00
190,-3.29,2.35,0.00
200,-3.27,1.83,0.00
210,-3.22,1.37,0.00
220,-3.21,2.25,0.00
230,-3.17,1.49,0.00
240,-3.17,2.28,0.00
250,-3.14,1.92,0.00
260,-3.08,1.10,0.00
270,-3.05,1.71,0.00
280,-3.03,1.89,0.00
290,-3.00,1.83,0.00
300,-3.00,2.31,0.00
310,-2.97,1.91,0.00
320,-2.95,1.90,0.00
330,-2.95,2.54,0.00
340,-2.92,1.77,0.00
350,-2.91,2.18,0.00
360,-2.91,2.47,0.00
370,-2.91,2.50,0.00
380,-2.90,2.22,0.00
390,-2.89,2.38,0.00
400,-2.87,2.09,0.00
410,-2.87,2.44,0.00
420,-2.87,2.61,0.00
430,-2.86,2.43,0.00
440,-2.85,2.33,0.00
450,-2.86,2.67,0.00
460,-2.85,2.41,0.00
470,-2.84,2.45,0.00
480,-2.82,2.31,0.00
490,-2.83,2.77,0.00
500,-2.81,2.34,0.00
510,-2.80,2.55,0.00
520,-2.79,2.35,0.00
530,-2.76,2.13,0.00
540,-2.74,2.35,0.00
550,-2.72,2.22,0.00
560,-2.70,2.27,0.00
570,-2.68,2.36,0.00
580,-2.66,2.39,0.00
590,-2.65,2.40,0.00
600,-2.65,2.86,0.00
610,-2.66,2.82,0.00
620,-2.66,2.85,0.00
630,-2.66,2.74,0.00
640,-2.63,2.37,0.00
650,-2.61,2.44,0.00
660,-2.61,2.83,0.00
670,-2.63,3.25,0.00
680,-2.65,3.17,0.00
690,-2.64,2.68,0.00
700,-2.62,2.60,0.00
710,-2.63,3.03,0.00
720,-2.65,3.40,0.00
730,-2.63,2.49,0.00
740,-2.59,2.30,0.00
750,-2.59,2.90,0.00
760,-2.60,3.24,0.00
770,-2.58,2.63,0.00
780,-2.58,2.89,0.00
790,-2.59,3.39,0.00
800,-2.58,2.79,0.00
810,-2.56,2.59,0.00
820,-2.56,3.22,0.00
830,-2.55,2.87,0.00
840,-2.54,2.94,0.00
850,-2.54,3.12,0.00
860,-2.54,3.10,0.00
870,-2.53,2.90,0.00
880,-2.54,3.30,0.00
890,-2.55,3.43,0.00
900,-2.54,3.10,0.00
910,-2.55,3.32,0.00
920,-2.54,3.03,0.00
930,-2.53,3.03,0.00
940,-2.52,3.12,0.00
950,-2.52,3.21,0.00
960,-2.53,3.44,0.00
970,-2.54,3.57,0.00
980,-2.51,2.84,0.00
990,-2.49,2.85,0.00
1000,-2.51,3.65,0.00
1010,-2.50,3.20,0.00
1020,-2.49,3.14,0.00
1030,-2.48,3.28,0.00
1040,-2.48,3.34,0.00
1050,-2.48,3.41,0.00
