tempo_ms,angulo_deg,u_pct,referencia
10,-4.83,99.46,0.00
20,-4.83,2.76,0.00
30,-4.82,2.80,0.00
40,-4.82,2.90,0.00
50,-4.83,2.97,0.00
60,-4.82,2.96,0.00
70,-4.83,3.04,0.00
80,-4.83,3.05,0.00
90,-4.83,3.03,0.00
100,-4.82,3.04,0.00
110,-4.82,3.13,0.00
120,-4.82,3.15,0.00
130,-4.82,3.13,0.00
140,-4.82,3.21,0.00
150,-4.81,3.18,0.00
160,-4.81,3.27,0.00
170,-4.81,3.28,0.00
180,-4.81,3.36,0.00
190,-4.81,3.37,0.00
200,-4.81,3.36,0.00
210,-4.81,3.45,0.00
220,-4.81,3.49,0.00
230,-4.81,3.49,0.00
240,-4.81,3.53,0.00
250,-4.81,3.58,0.00
260,-4.81,3.59,0.00
270,-4.81,3.63,0.00
280,-4.81,3.63,0.00
290,-4.81,3.71,0.00
300,-4.81,3.75,0.00
310,-4.81,3.81,0.00
320,-4.81,3.77,0.00
330,-4.81,3.79,0.00
340,-4.80,3.79,0.00
350,-4.80,3.84,0.00
360,-4.80,3.86,0.00
370,-4.80,3.91,0.00
380,-4.80,3.97,0.00
390,-4.80,3.99,0.00
400,-4.79,4.00,0.00
410,-4.79,4.06,0.00
420,-4.79,4.07,0.00
430,-4.79,4.07,0.00
440,-4.79,4.14,0.00
450,-4.78,4.14,0.00
460,-4.78,4.20,0.00
470,-4.78,4.22,0.00
480,-4.78,4.24,0.00
490,-4.78,4.25,0.00
500,-4.78,4.38,0.00
510,-4.78,4.40,0.00
520,-4.78,4.38,0.00
530,-4.78,4.42,0.00
540,-4.77,4.46,0.00
550,-4.77,4.49,0.00
560,-4.77,4.49,0.00
570,-4.77,4.60,0.00
580,-4.77,4.61,0.00
590,-4.77,4.63,0.00
600,-4.77,4.68,0.00
610,-4.77,4.64,0.00
620,-4.77,4.75,0.00
630,-4.77,4.77,0.00
640,-4.77,4.78,0.00
650,-4.77,4.80,0.00
660,-4.77,4.83,0.00
670,-4.77,4.88,0.00
680,-4.77,4.90,0.00
690,-4.77,4.88,0.00
700,-4.76,4.96,0.00
710,-4.76,4.99,0.00
720,-4.76,5.03,0.00
730,-4.76,5.02,0.00
740,-4.76,5.17,0.00
750,-4.77,5.17,0.00
760,-4.77,5.17,0.00
770,-4.77,5.20,0.00
780,-4.76,5.17,0.00
790,-4.77,5.31,0.00
800,-4.76,5.27,0.00
810,-4.76,5.32,0.00
820,-4.76,5.33,0.00
830,-4.76,5.36,0.00
