tempo_ms,angulo_deg,u_pct,referencia
10,-1.84,37.83,0.00
20,-1.84,1.10,0.00
30,-1.84,1.15,0.00
40,-1.85,1.19,0.00
50,-1.85,1.18,0.00
60,-1.85,1.18,0.00
70,-1.85,1.14,0.00
80,-1.84,1.04,0.00
90,-1.85,1.25,0.00
100,-1.82,0.71,0.00
110,-1.84,1.46,0.00
120,-1.84,1.30,0.00
130,-1.83,1.03,0.00
140,-1.86,1.71,0.00
150,-1.84,0.85,0.00
160,-1.85,1.59,0.00
170,-1.84,1.09,0.00
180,-1.86,1.56,0.00
190,-1.86,1.27,0.00
200,-1.86,1.42,0.00
210,-1.87,1.42,0.00
220,-1.86,1.30,0.00
230,-1.87,1.47,0.00
240,-1.87,1.38,0.00
250,-1.87,1.49,0.00
260,-1.88,1.48,0.00
270,-1.88,1.49,0.00
280,-1.88,1.48,0.00
290,-1.89,1.50,0.00
300,-1.89,1.43,0.00
310,-1.89,1.46,0.00
320,-1.89,1.49,0.00
330,-1.89,1.53,0.00
340,-1.89,1.56,0.00
350,-1.89,1.52,0.00
360,-1.89,1.54,0.00
370,-1.89,1.55,0.00
380,-1.89,1.61,0.00
390,-1.89,1.56,0.00
400,-1.89,1.61,0.00
410,-1.90,1.61,0.00
420,-1.90,1.63,0.00
430,-1.90,1.64,0.00
440,-1.90,1.69,0.00
450,-1.90,1.62,0.00
460,-1.90,1.71,0.00
470,-1.90,1.71,0.00
480,-1.90,1.69,0.00
490,-1.90,1.73,0.00
500,-1.90,1.75,0.00
510,-1.90,1.74,0.00
520,-1.91,1.82,0.00
530,-1.91,1.81,0.00
540,-1.91,1.79,0.00
550,-1.91,1.80,0.00
560,-1.91,1.80,0.00
570,-1.91,1.82,0.00
580,-1.91,1.82,0.00
590,-1.91,1.86,0.00
600,-1.91,1.87,0.00
610,-1.92,1.90,0.00
620,-1.92,1.96,0.00
630,-1.92,1.93,0.00
640,-1.92,1.93,0.00
650,-1.92,1.91,0.00
660,-1.92,1.89,0.00
670,-1.92,1.92,0.00
680,-1.92,1.96,0.00
690,-1.92,2.03,0.00
700,-1.92,2.01,0.00
710,-1.92,1.98,0.00
720,-1.92,2.00,0.00
730,-1.92,2.00,0.00
740,-1.92,2.05,0.00
750,-1.92,2.02,0.00
760,-1.92,2.04,0.00
770,-1.92,2.07,0.00
780,-1.92,2.09,0.00
790,-1.92,2.12,0.00
800,-1.92,2.11,0.00
810,-1.92,2.14,0.00
820,-1.92,2.14,0.00
830,-1.92,2.12,0.00
840,-1.92,2.12,0.00
850,-1.92,2.20,0.00
860,-1.92,2.20,0.00
870,-1.92,2.22,0.00
880,-1.92,2.25,0.00
890,-1.93,2.28,0.00
900,-1.93,2.23,0.00
910,-1.93,2.27,0.00
920,-1.93,2.26,0.00
930,-1.92,2.26,0.00
940,-1.93,2.29,0.00
950,-1.93,2.33,0.00
960,-1.93,2.38,0.00
970,-1.93,2.39,0.00
980,-1.94,2.42,0.00
990,-1.93,2.32,0.00
1000,-1.94,2.58,0.00
1010,-1.94,2.34,0.00
1020,-1.95,2.49,0.00
1030,-1.94,2.37,0.00
1040,-1.94,2.46,0.00
1050,-1.94,2.41,0.00
1060,-1.94,2.42,0.00
1070,-1.94,2.44,0.00
1080,-1.94,2.43,0.00
1090,-1.94,2.48,0.00
1100,-1.93,2.47,0.00
1110,-1.94,2.53,0.00
1120,-1.94,2.54,0.00
1130,-1.94,2.54,0.00
1140,-1.93,2.49,0.00
1150,-1.93,2.51,0.00
1160,-1.93,2.51,0.00
1170,-1.93,2.59,0.00
1180,-1.93,2.62,0.00
1190,-1.93,2.72,0.00
1200,-1.93,2.64,0.00
1210,-1.93,2.64,0.00
1220,-1.93,2.61,0.00
1230,-1.93,2.61,0.00
1240,-1.93,2.70,0.00
1250,-1.93,2.70,0.00
1260,-1.93,2.68,0.00
1270,-1.93,2.68,0.00
1280,-1.93,2.74,0.00
1290,-1.93,2.73,0.00
1300,-1.93,2.80,0.00
1310,-1.93,2.77,0.00
1320,-1.93,2.81,0.00
1330,-1.93,2.73,0.00
1340,-1.92,2.77,0.00
1350,-1.92,2.76,0.00
1360,-1.92,2.81,0.00
1370,-1.92,2.79,0.00
1380,-1.92,2.84,0.00
1390,-1.92,2.86,0.00
1400,-1.92,2.85,0.00
1410,-1.92,2.91,0.00
1420,-1.92,2.98,0.00
1430,-1.92,2.90,0.00
1440,-1.92,2.92,0.00
1450,-1.92,2.94,0.00
1460,-1.92,2.96,0.00
1470,-1.92,3.01,0.00
1480,-1.92,2.97,0.00
1490,-1.92,3.03,0.00
1500,-1.92,3.03,0.00
1510,-1.93,3.08,0.00
1520,-1.92,3.01,0.00
1530,-1.93,3.05,0.00
1540,-1.92,3.04,0.00
1550,-1.92,3.04,0.00
1560,-1.92,3.07,0.00
1570,-1.92,3.08,0.00
1580,-1.92,3.10,0.00
1590,-1.92,3.11,0.00
1600,-1.92,3.18,0.00
1610,-1.92,3.16,0.00
1620,-1.93,3.24,0.00
1630,-1.93,3.16,0.00
1640,-1.92,3.17,0.00
1650,-1.92,3.18,0.00
1660,-1.93,3.24,0.00
1670,-1.93,3.28,0.00
1680,-1.93,3.33,0.00
1690,-1.94,3.35,0.00
1700,-1.94,3.30,0.00
1710,-1.94,3.34,0.00
1720,-1.94,3.36,0.00
1730,-1.95,3.37,0.00
1740,-1.94,3.30,0.00
1750,-1.94,3.35,0.00
1760,-1.95,3.37,0.00
1770,-1.94,3.35,0.00
1780,-1.95,3.40,0.00
1790,-1.95,3.41,0.00
1800,-1.95,3.40,0.00
1810,-1.95,3.41,0.00
1820,-1.95,3.44,0.00
1830,-1.94,3.40,0.00
1840,-1.95,3.51,0.00
1850,-1.95,3.52,0.00
1860,-1.95,3.49,0.00
1870,-1.95,3.49,0.00
1880,-1.95,3.52,0.00
1890,-1.95,3.51,0.00
1900,-1.94,3.47,0.00
1910,-1.94,3.53,0.00
1920,-1.94,3.54,0.00
1930,-1.94,3.58,0.00
1940,-1.95,3.66,0.00
1950,-1.95,3.63,0.00
1960,-1.95,3.64,0.00
1970,-1.95,3.64,0.00
1980,-1.95,3.68,0.00
1990,-1.95,3.63,0.00
2000,-1.95,3.65,0.00
2010,-1.95,3.68,0.00
2020,-1.94,3.48,0.00
2030,-1.96,4.12,0.00
2040,-1.93,3.05,0.00
2050,-1.97,4.64,0.00
2060,-1.95,3.29,0.00
2070,-1.98,4.36,0.00
2080,-1.96,3.50,0.00
2090,-1.97,3.89,0.00
2100,-1.97,3.86,0.00
2110,-1.96,3.54,0.00
2120,-1.97,4.19,0.00
2130,-1.96,3.48,0.00
2140,-1.97,4.15,0.00
