tempo_ms,angulo_deg,u_pct,referencia
10,3.36,-69.21,0.00
20,3.36,-1.95,0.00
30,3.38,-2.41,0.00
40,3.37,-1.91,0.00
50,3.36,-1.85,0.00
60,3.35,-1.73,0.00
70,3.36,-2.36,0.00
80,3.37,-2.40,0.00
90,3.36,-1.94,0.00
100,3.37,-2.32,0.00
110,3.39,-2.52,0.00
120,3.39,-2.28,0.00
130,3.37,-1.84,0.00
140,3.37,-2.24,0.00
150,3.39,-2.76,0.00
160,3.39,-2.24,0.00
170,3.39,-2.28,0.00
180,3.40,-2.59,0.00
190,3.41,-2.67,0.00
200,3.40,-2.17,0.00
210,3.39,-2.27,0.00
220,3.42,-3.00,0.00
230,3.43,-2.66,0.00
240,3.43,-2.59,0.00
250,3.43,-2.48,0.00
260,3.43,-2.55,0.00
270,3.44,-2.76,0.00
280,3.46,-2.99,0.00
290,3.45,-2.59,0.00
300,3.44,-2.32,0.00
310,3.43,-2.48,0.00
320,3.43,-2.82,0.00
330,3.43,-2.71,0.00
340,3.44,-2.92,0.00
350,3.44,-2.80,0.00
360,3.45,-2.93,0.00
370,3.46,-3.11,0.00
380,3.46,-2.71,0.00
390,3.47,-3.11,0.00
400,3.47,-3.04,0.00
410,3.48,-2.98,0.00
420,3.50,-3.38,0.00
430,3.50,-2.99,0.00
440,3.49,-2.80,0.00
450,3.48,-2.82,0.00
460,3.49,-3.28,0.00
470,3.48,-2.89,0.00
480,3.49,-3.38,0.00
490,3.48,-2.93,0.00
500,3.49,-3.20,0.00
510,3.47,-2.84,0.00
520,3.48,-3.42,0.00
530,3.49,-3.45,0.00
540,3.49,-3.17,0.00
550,3.49,-3.24,0.00
560,3.46,-2.78,0.00
570,3.48,-3.55,0.00
580,3.47,-3.25,0.00
590,3.47,-3.27,0.00
600,3.47,-3.33,0.00
610,3.46,-3.26,0.00
620,3.46,-3.48,0.00
630,3.47,-3.53,0.00
640,3.48,-3.62,0.00
650,3.47,-3.33,0.00
660,3.46,-3.39,0.00
670,3.46,-3.51,0.00
680,3.45,-3.25,0.00
690,3.46,-3.72,0.00
700,3.44,-3.31,0.00
710,3.44,-3.64,0.00
720,3.46,-4.02,0.00
730,3.45,-3.40,0.00
740,3.46,-3.78,0.00
750,3.44,-3.45,0.00
760,3.43,-3.36,0.00
770,3.44,-4.09,0.00
780,3.44,-3.62,0.00
790,3.44,-3.84,0.00
800,3.43,-3.60,0.00
810,3.44,-4.00,0.00
820,3.44,-3.87,0.00
830,3.47,-4.48,0.00
840,3.46,-3.81,0.00
850,3.46,-3.93,0.00
860,3.45,-3.73,0.00
870,3.45,-3.97,0.00
880,3.43,-3.57,0.00
890,3.44,-4.17,0.00
900,3.43,-3.93,0.00
910,3.43,-4.10,0.00
920,3.44,-4.19,0.00
930,3.45,-4.26,0.00
940,3.45,-4.17,0.00
950,3.45,-4.15,0.00
960,3.44,-3.96,0.00
970,3.44,-4.32,0.00
980,3.44,-4.09,0.00
990,3.43,-4.09,0.00
1000,3.43,-4.33,0.00
1010,3.43,-4.16,0.00
1020,3.43,-4.33,0.00
1030,3.43,-4.30,0.00
1040,3.42,-4.14,0.00
1050,3.42,-4.47,0.00
1060,3.42,-4.31,0.00
1070,3.42,-4.45,0.00
1080,3.42,-4.48,0.00
1090,3.42,-4.44,0.00
1100,3.41,-4.31,0.00
1110,3.42,-4.71,0.00
1120,3.43,-4.73,0.00
1130,3.44,-4.69,0.00
1140,3.43,-4.54,0.00
1150,3.43,-4.44,0.00
1160,3.44,-4.93,0.00
1170,3.45,-4.79,0.00
1180,3.44,-4.46,0.00
1190,3.43,-4.64,0.00
1200,3.44,-4.81,0.00
1210,3.45,-4.92,0.00
1220,3.44,-4.67,0.00
1230,3.44,-4.80,0.00
1240,3.43,-4.51,0.00
1250,3.45,-5.18,0.00
1260,3.45,-4.99,0.00
1270,3.46,-4.99,0.00
1280,3.47,-5.23,0.00
1290,3.47,-4.96,0.00
1300,3.47,-5.00,0.00
1310,3.48,-5.05,0.00
1320,3.48,-5.18,0.00
1330,3.48,-4.87,0.00
1340,3.47,-5.02,0.00
1350,3.47,-5.03,0.00
1360,3.47,-5.16,0.00
1370,3.50,-5.61,0.00
1380,3.49,-5.11,0.00
1390,3.49,-5.21,0.00
1400,3.49,-5.11,0.00
1410,3.48,-5.00,0.00
1420,3.47,-5.11,0.00
1430,3.47,-5.20,0.00
1440,3.46,-5.07,0.00
1450,3.45,-5.20,0.00
1460,3.45,-5.23,0.00
1470,3.44,-5.26,0.00
1480,3.44,-5.21,0.00
