tempo_ms,angulo_deg,u_pct,referencia
10,3.92,-80.63,0.00
20,3.89,-1.73,0.00
30,3.87,-2.02,0.00
40,3.86,-2.05,0.00
50,3.86,-2.42,0.00
60,3.84,-1.92,0.00
70,3.83,-2.10,0.00
80,3.80,-1.92,0.00
90,3.80,-2.39,0.00
100,3.81,-2.55,0.00
110,3.80,-2.35,0.00
120,3.78,-1.98,0.00
130,3.75,-1.92,0.00
140,3.75,-2.61,0.00
150,3.77,-2.85,0.00
160,3.78,-2.75,0.00
170,3.77,-2.40,0.00
180,3.76,-2.45,0.00
190,3.77,-2.92,0.00
200,3.78,-2.81,0.00
210,3.76,-2.44,0.00
220,3.75,-2.35,0.00
230,3.74,-2.67,0.00
240,3.73,-2.55,0.00
250,3.72,-2.42,0.00
260,3.71,-2.64,0.00
270,3.70,-2.58,0.00
280,3.69,-2.61,0.00
290,3.68,-2.81,0.00
300,3.68,-2.75,0.00
310,3.68,-2.91,0.00
320,3.68,-2.98,0.00
330,3.67,-2.67,0.00
340,3.66,-2.88,0.00
350,3.66,-2.86,0.00
360,3.63,-2.47,0.00
370,3.63,-3.01,0.00
380,3.61,-2.66,0.00
390,3.61,-3.04,0.00
400,3.63,-3.36,0.00
410,3.61,-2.80,0.00
420,3.62,-3.36,0.00
430,3.62,-3.19,0.00
440,3.61,-2.83,0.00
450,3.59,-2.94,0.00
460,3.58,-2.99,0.00
470,3.57,-3.04,0.00
480,3.57,-3.06,0.00
490,3.57,-3.42,0.00
500,3.58,-3.47,0.00
510,3.58,-3.36,0.00
520,3.58,-3.30,0.00
530,3.58,-3.31,0.00
540,3.58,-3.36,0.00
550,3.57,-3.28,0.00
560,3.56,-3.26,0.00
570,3.55,-3.17,0.00
580,3.54,-3.30,0.00
590,3.53,-3.20,0.00
600,3.54,-3.68,0.00
610,3.52,-3.14,0.00
620,3.51,-3.35,0.00
630,3.51,-3.56,0.00
640,3.50,-3.48,0.00
650,3.49,-3.46,0.00
660,3.51,-3.87,0.00
670,3.49,-3.39,0.00
680,3.50,-3.81,0.00
690,3.49,-3.45,0.00
700,3.49,-3.69,0.00
710,3.49,-3.70,0.00
720,3.48,-3.57,0.00
730,3.49,-4.02,0.00
740,3.48,-3.55,0.00
750,3.48,-3.88,0.00
760,3.47,-3.77,0.00
770,3.46,-3.54,0.00
780,3.44,-3.52,0.00
790,3.46,-4.25,0.00
800,3.45,-3.69,0.00
810,3.44,-3.84,0.00
820,3.44,-3.93,0.00
830,3.44,-4.03,0.00
840,3.42,-3.55,0.00
850,3.43,-4.22,0.00
860,3.41,-3.61,0.00
870,3.39,-3.67,0.00
880,3.40,-4.18,0.00
890,3.38,-3.72,0.00
900,3.38,-4.25,0.00
910,3.37,-3.79,0.00
920,3.37,-4.27,0.00
930,3.37,-4.01,0.00
940,3.37,-4.19,0.00
950,3.36,-4.02,0.00
960,3.34,-3.91,0.00
970,3.33,-3.95,0.00
980,3.34,-4.47,0.00
990,3.34,-4.24,0.00
1000,3.32,-4.06,0.00
1010,3.32,-4.33,0.00
1020,3.31,-4.03,0.00
1030,3.31,-4.29,0.00
1040,3.30,-4.32,0.00
1050,3.30,-4.33,0.00
1060,3.32,-4.84,0.00
1070,3.31,-4.19,0.00
1080,3.31,-4.54,0.00
1090,3.30,-4.26,0.00
1100,3.29,-4.38,0.00
1110,3.28,-4.30,0.00
1120,3.30,-4.85,0.00
1130,3.30,-4.51,0.00
1140,3.28,-4.28,0.00
1150,3.30,-4.92,0.00
1160,3.28,-4.35,0.00
1170,3.27,-4.43,0.00
1180,3.25,-4.12,0.00
1190,3.25,-4.78,0.00
1200,3.23,-4.35,0.00
1210,3.23,-4.66,0.00
1220,3.22,-4.51,0.00
1230,3.23,-5.00,0.00
1240,3.24,-4.84,0.00
1250,3.26,-5.23,0.00
1260,3.25,-4.69,0.00
1270,3.25,-4.75,0.00
1280,3.25,-4.90,0.00
1290,3.24,-4.78,0.00
1300,3.23,-4.70,0.00
1310,3.23,-4.79,0.00
1320,3.24,-5.11,0.00
1330,3.24,-5.15,0.00
1340,3.23,-4.75,0.00
1350,3.24,-5.06,0.00
1360,3.25,-5.32,0.00
1370,3.24,-4.88,0.00
1380,3.24,-4.97,0.00
1390,3.23,-5.06,0.00
1400,3.23,-5.13,0.00
1410,3.24,-5.29,0.00
1420,3.26,-5.48,0.00
1430,3.27,-5.44,0.00
1440,3.27,-5.28,0.00
1450,3.27,-5.27,0.00
1460,3.25,-4.86,0.00
1470,3.25,-5.18,0.00
1480,3.25,-5.29,0.00
1490,3.24,-5.19,0.00
1500,3.25,-5.50,0.00
1510,3.26,-5.62,0.00
1520,3.26,-5.41,0.00
1530,3.26,-5.28,0.00
1540,3.25,-5.24,0.00
1550,3.25,-5.50,0.00
1560,3.25,-5.53,0.00
1570,3.27,-5.74,0.00
1580,3.26,-5.32,0.00
1590,3.25,-5.40,0.00
1600,3.24,-5.33,0.00
1610,3.24,-5.52,0.00
1620,3.23,-5.50,0.00
1630,3.23,-5.66,0.00
1640,3.23,-5.63,0.00
1650,3.23,-5.49,0.00
1660,3.22,-5.51,0.00
1670,3.21,-5.62,0.00
1680,3.20,-5.41,0.00
1690,3.21,-5.92,0.00
1700,3.21,-5.72,0.00
1710,3.21,-5.72,0.00
1720,3.21,-5.86,0.00
1730,3.21,-5.76,0.00
1740,3.22,-6.15,0.00
1750,3.22,-5.85,0.00
1760,3.21,-5.67,0.00
1770,3.20,-5.74,0.00
1780,3.22,-6.24,0.00
1790,3.20,-5.62,0.00
1800,3.20,-5.79,0.00
1810,3.20,-6.10,0.00
1820,3.21,-6.14,0.00
1830,3.21,-5.98,0.00
1840,3.21,-6.14,0.00
1850,3.21,-6.01,0.00
1860,3.21,-6.20,0.00
1870,3.21,-6.02,0.00
1880,3.20,-5.99,0.00
1890,3.19,-5.93,0.00
1900,3.19,-6.18,0.00
1910,3.18,-6.01,0.00
1920,3.18,-6.08,0.00
1930,3.17,-6.06,0.00
1940,3.18,-6.46,0.00
1950,3.17,-6.10,0.00
1960,3.18,-6.43,0.00
1970,3.18,-6.27,0.00
1980,3.16,-6.01,0.00
1990,3.16,-6.18,0.00
2000,3.15,-6.24,0.00
2010,3.15,-6.39,0.00
2020,3.14,-6.19,0.00
2030,3.15,-6.62,0.00
2040,3.16,-6.63,0.00
2050,3.17,-6.71,0.00
2060,3.16,-6.31,0.00
2070,3.16,-6.51,0.00
2080,3.15,-6.32,0.00
2090,3.16,-6.63,0.00
2100,3.15,-6.28,0.00
2110,3.16,-6.91,0.00
2120,3.15,-6.45,0.00
2130,3.16,-6.86,0.00
2140,3.16,-6.66,0.00
2150,3.16,-6.54,0.00
2160,3.17,-6.85,0.00
2170,3.14,-6.28,0.00
2180,3.13,-6.53,0.00
2190,3.15,-7.09,0.00
2200,3.15,-6.75,0.00
2210,3.14,-6.62,0.00
2220,3.14,-6.84,0.00
2230,3.15,-6.96,0.00
2240,3.14,-6.73,0.00
2250,3.14,-6.83,0.00
2260,3.12,-6.35,0.00
2270,3.11,-6.71,0.00
2280,3.12,-7.28,0.00
2290,3.11,-6.63,0.00
2300,3.09,-6.52,0.00
2310,3.09,-6.91,0.00
2320,3.09,-7.09,0.00
2330,3.09,-7.03,0.00
2340,3.09,-7.00,0.00
2350,3.08,-6.90,0.00
2360,3.05,-6.35,0.00
2370,3.03,-6.71,0.00
2380,3.02,-6.77,0.00
2390,2.99,-6.59,0.00
2400,2.98,-6.84,0.00
2410,2.95,-6.51,0.00
2420,2.95,-7.13,0.00
2430,2.94,-6.84,0.00
2440,2.94,-7.09,0.00
2450,2.92,-6.85,0.00
2460,2.92,-7.05,0.00
2470,2.91,-7.12,0.00
2480,2.90,-6.90,0.00
2490,2.87,-6.55,0.00
2500,2.86,-7.04,0.00
2510,2.87,-7.41,0.00
2520,2.86,-7.03,0.00
2530,2.85,-7.03,0.00
2540,2.84,-7.13,0.00
2550,2.83,-7.10,0.00
2560,2.84,-7.55,0.00
2570,2.85,-7.50,0.00
2580,2.84,-7.07,0.00
2590,2.82,-6.94,0.00
2600,2.81,-7.31,0.00
2610,2.83,-7.72,0.00
2620,2.82,-7.29,0.00
2630,2.81,-7.11,0.00
2640,2.78,-6.93,0.00
2650,2.78,-7.42,0.00
2660,2.79,-7.62,0.00
2670,2.80,-7.81,0.00
2680,2.79,-7.23,0.00
2690,2.77,-7.01,0.00
2700,2.76,-7.41,0.00
2710,2.76,-7.47,0.00
2720,2.76,-7.73,0.00
2730,2.78,-7.84,0.00
2740,2.75,-7.09,0.00
2750,2.75,-7.50,0.00
2760,2.73,-7.36,0.00
2770,2.74,-7.77,0.00
2780,2.74,-7.71,0.00
2790,2.73,-7.47,0.00
2800,2.72,-7.46,0.00
2810,2.70,-7.28,0.00
2820,2.70,-7.60,0.00
2830,2.70,-7.83,0.00
2840,2.70,-7.83,0.00
2850,2.70,-7.76,0.00
2860,2.70,-7.75,0.00
2870,2.68,-7.40,0.00
2880,2.67,-7.59,0.00
2890,2.66,-7.48,0.00
2900,2.65,-7.65,0.00
2910,2.66,-8.11,0.00
2920,2.66,-7.89,0.00
2930,2.65,-7.68,0.00
2940,2.65,-7.79,0.00
2950,2.62,-7.44,0.00
2960,2.60,-7.50,0.00
2970,2.61,-7.99,0.00
2980,2.61,-7.90,0.00
2990,2.60,-7.83,0.00
3000,2.59,-7.69,0.00
3010,2.59,-8.11,0.00
3020,2.59,-7.96,0.00
3030,2.57,-7.53,0.00
3040,2.55,-7.61,0.00
3050,2.54,-7.85,0.00
3060,2.54,-8.04,0.00
3070,2.52,-7.70,0.00
3080,2.52,-7.95,0.00
3090,2.51,-7.89,0.00
3100,2.49,-7.67,0.00
3110,2.49,-8.03,0.00
3120,2.48,-7.91,0.00
3130,2.48,-8.12,0.00
3140,2.46,-7.86,0.00
3150,2.45,-7.78,0.00
3160,2.43,-7.84,0.00
3170,2.41,-7.73,0.00
3180,2.40,-7.95,0.00
3190,2.38,-7.86,0.00
3200,2.38,-8.08,0.00
3210,2.36,-7.79,0.00
3220,2.35,-7.93,0.00
3230,2.33,-7.75,0.00
3240,2.30,-7.69,0.00
3250,2.27,-7.60,0.00
3260,2.25,-7.84,0.00
3270,2.22,-7.55,0.00
3280,2.19,-7.54,0.00
3290,2.18,-7.96,0.00
3300,2.17,-7.94,0.00
3310,2.15,-7.98,0.00
3320,2.14,-8.00,0.00
3330,2.14,-8.23,0.00
