tempo_ms,angulo_deg,u_pct,referencia
0,0.71,32.08,60.0
10,0.73,31.94,60.0
20,0.76,32.23,60.0
30,0.8,32.38,60.0
40,0.83,32.81,60.0
50,0.8,34.62,60.0
60,0.7,36.45,60.0
70,0.76,33.55,60.0
80,0.75,35.29,60.0
90,0.77,35.21,60.0
100,0.78,35.64,60.0
110,0.78,36.29,60.0
120,0.78,36.75,60.0
130,0.8,36.64,60.0
140,0.78,37.88,60.0
150,0.79,37.83,60.0
160,0.79,38.21,60.0
170,0.82,38.07,60.0
180,0.86,38.32,60.0
190,0.88,38.93,60.0
200,0.91,39.24,60.0
210,0.96,39.16,60.0
220,1.01,39.48,60.0
230,1.08,39.35,60.0
240,1.16,39.61,60.0
250,1.25,39.76,60.0
260,1.38,39.39,60.0
270,1.51,39.59,60.0
280,1.64,39.74,60.0
290,1.8,39.72,60.0
300,1.98,39.48,60.0
310,2.19,39.07,60.0
320,2.42,38.95,60.0
330,2.66,39.08,60.0
340,2.89,39.41,60.0
350,3.13,39.46,60.0
360,3.41,39.01,60.0
370,3.72,38.53,60.0
380,4.04,38.37,60.0
390,4.39,38.13,60.0
400,4.74,38.27,60.0
410,5.1,38.28,60.0
420,5.46,38.34,60.0
430,5.82,38.53,60.0
440,6.2,38.21,60.0
450,6.6,37.87,60.0
460,7.05,37.03,60.0
470,7.53,36.54,60.0
480,8.02,36.45,60.0
490,8.49,36.81,60.0
500,8.95,37.16,60.0
510,9.41,37.2,60.0
520,9.9,36.83,60.0
530,10.4,36.36,60.0
540,10.95,35.63,60.0
550,11.51,35.19,60.0
560,12.07,35.32,60.0
570,12.61,35.75,60.0
580,13.15,35.64,60.0
590,13.72,35.14,60.0
600,14.31,34.8,60.0
610,14.89,34.65,60.0
620,15.47,34.8,60.0
630,16.06,34.66,60.0
640,16.65,34.37,60.0
650,17.24,34.44,60.0
660,17.83,34.38,60.0
670,18.42,34.35,60.0
680,19.02,33.99,60.0
690,19.63,33.87,60.0
700,20.2,34.42,60.0
710,20.8,33.83,60.0
720,21.39,33.84,60.0
730,21.99,33.73,60.0
740,22.56,34.06,60.0
750,23.15,33.66,60.0
760,23.72,33.92,60.0
770,24.29,33.88,60.0
780,24.86,33.94,60.0
790,25.42,33.72,60.0
800,25.97,34.1,60.0
810,26.52,33.86,60.0
820,27.06,34.02,60.0
830,27.58,34.32,60.0
840,28.11,34.05,60.0
850,28.62,34.34,60.0
860,29.12,34.46,60.0
870,29.62,34.49,60.0
880,30.09,34.86,60.0
890,30.56,34.79,60.0
900,31.03,34.8,60.0
910,31.46,35.39,60.0
920,31.89,35.42,60.0
930,32.32,35.39,60.0
940,32.72,36.0,60.0
950,33.11,36.03,60.0
960,33.49,36.21,60.0
970,33.85,36.71,60.0
980,34.2,36.67,60.0
990,34.55,36.87,60.0
1000,34.87,37.34,60.0
1010,35.2,37.09,60.0
1020,35.49,37.76,60.0
1030,35.78,37.92,60.0
1040,36.07,37.81,60.0
1050,36.32,38.73,60.0
1060,36.56,38.97,60.0
1070,36.8,38.89,60.0
1080,37.04,39.0,60.0
1090,37.25,39.46,60.0
1100,37.44,40.03,60.0
1110,37.63,40.17,60.0
1120,37.81,40.18,60.0
1130,37.98,40.48,60.0
1140,38.12,41.22,60.0
1150,38.24,41.83,60.0
1160,38.34,42.03,60.0
1170,38.45,42.17,60.0
1180,38.55,42.2,60.0
1190,38.66,42.26,60.0
1200,38.77,42.26,60.0
1210,38.88,42.47,60.0
1220,38.97,42.83,60.0
1230,39.05,43.1,60.0
1240,39.11,43.67,60.0
1250,39.16,44.0,60.0
1260,39.2,44.31,60.0
1270,39.23,44.53,60.0
1280,39.26,44.78,60.0
1290,39.26,45.35,60.0
1300,39.25,45.78,60.0
1310,39.24,45.94,60.0
1320,39.23,46.2,60.0
1330,39.22,46.14,60.0
1340,39.22,46.13,60.0
1350,39.2,46.72,60.0
1360,39.19,46.79,60.0
1370,39.18,46.7,60.0
1380,39.17,47.07,60.0
1390,39.16,46.96,60.0
1400,39.14,47.46,60.0
1410,39.14,47.17,60.0
1420,39.13,47.51,60.0
1430,39.13,47.62,60.0
1440,39.12,47.67,60.0
1450,39.13,47.72,60.0
1460,39.13,47.73,60.0
1470,39.14,47.82,60.0
1480,39.15,48.06,60.0
1490,39.17,47.91,60.0
1500,39.18,48.05,60.0
1510,39.21,48.05,60.0
1520,39.23,48.14,60.0
1530,39.27,48.05,60.0
1540,39.31,48.08,60.0
1550,39.35,48.18,60.0
1560,39.41,48.01,60.0
1570,39.46,48.2,60.0
1580,39.52,48.09,60.0
1590,39.57,48.28,60.0
1600,39.64,48.13,60.0
1610,39.71,48.32,60.0
1620,39.79,48.14,60.0
1630,39.86,48.25,60.0
1640,39.94,48.31,60.0
1650,40.03,48.2,60.0
1660,40.12,48.26,60.0
1670,40.22,48.2,60.0
1680,40.31,48.32,60.0
1690,40.42,48.09,60.0
1700,40.53,48.12,60.0
1710,40.65,47.95,60.0
1720,40.77,48.12,60.0
1730,40.9,47.88,60.0
1740,41.02,48.05,60.0
1750,41.16,47.88,60.0
1760,41.29,48.06,60.0
1770,41.43,47.84,60.0
1780,41.57,48.0,60.0
1790,41.71,47.9,60.0
1800,41.86,47.85,60.0
1810,42.01,47.78,60.0
1820,42.17,47.71,60.0
1830,42.33,47.57,60.0
1840,42.5,47.55,60.0
1850,42.67,47.52,60.0
1860,42.84,47.49,60.0
1870,43.02,47.51,60.0
1880,43.2,47.36,60.0
1890,43.37,47.5,60.0
1900,43.56,47.25,60.0
1910,43.73,47.5,60.0
1920,43.92,47.18,60.0
1930,44.1,47.35,60.0
1940,44.29,47.22,60.0
1950,44.47,47.3,60.0
1960,44.66,47.25,60.0
1970,44.84,47.28,60.0
1980,45.03,47.32,60.0
1990,45.21,47.2,60.0
2000,45.4,47.24,60.0
2010,45.59,47.11,60.0
2020,45.78,47.19,60.0
2030,45.97,47.07,60.0
2040,46.16,47.03,60.0
2050,46.35,47.0,60.0
2060,46.54,47.1,60.0
2070,46.73,46.99,60.0
2080,46.91,47.18,60.0
2090,47.1,46.93,60.0
2100,47.28,47.16,60.0
2110,47.47,46.94,60.0
2120,47.65,47.09,60.0
2130,47.83,47.06,60.0
2140,48.01,47.06,60.0
2150,48.19,47.14,60.0
2160,48.37,47.05,60.0
2170,48.53,47.25,60.0
2180,48.71,47.15,60.0
2190,48.87,47.33,60.0
2200,49.03,47.17,60.0
2210,49.2,47.25,60.0
2220,49.36,47.27,60.0
2230,49.52,47.29,60.0
2240,49.66,47.51,60.0
2250,49.81,47.48,60.0
2260,49.95,47.67,60.0
2270,50.09,47.63,60.0
2280,50.22,47.69,60.0
2290,50.35,47.71,60.0
2300,50.48,47.81,60.0
2310,50.61,47.88,60.0
2320,50.73,47.85,60.0
2330,50.85,48.03,60.0
2340,50.97,47.97,60.0
2350,51.07,48.19,60.0
2360,51.18,48.08,60.0
2370,51.29,48.25,60.0
2380,51.39,48.34,60.0
2390,51.49,48.28,60.0
2400,51.58,48.44,60.0
2410,51.68,48.39,60.0
2420,51.77,48.53,60.0
2430,51.86,48.51,60.0
2440,51.94,48.76,60.0
2450,52.03,48.6,60.0
2460,52.1,48.79,60.0
2470,52.18,48.81,60.0
2480,52.25,48.96,60.0
2490,52.32,48.93,60.0
2500,52.39,49.07,60.0
2510,52.45,49.12,60.0
2520,52.51,49.2,60.0
2530,52.58,49.19,60.0
2540,52.63,49.39,60.0
2550,52.69,49.27,60.0
2560,52.74,49.52,60.0
2570,52.79,49.52,60.0
2580,52.83,49.72,60.0
2590,52.88,49.57,60.0
2600,52.92,49.71,60.0
2610,52.97,49.62,60.0
2620,53.01,49.8,60.0
2630,53.05,49.83,60.0
2640,53.09,49.89,60.0
2650,53.12,49.94,60.0
2660,53.16,49.99,60.0
2670,53.19,50.07,60.0
2680,53.23,50.04,60.0
2690,53.25,50.24,60.0
2700,53.3,49.98,60.0
2710,53.33,50.22,60.0
2720,53.36,50.2,60.0
2730,53.4,50.09,60.0
2740,53.43,50.29,60.0
2750,53.47,50.07,60.0
2760,53.5,50.43,60.0
2770,53.53,50.42,60.0
2780,53.56,50.23,60.0
2790,53.58,50.71,60.0
2800,53.62,50.2,60.0
2810,53.65,50.44,60.0
2820,53.69,50.36,60.0
2830,53.73,50.41,60.0
2840,53.76,50.54,60.0
2850,53.79,50.43,60.0
2860,53.82,50.66,60.0
2870,53.85,50.5,60.0
2880,53.88,50.67,60.0
2890,53.91,50.7,60.0
2900,53.94,50.65,60.0
2910,53.97,50.69,60.0
2920,54.0,50.81,60.0
2930,54.04,50.53,60.0
2940,54.07,50.82,60.0
2950,54.11,50.51,60.0
2960,54.14,50.74,60.0
2970,54.18,50.73,60.0
2980,54.21,50.71,60.0
2990,54.25,50.71,60.0
3000,54.28,50.84,60.0
3010,54.33,50.63,60.0
3020,54.37,50.68,60.0
3030,54.41,50.76,60.0
3040,54.45,50.63,60.0
3050,54.49,50.7,60.0
3060,54.53,50.69,60.0
3070,54.58,50.71,60.0
3080,54.61,50.83,60.0
3090,54.66,50.72,60.0
3100,54.71,50.56,60.0
3110,54.75,50.86,60.0
3120,54.8,50.56,60.0
3130,54.84,50.72,60.0
3140,54.9,50.43,60.0
3150,54.95,50.68,60.0
3160,55.0,50.63,60.0
3170,55.05,50.66,60.0
3180,55.09,50.79,60.0
3190,55.13,50.82,60.0
3200,55.19,50.56,60.0
3210,55.23,50.84,60.0
3220,55.28,50.54,60.0
3230,55.33,50.68,60.0
3240,55.38,50.75,60.0
3250,55.43,50.61,60.0
3260,55.47,50.86,60.0
3270,55.52,50.83,60.0
3280,55.56,50.73,60.0
3290,55.6,50.86,60.0
3300,55.65,50.82,60.0
3310,55.69,50.75,60.0
3320,55.74,50.81,60.0
3330,55.79,50.66,60.0
3340,55.84,50.75,60.0
3350,55.88,50.84,60.0
3360,55.93,50.7,60.0
3370,55.97,50.84,60.0
3380,56.01,50.92,60.0
3390,56.06,50.7,60.0
3400,56.1,50.89,60.0
3410,56.14,50.92,60.0
3420,56.19,50.68,60.0
3430,56.24,50.82,60.0
3440,56.29,50.7,60.0
3450,56.33,50.76,60.0
3460,56.37,50.95,60.0
3470,56.42,50.76,60.0
3480,56.46,50.85,60.0
3490,56.5,50.86,60.0
3500,56.54,50.8,60.0
3510,56.59,50.79,60.0
3520,56.62,51.02,60.0
3530,56.67,50.68,60.0
3540,56.72,50.8,60.0
3550,56.76,50.79,60.0
3560,56.81,50.61,60.0
3570,56.85,50.9,60.0
3580,56.89,50.84,60.0
3590,56.94,50.77,60.0
3600,56.98,50.83,60.0
3610,57.02,50.85,60.0
3620,57.06,50.76,60.0
3630,57.1,50.83,60.0
3640,57.14,50.79,60.0
3650,57.19,50.69,60.0
3660,57.23,50.85,60.0
3670,57.27,50.73,60.0
3680,57.32,50.72,60.0
3690,57.35,50.9,60.0
3700,57.4,50.56,60.0
3710,57.44,50.86,60.0
3720,57.48,50.8,60.0
3730,57.52,50.72,60.0
3740,57.56,50.87,60.0
3750,57.59,50.87,60.0
3760,57.63,50.73,60.0
3770,57.66,50.99,60.0
3780,57.7,50.78,60.0
3790,57.73,50.89,60.0
3800,57.76,51.01,60.0
3810,57.8,50.78,60.0
3820,57.83,50.96,60.0
3830,57.86,50.9,60.0
3840,57.89,50.92,60.0
3850,57.92,50.86,60.0
3860,57.95,50.95,60.0
3870,57.98,50.85,60.0
3880,58.01,50.94,60.0
3890,58.04,50.98,60.0
3900,58.07,50.81,60.0
3910,58.1,51.0,60.0
3920,58.12,51.01,60.0
3930,58.16,50.83,60.0
3940,58.18,51.11,60.0
3950,58.21,50.79,60.0
3960,58.24,50.87,60.0
3970,58.27,50.98,60.0
3980,58.29,50.89,60.0
3990,58.32,50.91,60.0
4000,58.35,51.0,60.0
4010,58.37,50.96,60.0
4020,58.4,50.82,60.0
4030,58.42,51.0,60.0
4040,58.45,50.89,60.0
4050,58.49,50.71,60.0
4060,58.51,50.95,60.0
4070,58.54,50.9,60.0
4080,58.57,50.74,60.0
4090,58.59,51.03,60.0
4100,58.63,50.73,60.0
4110,58.65,50.85,60.0
4120,58.67,50.99,60.0
4130,58.71,50.71,60.0
4140,58.73,50.87,60.0
4150,58.75,51.0,60.0
4160,58.78,50.74,60.0
4170,58.8,51.03,60.0
4180,58.81,51.03,60.0
4190,58.84,50.83,60.0
4200,58.86,50.94,60.0
4210,58.88,51.0,60.0
4220,58.9,50.86,60.0
4230,58.92,51.06,60.0
4240,58.95,50.72,60.0
4250,58.96,50.99,60.0
4260,58.99,50.86,60.0
4270,59.01,50.75,60.0
4280,59.03,50.98,60.0
4290,59.05,50.94,60.0
4300,59.07,50.86,60.0
4310,59.08,51.16,60.0
4320,59.09,50.99,60.0
4330,59.12,50.83,60.0
4340,59.13,51.07,60.0
4350,59.15,50.84,60.0
4360,59.17,50.92,60.0
4370,59.18,51.07,60.0
4380,59.19,50.95,60.0
4390,59.2,51.04,60.0
4400,59.21,51.11,60.0
4410,59.22,51.05,60.0
4420,59.23,51.15,60.0
4430,59.23,51.24,60.0
4440,59.25,50.97,60.0
4450,59.24,51.32,60.0
4460,59.25,51.14,60.0
4470,59.26,51.07,60.0
4480,59.26,51.42,60.0
4490,59.26,51.27,60.0
4500,59.26,51.27,60.0
4510,59.25,51.54,60.0
4520,59.25,51.23,60.0
4530,59.25,51.41,60.0
4540,59.24,51.34,60.0
4550,59.24,51.35,60.0
4560,59.25,51.21,60.0
4570,59.25,51.36,60.0
4580,59.25,51.36,60.0
4590,59.25,51.27,60.0
4600,59.25,51.37,60.0
4610,59.25,51.32,60.0
4620,59.26,51.17,60.0
4630,59.26,51.42,60.0
4640,59.26,51.28,60.0
4650,59.27,51.17,60.0
4660,59.27,51.41,60.0
4670,59.28,51.22,60.0
4680,59.28,51.29,60.0
4690,59.28,51.44,60.0
4700,59.28,51.32,60.0
4710,59.28,51.31,60.0
4720,59.28,51.47,60.0
4730,59.28,51.3,60.0
4740,59.29,51.19,60.0
4750,59.29,51.44,60.0
4760,59.3,51.32,60.0
4770,59.3,51.33,60.0
4780,59.3,51.43,60.0
4790,59.3,51.4,60.0
4800,59.31,51.29,60.0
4810,59.3,51.53,60.0
4820,59.31,51.31,60.0
4830,59.31,51.32,60.0
4840,59.31,51.37,60.0
4850,59.32,51.4,60.0
4860,59.32,51.27,60.0
4870,59.32,51.46,60.0
4880,59.33,51.32,60.0
