tempo_ms,angulo_deg,u_pct,referencia
12,-1.14,49.69,45.05
22,-1.14,27.20,45.08
31,-1.13,27.47,45.12
42,-1.13,27.83,45.16
52,-1.13,28.16,45.20
177,-1.23,30.97,45.70
187,-1.21,28.82,45.74
197,-1.20,29.30,45.78
208,-1.17,29.22,45.82
218,-1.13,29.31,45.86
227,-1.06,29.13,45.90
237,-1.00,29.50,45.94
248,-0.93,29.62,45.99
258,-0.82,29.13,46.03
268,-0.72,29.78,46.08
277,-0.61,29.58,46.11
287,-0.50,29.96,46.16
298,-0.37,29.88,46.20
308,-0.21,29.45,46.25
317,-0.04,29.53,46.29
327,0.13,29.60,46.33
338,0.33,29.30,46.38
348,0.53,29.51,46.42
358,0.75,29.54,46.47
367,0.98,29.35,46.50
378,1.23,28.96,46.55
388,1.50,29.05,46.60
398,1.76,29.26,46.64
407,2.05,28.82,46.68
418,2.37,28.26,46.73
428,2.70,28.34,46.78
438,3.02,28.60,46.82
448,3.36,28.51,46.87
457,3.73,27.83,46.91
468,4.11,27.61,46.96
478,4.51,27.46,47.01
488,4.93,27.21,47.05
498,5.36,26.88,47.10
508,5.79,27.09,47.15
518,6.22,26.96,47.19
528,6.68,26.55,47.24
538,7.15,26.15,47.29
548,7.62,26.32,47.34
558,8.09,26.46,47.38
568,8.58,25.94,47.43
578,9.08,25.69,47.48
589,9.57,26.00,47.53
598,10.08,25.55,47.57
608,10.60,25.24,47.62
618,11.11,25.47,47.67
628,11.62,25.42,47.72
638,12.14,25.20,47.77
648,12.66,25.29,47.82
658,13.18,25.08,47.87
668,13.72,24.66,47.92
678,14.23,25.26,47.97
688,14.76,24.77,48.02
698,15.29,24.83,48.07
708,15.80,25.05,48.12
719,16.32,24.74,48.17
728,16.83,25.10,48.22
738,17.34,24.76,48.27
748,17.85,24.81,48.32
759,18.37,24.67,48.38
769,18.86,25.04,48.43
778,19.36,24.89,48.47
788,19.84,25.26,48.52
798,20.32,25.03,48.58
809,20.80,25.07,48.63
818,21.27,25.26,48.68
828,21.74,25.25,48.73
838,22.17,25.73,48.78
849,22.62,25.49,48.84
859,23.05,25.90,48.89
868,23.48,25.78,48.94
878,23.90,25.92,49.00
889,24.30,26.20,49.05
899,24.70,26.27,49.11
908,25.08,26.63,49.16
