tempo_ms,angulo_deg,u_pct,referencia
10,0.00,59.28,18.11
20,0.00,64.32,17.76
30,0.00,31.09,17.08
40,2.32,7.84,16.74
50,4.65,1.22,16.42
60,8.66,0.25,16.11
70,12.64,0.00,15.80
80,15.70,0.00,15.50
90,18.26,4.23,15.21
100,20.25,6.77,14.92
110,21.61,8.52,14.64
120,22.40,9.68,14.08
130,22.64,12.06,13.81
140,22.39,14.95,13.55
150,21.71,18.80,13.29
160,20.67,23.61,13.04
170,19.36,27.81,12.79
180,17.94,30.14,12.56
190,16.54,29.86,12.32
200,15.34,27.51,12.09
210,14.42,23.50,11.87
220,13.79,19.96,11.64
230,13.38,18.46,11.42
240,13.08,19.43,11.20
250,12.77,21.08,10.99
260,12.41,22.59,10.79
270,12.04,23.01,10.58
280,11.69,22.02,10.39
290,11.41,20.61,10.19
300,11.21,19.46,10.00
310,11.07,18.32,9.64
320,10.97,17.91,9.46
330,10.86,18.11,9.29
340,10.72,18.68,9.11
350,10.56,19.16,8.94
360,10.36,19.40,8.77
370,10.16,19.35,8.62
380,9.96,19.01,8.45
390,9.78,18.60,8.30
400,9.62,18.25,8.15
410,9.48,18.01,8.01
420,9.35,17.85,7.86
430,9.22,17.82,7.72
440,9.09,17.81,7.58
450,8.96,17.73,7.43
460,8.83,17.62,7.29
470,8.70,17.49,7.16
480,8.58,17.33,7.02
490,8.46,17.19,6.90
500,8.35,16.79,6.64
510,8.24,16.61,6.52
520,8.12,16.50,6.39
530,8.01,16.44,6.25
540,7.89,16.40,6.12
550,7.77,16.42,6.01
560,7.64,16.41,5.89
570,7.51,16.40,5.80
580,7.39,16.39,5.72
590,7.27,16.31,5.62
600,7.16,16.14,5.51
610,7.05,15.93,5.39
620,6.96,15.70,5.27
630,6.88,15.33,5.07
640,6.80,15.21,4.99
650,6.72,15.18,4.90
660,6.64,15.20,4.81
670,6.55,15.23,4.73
680,6.46,15.28,4.67
690,6.37,15.27,4.60
700,6.29,15.20,4.52
710,6.20,15.09,4.44
720,6.13,14.92,4.34
730,6.06,14.80,4.27
740,6.00,14.69,4.19
750,5.94,14.59,4.11
760,5.88,14.50,4.03
770,5.83,14.42,3.95
780,5.78,14.40,3.90
790,5.72,14.36,3.83
800,5.67,14.30,3.76
810,5.62,14.21,3.68
820,5.56,14.15,3.62
830,5.51,14.10,3.56
840,5.46,14.11,3.53
850,5.41,13.95,3.41
860,5.37,13.87,3.35
870,5.32,13.86,3.32
880,5.27,13.83,3.26
890,5.23,13.76,3.19
900,5.18,13.72,3.14
910,5.14,13.74,3.12
920,5.10,13.71,3.07
930,5.06,13.62,3.00
940,5.02,13.54,2.95
950,4.98,13.53,2.93
960,4.95,13.50,2.89
970,4.91,13.40,2.82
980,4.88,13.37,2.79
990,4.85,13.18,2.68
1000,4.82,13.14,2.65
1010,4.79,13.13,2.62
1020,4.76,13.09,2.56
1030,4.73,13.07,2.52
1040,4.70,13.11,2.51
1050,4.66,13.14,2.49
1060,4.63,13.11,2.45
1070,4.59,13.06,2.41
1080,4.56,13.04,2.39
1090,4.53,12.94,2.33
1100,4.51,12.92,2.31
1110,4.48,12.87,2.28
1120,4.46,12.86,2.26
1130,4.44,12.78,2.21
1140,4.42,12.79,2.21
1150,4.40,12.72,2.16
1160,4.38,12.64,2.11
1170,4.36,12.61,2.09
1180,4.34,12.63,2.08
1190,4.32,12.61,2.05
1200,4.30,12.60,2.03
1210,4.28,12.56,2.00
1220,4.26,12.59,2.00
1230,4.24,12.60,1.99
1240,4.22,12.52,1.94
1250,4.20,12.49,1.92
1260,4.18,12.50,1.92
1270,4.17,12.43,1.87
1280,4.15,12.41,1.86
1290,4.14,12.40,1.85
1300,4.12,12.34,1.81
1310,4.11,12.29,1.78
1320,4.10,12.30,1.78
1330,4.08,12.25,1.74
1340,4.07,12.29,1.75
1350,4.05,12.27,1.73
1360,4.04,12.20,1.68
1370,4.02,12.16,1.66
1380,4.01,12.18,1.66
1390,4.00,12.17,1.64
1400,3.98,12.13,1.61
1410,3.96,12.12,1.60
1420,3.95,12.16,1.61
1430,3.94,12.13,1.58
1440,3.92,12.16,1.59
1450,3.91,12.11,1.56
1460,3.89,12.06,1.53
1470,3.88,12.06,1.53
1480,3.87,12.07,1.53
1490,3.87,12.04,1.51
1500,3.86,12.01,1.50
1510,3.85,12.05,1.52
1520,3.84,12.03,1.50
1530,3.83,11.93,1.45
1540,3.83,11.89,1.43
1550,3.82,11.85,1.41
1560,3.82,11.86,1.41
1570,3.81,11.87,1.41
1580,3.80,11.91,1.42
1590,3.79,11.87,1.39
1600,3.78,11.87,1.38
1610,3.77,11.88,1.38
1620,3.76,11.89,1.37
1630,3.75,11.82,1.33
1640,3.74,11.82,1.33
1650,3.73,11.85,1.34
1660,3.73,11.83,1.32
1670,3.72,11.83,1.32
1680,3.71,11.81,1.31
1690,3.70,11.76,1.28
1700,3.70,11.74,1.27
1710,3.69,11.78,1.29
1720,3.69,11.75,1.27
1730,3.68,11.70,1.24
1740,3.67,11.66,1.22
1750,3.67,11.69,1.23
1760,3.66,11.64,1.20
1770,3.66,11.60,1.17
1780,3.65,11.64,1.19
1790,3.64,11.68,1.20
1800,3.63,11.65,1.17
1810,3.62,11.62,1.15
1820,3.61,11.64,1.16
1830,3.60,11.60,1.13
1840,3.60,11.59,1.12
1850,3.59,11.63,1.14
1860,3.58,11.66,1.15
1870,3.57,11.62,1.12
1880,3.57,11.58,1.10
1890,3.56,11.53,1.08
1900,3.56,11.48,1.05
1910,3.55,11.49,1.06
1920,3.55,11.54,1.08
1930,3.54,11.53,1.07
1940,3.54,11.50,1.05
1950,3.53,11.52,1.06
1960,3.53,11.55,1.07
1970,3.52,11.51,1.04
1980,3.51,11.49,1.03
1990,3.51,11.52,1.05
2000,3.51,11.51,1.04
2010,3.50,11.51,1.04
2020,3.50,11.51,1.04
2030,3.50,11.47,1.02
2040,3.50,11.45,1.01
2050,3.49,11.46,1.02
2060,3.49,11.50,1.04
2070,3.49,11.47,1.02
2080,3.49,11.41,0.99
2090,3.49,11.40,0.99
2100,3.49,11.43,1.00
2110,3.48,11.42,0.99
2120,3.48,11.42,0.99
2130,3.48,11.37,0.96
2140,3.48,11.34,0.94
2150,3.47,11.34,0.94
2160,3.47,11.36,0.94
2170,3.46,11.34,0.92
2180,3.46,11.33,0.91
2190,3.45,11.36,0.92
2200,3.44,11.38,0.92
2210,3.43,11.30,0.87
2220,3.43,11.30,0.87
2230,3.42,11.34,0.89
2240,3.41,11.31,0.86
2250,3.41,11.35,0.88
2260,3.40,11.39,0.90
2270,3.39,11.37,0.88
2280,3.39,11.32,0.86
2290,3.38,11.31,0.86
2300,3.38,11.37,0.89
2310,3.38,11.37,0.89
2320,3.38,11.32,0.87
2330,3.38,11.32,0.88
2340,3.38,11.34,0.89
2350,3.38,11.31,0.88
2360,3.38,11.36,0.91
2370,3.38,11.35,0.91
2380,3.39,11.31,0.89
2390,3.39,11.30,0.89
2400,3.39,11.29,0.89
2410,3.40,11.25,0.87
2420,3.40,11.27,0.88
2430,3.40,11.30,0.90
2440,3.40,11.32,0.90
2450,3.40,11.30,0.89
2460,3.40,11.31,0.89
2470,3.40,11.33,0.90
2480,3.40,11.30,0.88
2490,3.40,11.27,0.86
2500,3.40,11.28,0.87
2510,3.40,11.23,0.84
2520,3.39,11.18,0.81
2530,3.39,11.20,0.82
2540,3.39,11.25,0.84
2550,3.38,11.25,0.83
2560,3.38,11.27,0.83
2570,3.37,11.31,0.85
2580,3.37,11.27,0.82
2590,3.36,11.22,0.79
2600,3.35,11.21,0.79
2610,3.35,11.27,0.82
2620,3.35,11.28,0.82
2630,3.34,11.25,0.80
2640,3.34,11.27,0.82
2650,3.34,11.29,0.83
2660,3.34,11.22,0.79
2670,3.34,11.21,0.79
2680,3.34,11.23,0.81
2690,3.34,11.22,0.80
2700,3.34,11.16,0.77
2710,3.34,11.17,0.78
2720,3.34,11.21,0.80
2730,3.34,11.22,0.80
2740,3.34,11.20,0.79
2750,3.33,11.22,0.80
2760,3.33,11.23,0.80
2770,3.33,11.20,0.78
2780,3.33,11.16,0.76
2790,3.33,11.15,0.76
2800,3.33,11.14,0.75
2810,3.33,11.14,0.75
2820,3.33,11.18,0.77
2830,3.32,11.18,0.76
2840,3.32,11.13,0.73
2850,3.32,11.17,0.75
2860,3.31,11.23,0.78
2870,3.31,11.21,0.76
2880,3.30,11.12,0.71
2890,3.30,11.08,0.70
2900,3.30,11.14,0.73
2910,3.30,11.13,0.72
2920,3.30,11.10,0.70
2930,3.29,11.09,0.70
2940,3.29,11.10,0.70
2950,3.29,11.09,0.69
2960,3.28,11.08,0.68
2970,3.28,11.08,0.68
2980,3.27,11.09,0.68
2990,3.27,11.08,0.67
3000,3.27,11.10,0.68
3010,3.26,11.11,0.68
3020,3.26,11.15,0.70
3030,3.25,11.15,0.70
3040,3.25,11.14,0.69
3050,3.25,11.09,0.67
3060,3.25,11.06,0.66
3070,3.25,11.05,0.66
3080,3.25,11.05,0.66
3090,3.25,11.07,0.67
3100,3.25,11.07,0.67
3110,3.25,11.09,0.68
3120,3.25,11.05,0.66
3130,3.25,11.04,0.65
3140,3.25,11.07,0.67
3150,3.25,11.12,0.69
3160,3.25,11.12,0.69
3170,3.25,11.10,0.68
3180,3.25,11.06,0.66
3190,3.25,11.06,0.66
3200,3.25,11.11,0.69
3210,3.25,11.13,0.70
3220,3.25,11.09,0.68
3230,3.25,11.06,0.67
3240,3.25,11.11,0.70
3250,3.25,11.17,0.73
3260,3.25,11.16,0.72
3270,3.25,11.15,0.72
3280,3.26,11.17,0.74
3290,3.26,11.19,0.75
3300,3.27,11.20,0.76
3310,3.27,11.22,0.78
3320,3.28,11.23,0.79
3330,3.28,11.27,0.82
3340,3.29,11.27,0.83
3350,3.30,11.32,0.86
3360,3.31,11.28,0.85
3370,3.32,11.26,0.85
3380,3.33,11.20,0.83
3390,3.34,11.12,0.80
3400,3.35,11.07,0.78
3410,3.36,11.06,0.78
3420,3.37,11.11,0.80
3430,3.37,11.15,0.81
3440,3.37,11.11,0.78
3450,3.37,11.13,0.78
3460,3.36,11.16,0.78
3470,3.36,11.21,0.79
3480,3.35,11.25,0.80
3490,3.34,11.27,0.80
3500,3.33,11.26,0.79
3510,3.33,11.29,0.80
3520,3.32,11.27,0.79
3530,3.32,11.25,0.78
3540,3.31,11.22,0.77
3550,3.31,11.19,0.76
3560,3.31,11.19,0.77
3570,3.31,11.15,0.75
3580,3.31,11.11,0.73
3590,3.32,11.13,0.75
3600,3.32,11.18,0.77
3610,3.31,11.14,0.74
3620,3.31,11.08,0.71
3630,3.31,11.11,0.73
3640,3.31,11.22,0.78
3650,3.31,11.22,0.77
3660,3.30,11.14,0.72
3670,3.30,11.10,0.71
3680,3.30,11.16,0.74
3690,3.30,11.21,0.76
3700,3.29,11.16,0.73
3710,3.29,11.19,0.75
3720,3.29,11.16,0.74
3730,3.29,11.15,0.73
3740,3.29,11.18,0.75
3750,3.29,11.21,0.77
3760,3.29,11.20,0.76
3770,3.29,11.13,0.73
3780,3.29,11.14,0.74
3790,3.30,11.17,0.76
3800,3.30,11.17,0.76
3810,3.30,11.17,0.76
3820,3.30,11.16,0.76
3830,3.30,11.15,0.75
3840,3.30,11.14,0.75
3850,3.31,11.12,0.74
3860,3.31,11.14,0.75
3870,3.31,11.18,0.77
3880,3.31,11.19,0.77
3890,3.31,11.12,0.73
3900,3.31,11.15,0.75
3910,3.31,11.12,0.73
3920,3.31,11.09,0.71
3930,3.30,11.12,0.73
3940,3.30,11.15,0.74
3950,3.30,11.13,0.72
3960,3.30,11.07,0.69
3970,3.29,11.15,0.73
3980,3.29,11.16,0.73
3990,3.29,11.12,0.70
4000,3.28,11.11,0.70
4010,3.28,11.15,0.72
4020,3.28,11.14,0.71
4030,3.28,11.12,0.70
4040,3.27,11.19,0.74
4050,3.27,11.20,0.74
4060,3.27,11.18,0.73
4070,3.27,11.14,0.72
4080,3.27,11.16,0.73
4090,3.27,11.15,0.73
4100,3.28,11.14,0.73
4110,3.28,11.15,0.74
4120,3.28,11.18,0.76
4130,3.28,11.14,0.74
4140,3.29,11.08,0.71
4150,3.29,11.09,0.72
4160,3.29,11.14,0.75
4170,3.30,11.14,0.74
4180,3.30,11.16,0.75
4190,3.30,11.12,0.73
4200,3.30,11.09,0.71
