tempo_ms,angulo_deg,u_pct,referencia
10,-0.80,0.00,0.00
20,-0.83,0.00,0.00
30,-0.81,0.00,0.00
40,-0.79,0.00,0.00
50,-0.77,0.00,0.00
60,-0.77,0.00,0.00
70,-0.74,0.00,0.00
80,-0.73,0.00,0.00
90,-0.73,0.00,0.00
100,-0.73,0.00,0.00
110,-0.71,0.00,0.00
120,-0.68,0.00,0.00
130,-0.68,0.00,0.00
140,-0.72,0.00,0.00
150,-0.72,0.00,0.00
160,-0.69,0.00,0.00
170,-0.68,0.00,0.00
180,-0.70,0.00,0.00
190,-0.67,0.00,0.00
200,-0.65,0.00,0.00
210,-0.65,0.00,0.00
220,-0.68,0.00,0.00
230,-0.67,0.00,0.00
240,-0.64,0.00,0.00
250,-0.64,0.00,0.00
260,-0.64,0.00,0.00
270,-0.63,0.00,0.00
280,-0.60,0.00,0.00
290,-0.60,0.00,0.00
300,-0.63,0.00,0.00
310,-0.61,0.00,0.00
320,-0.58,0.00,0.00
330,-0.57,0.00,0.00
340,-0.60,0.00,0.00
350,-0.57,0.00,0.00
360,-0.56,0.00,0.00
370,-0.56,0.00,0.00
380,-0.57,0.00,0.00
390,-0.53,0.00,0.00
400,-0.52,0.00,0.00
410,-0.52,0.00,0.00
420,-0.50,0.00,0.00
430,-0.48,0.00,0.00
440,-0.50,0.00,0.00
450,-0.50,0.00,0.00
460,-0.47,0.00,0.00
470,-0.45,0.00,0.00
480,-0.47,0.00,0.00
490,-0.45,0.00,0.00
500,-0.45,0.00,0.00
510,-0.44,0.00,0.00
520,-0.45,0.00,0.00
530,-0.44,0.00,0.00
540,-0.43,0.00,0.00
550,-0.41,0.00,0.00
560,-0.42,0.00,0.00
570,-0.43,0.00,0.00
580,-0.40,0.00,0.00
590,-0.39,0.00,0.00
600,-0.43,0.00,0.00
610,-0.41,0.00,0.00
620,-0.38,0.00,0.00
630,-0.39,0.00,0.00
640,-0.43,0.00,0.00
650,-0.42,0.00,0.00
660,-0.42,0.00,0.00
670,-0.44,0.00,0.00
680,-0.43,0.00,0.00
690,-0.40,0.00,0.00
700,-0.38,0.00,0.00
710,-0.40,0.00,0.00
720,-0.40,0.00,0.00
730,-0.40,0.00,0.00
740,-0.39,0.00,0.00
750,-0.40,0.00,0.00
760,-0.40,0.00,0.00
770,-0.39,0.00,0.00
780,-0.38,0.00,0.00
790,-0.38,0.00,0.00
800,-0.39,0.00,0.00
810,-0.40,0.00,0.00
820,-0.39,0.00,0.00
830,-0.42,0.00,0.00
840,-0.41,0.00,0.00
850,-0.40,0.00,0.00
860,-0.39,0.00,0.00
870,-0.42,0.00,0.00
880,-0.41,0.00,0.00
