tempo_ms,angulo_deg,u_pct,referencia
21,0.52,-0.28,0.00
31,0.52,-0.18,0.00
41,0.51,-0.15,0.00
51,0.50,-0.14,0.00
61,0.50,-0.19,0.00
71,0.49,-0.24,0.00
81,0.49,-0.31,0.00
91,0.50,-0.35,0.00
101,0.49,-0.26,0.00
111,0.49,-0.32,0.00
121,0.49,-0.23,0.00
131,0.49,-0.29,0.00
141,0.48,-0.18,0.00
151,0.47,-0.20,0.00
161,0.47,-0.19,0.00
171,0.47,-0.30,0.00
181,0.46,-0.31,0.00
191,0.46,-0.28,0.00
201,0.47,-0.40,0.00
211,0.46,-0.29,0.00
221,0.46,-0.37,0.00
231,0.46,-0.23,0.00
241,0.46,-0.30,0.00
251,0.45,-0.22,0.00
261,0.45,-0.24,0.00
271,0.44,-0.28,0.00
281,0.44,-0.34,0.00
291,0.45,-0.43,0.00
301,0.45,-0.32,0.00
311,0.45,-0.44,0.00
321,0.45,-0.32,0.00
331,0.45,-0.35,0.00
341,0.44,-0.23,0.00
351,0.44,-0.30,0.00
361,0.43,-0.28,0.00
371,0.43,-0.32,0.00
381,0.43,-0.36,0.00
391,0.43,-0.38,0.00
401,0.43,-0.41,0.00
411,0.44,-0.48,0.00
421,0.43,-0.30,0.00
431,0.43,-0.39,0.00
441,0.43,-0.24,0.00
451,0.43,-0.36,0.00
461,0.42,-0.34,0.00
471,0.42,-0.36,0.00
481,0.42,-0.44,0.00
491,0.42,-0.39,0.00
501,0.43,-0.53,0.00
511,0.43,-0.36,0.00
521,0.43,-0.40,0.00
531,0.42,-0.27,0.00
541,0.42,-0.36,0.00
551,0.41,-0.24,0.00
561,0.41,-0.29,0.00
571,0.40,-0.31,0.00
581,0.40,-0.39,0.00
591,0.40,-0.44,0.00
601,0.41,-0.51,0.00
611,0.41,-0.47,0.00
621,0.41,-0.38,0.00
631,0.41,-0.40,0.00
641,0.40,-0.39,0.00
651,0.40,-0.36,0.00
661,0.40,-0.37,0.00
671,0.40,-0.40,0.00
681,0.40,-0.46,0.00
691,0.40,-0.46,0.00
701,0.40,-0.51,0.00
711,0.40,-0.47,0.00
721,0.41,-0.47,0.00
731,0.40,-0.40,0.00
741,0.40,-0.34,0.00
751,0.39,-0.33,0.00
761,0.39,-0.40,0.00
771,0.39,-0.44,0.00
781,0.38,-0.32,0.00
791,0.38,-0.48,0.00
801,0.39,-0.58,0.00
811,0.39,-0.49,0.00
821,0.40,-0.72,0.00
831,0.42,-0.80,0.00
841,0.43,-0.65,0.00
851,0.42,-0.38,0.00
861,0.40,-0.05,0.00
