tempo_ms,angulo_deg,u_pct,referencia
10,-3.14,64.71,0.00
20,-3.15,1.88,0.00
30,-3.15,1.90,0.00
40,-3.15,1.92,0.00
50,-3.15,1.96,0.00
60,-3.15,2.00,0.00
70,-3.15,1.93,0.00
80,-3.15,2.00,0.00
90,-3.15,1.95,0.00
100,-3.15,2.03,0.00
110,-3.15,2.05,0.00
120,-3.15,2.07,0.00
130,-3.15,2.09,0.00
140,-3.15,2.16,0.00
150,-3.16,2.18,0.00
160,-3.16,2.16,0.00
170,-3.16,2.20,0.00
180,-3.16,2.26,0.00
190,-3.16,2.22,0.00
200,-3.16,2.22,0.00
210,-3.16,2.33,0.00
220,-3.16,2.27,0.00
230,-3.16,2.31,0.00
240,-3.16,2.35,0.00
250,-3.17,2.39,0.00
260,-3.17,2.41,0.00
270,-3.16,2.32,0.00
280,-3.17,2.42,0.00
290,-3.16,2.41,0.00
300,-3.16,2.46,0.00
310,-3.16,2.45,0.00
320,-3.16,2.43,0.00
330,-3.16,2.52,0.00
340,-3.16,2.56,0.00
350,-3.16,2.60,0.00
360,-3.16,2.54,0.00
370,-3.17,2.66,0.00
380,-3.16,2.57,0.00
390,-3.16,2.60,0.00
400,-3.16,2.61,0.00
410,-3.16,2.73,0.00
420,-3.16,2.70,0.00
430,-3.16,2.67,0.00
440,-3.16,2.74,0.00
450,-3.16,2.86,0.00
460,-3.16,2.76,0.00
470,-3.16,2.86,0.00
480,-3.17,2.87,0.00
490,-3.17,2.84,0.00
500,-3.17,2.89,0.00
510,-3.16,2.85,0.00
520,-3.17,2.97,0.00
530,-3.16,2.89,0.00
540,-3.17,3.01,0.00
550,-3.16,2.94,0.00
560,-3.17,3.05,0.00
570,-3.17,3.01,0.00
580,-3.17,3.06,0.00
590,-3.17,3.08,0.00
600,-3.17,3.10,0.00
610,-3.17,3.11,0.00
620,-3.17,3.08,0.00
630,-3.17,3.17,0.00
640,-3.16,3.08,0.00
650,-3.17,3.26,0.00
660,-3.17,3.17,0.00
670,-3.17,3.23,0.00
680,-3.17,3.28,0.00
690,-3.16,3.23,0.00
700,-3.16,3.27,0.00
710,-3.16,3.27,0.00
720,-3.16,3.40,0.00
730,-3.16,3.29,0.00
740,-3.16,3.44,0.00
750,-3.16,3.38,0.00
760,-3.16,3.44,0.00
770,-3.16,3.42,0.00
780,-3.16,3.45,0.00
790,-3.16,3.43,0.00
800,-3.16,3.47,0.00
810,-3.16,3.51,0.00
820,-3.16,3.49,0.00
830,-3.16,3.57,0.00
840,-3.16,3.61,0.00
850,-3.16,3.64,0.00
860,-3.16,3.66,0.00
870,-3.16,3.67,0.00
880,-3.16,3.67,0.00
890,-3.16,3.72,0.00
900,-3.16,3.65,0.00
910,-3.16,3.70,0.00
920,-3.16,3.76,0.00
930,-3.16,3.78,0.00
940,-3.16,3.79,0.00
950,-3.16,3.88,0.00
960,-3.16,3.87,0.00
970,-3.17,3.88,0.00
980,-3.17,3.89,0.00
990,-3.16,3.88,0.00
1000,-3.16,3.90,0.00
1010,-3.16,3.94,0.00
1020,-3.16,3.99,0.00
1030,-3.17,4.00,0.00
1040,-3.17,4.07,0.00
1050,-3.17,4.12,0.00
1060,-3.17,4.10,0.00
1070,-3.18,4.11,0.00
1080,-3.18,4.12,0.00
1090,-3.18,4.13,0.00
1100,-3.18,4.10,0.00
1110,-3.17,4.13,0.00
1120,-3.18,4.21,0.00
1130,-3.18,4.20,0.00
1140,-3.17,4.19,0.00
1150,-3.17,4.25,0.00
1160,-3.17,4.27,0.00
1170,-3.17,4.30,0.00
1180,-3.18,4.32,0.00
1190,-3.17,4.30,0.00
1200,-3.17,4.31,0.00
1210,-3.17,4.36,0.00
1220,-3.17,4.39,0.00
1230,-3.17,4.41,0.00
1240,-3.17,4.46,0.00
1250,-3.17,4.45,0.00
1260,-3.17,4.49,0.00
1270,-3.17,4.54,0.00
1280,-3.17,4.52,0.00
1290,-3.17,4.52,0.00
1300,-3.18,4.62,0.00
1310,-3.18,4.56,0.00
1320,-3.17,4.59,0.00
1330,-3.18,4.64,0.00
1340,-3.18,4.69,0.00
1350,-3.18,4.69,0.00
1360,-3.18,4.73,0.00
1370,-3.18,4.76,0.00
