tempo_ms,angulo_deg,u_pct,referencia
11,-2.49,51.28,0.00
21,-2.49,1.47,0.00
31,-2.49,1.47,0.00
41,-2.49,1.51,0.00
51,-2.49,1.55,0.00
61,-2.49,1.57,0.00
71,-2.49,1.56,0.00
81,-2.50,1.59,0.00
91,-2.50,1.62,0.00
101,-2.50,1.63,0.00
111,-2.50,1.67,0.00
121,-2.50,1.66,0.00
131,-2.51,1.72,0.00
141,-2.50,1.67,0.00
151,-2.50,1.65,0.00
161,-2.50,1.69,0.00
171,-2.50,1.75,0.00
181,-2.50,1.75,0.00
191,-2.50,1.72,0.00
201,-2.50,1.78,0.00
211,-2.50,1.79,0.00
221,-2.50,1.85,0.00
231,-2.51,1.85,0.00
241,-2.51,1.86,0.00
251,-2.51,1.85,0.00
261,-2.51,1.94,0.00
271,-2.51,1.90,0.00
281,-2.51,1.90,0.00
291,-2.51,1.95,0.00
301,-2.51,1.93,0.00
311,-2.51,1.95,0.00
321,-2.51,2.00,0.00
331,-2.51,1.99,0.00
341,-2.51,2.01,0.00
351,-2.51,2.03,0.00
361,-2.51,2.03,0.00
371,-2.51,2.12,0.00
381,-2.52,2.15,0.00
391,-2.52,2.13,0.00
401,-2.52,2.06,0.00
411,-2.52,2.18,0.00
421,-2.52,2.13,0.00
431,-2.52,2.16,0.00
441,-2.52,2.18,0.00
451,-2.52,2.17,0.00
461,-2.52,2.27,0.00
471,-2.52,2.21,0.00
481,-2.52,2.32,0.00
491,-2.52,2.22,0.00
501,-2.52,2.27,0.00
511,-2.51,2.20,0.00
521,-2.51,2.27,0.00
531,-2.51,2.32,0.00
541,-2.51,2.33,0.00
551,-2.51,2.35,0.00
561,-2.51,2.39,0.00
571,-2.51,2.41,0.00
581,-2.51,2.33,0.00
591,-2.51,2.45,0.00
601,-2.50,2.37,0.00
611,-2.50,2.44,0.00
621,-2.50,2.46,0.00
631,-2.50,2.46,0.00
641,-2.50,2.50,0.00
651,-2.50,2.49,0.00
661,-2.50,2.60,0.00
671,-2.50,2.51,0.00
681,-2.50,2.59,0.00
