tempo_ms,angulo_deg,u_pct,referencia
10,-2.06,42.42,0.00
20,-2.01,0.24,0.00
30,-2.01,1.08,0.00
40,-2.00,1.07,0.00
50,-1.97,0.55,0.00
60,-1.96,0.96,0.00
70,-1.96,1.31,0.00
80,-1.95,1.11,0.00
90,-1.92,0.57,0.00
100,-1.90,0.75,0.00
110,-1.89,1.07,0.00
120,-1.85,0.40,0.00
130,-1.84,1.09,0.00
140,-1.87,1.75,0.00
150,-1.85,0.96,0.00
160,-1.84,0.97,0.00
170,-1.86,1.78,0.00
180,-1.85,1.10,0.00
190,-1.82,0.67,0.00
200,-1.81,1.05,0.00
210,-1.82,1.45,0.00
220,-1.79,0.87,0.00
230,-1.78,1.00,0.00
240,-1.78,1.46,0.00
250,-1.77,1.01,0.00
260,-1.76,1.23,0.00
270,-1.78,1.66,0.00
280,-1.78,1.51,0.00
290,-1.76,0.83,0.00
300,-1.75,1.25,0.00
310,-1.74,1.22,0.00
320,-1.72,0.86,0.00
330,-1.69,0.84,0.00
340,-1.70,1.67,0.00
350,-1.69,1.21,0.00
360,-1.66,0.83,0.00
370,-1.68,1.76,0.00
380,-1.68,1.38,0.00
390,-1.66,1.09,0.00
400,-1.67,1.69,0.00
410,-1.67,1.37,0.00
420,-1.65,1.05,0.00
430,-1.67,1.89,0.00
440,-1.67,1.43,0.00
450,-1.65,1.09,0.00
460,-1.66,1.86,0.00
470,-1.63,0.88,0.00
480,-1.62,1.20,0.00
490,-1.62,1.62,0.00
500,-1.62,1.44,0.00
510,-1.59,0.92,0.00
520,-1.57,1.08,0.00
530,-1.58,1.86,0.00
540,-1.55,0.85,0.00
550,-1.54,1.28,0.00
560,-1.55,1.89,0.00
570,-1.56,1.61,0.00
580,-1.54,1.16,0.00
590,-1.54,1.77,0.00
600,-1.56,1.81,0.00
610,-1.53,1.04,0.00
620,-1.52,1.37,0.00
630,-1.53,1.90,0.00
640,-1.52,1.47,0.00
650,-1.51,1.23,0.00
660,-1.52,1.84,0.00
670,-1.53,1.95,0.00
680,-1.55,1.95,0.00
690,-1.54,1.54,0.00
700,-1.56,2.14,0.00
710,-1.56,1.63,0.00
720,-1.53,1.17,0.00
730,-1.53,1.75,0.00
740,-1.53,1.77,0.00
750,-1.52,1.37,0.00
760,-1.53,1.96,0.00
770,-1.56,2.33,0.00
780,-1.55,1.64,0.00
790,-1.53,1.38,0.00
800,-1.55,2.15,0.00
810,-1.54,1.75,0.00
820,-1.51,1.21,0.00
830,-1.52,1.84,0.00
840,-1.52,1.97,0.00
850,-1.51,1.48,0.00
860,-1.50,1.74,0.00
870,-1.51,1.97,0.00
