tempo_ms,angulo_deg,u_pct,referencia
11,-3.14,64.73,0.00
21,-3.10,0.87,0.00
31,-3.08,1.42,0.00
41,-3.07,1.70,0.00
51,-3.06,1.61,0.00
61,-3.06,1.92,0.00
71,-3.06,1.99,0.00
81,-3.05,1.77,0.00
91,-3.05,1.80,0.00
101,-3.06,2.29,0.00
111,-3.07,2.10,0.00
121,-3.04,1.50,0.00
131,-3.05,2.07,0.00
141,-3.04,1.83,0.00
151,-3.00,1.30,0.00
161,-2.99,1.90,0.00
171,-2.99,2.11,0.00
181,-2.96,1.40,0.00
191,-2.97,2.28,0.00
201,-2.97,2.19,0.00
211,-2.94,1.45,0.00
221,-2.94,2.10,0.00
231,-2.96,2.50,0.00
241,-2.95,2.09,0.00
251,-2.94,2.01,0.00
261,-2.95,2.44,0.00
271,-2.93,1.80,0.00
281,-2.91,1.91,0.00
291,-2.93,2.55,0.00
301,-2.89,1.50,0.00
311,-2.86,1.73,0.00
321,-2.86,2.25,0.00
331,-2.83,1.69,0.00
341,-2.82,1.98,0.00
351,-2.84,2.90,0.00
361,-2.82,1.89,0.00
371,-2.81,2.04,0.00
381,-2.82,2.65,0.00
391,-2.81,2.08,0.00
401,-2.81,2.51,0.00
411,-2.83,2.80,0.00
421,-2.82,2.25,0.00
431,-2.80,1.99,0.00
441,-2.79,2.37,0.00
451,-2.79,2.56,0.00
461,-2.78,2.15,0.00
471,-2.77,2.42,0.00
481,-2.78,2.70,0.00
491,-2.77,2.41,0.00
501,-2.76,2.20,0.00
511,-2.78,3.09,0.00
521,-2.77,2.41,0.00
531,-2.77,2.70,0.00
541,-2.78,2.78,0.00
551,-2.79,2.85,0.00
561,-2.79,2.66,0.00
571,-2.76,2.09,0.00
581,-2.74,2.39,0.00
591,-2.76,3.13,0.00
601,-2.76,2.62,0.00
611,-2.76,2.75,0.00
621,-2.78,3.27,0.00
631,-2.79,3.02,0.00
641,-2.77,2.45,0.00
651,-2.76,2.55,0.00
661,-2.75,2.78,0.00
671,-2.76,2.98,0.00
681,-2.77,3.13,0.00
691,-2.74,2.25,0.00
701,-2.73,2.83,0.00
711,-2.73,2.89,0.00
721,-2.72,2.71,0.00
731,-2.72,3.02,0.00
741,-2.74,3.27,0.00
751,-2.75,3.31,0.00
761,-2.76,3.19,0.00
771,-2.76,3.08,0.00
781,-2.76,3.12,0.00
791,-2.77,3.27,0.00
801,-2.77,3.06,0.00
811,-2.76,3.03,0.00
821,-2.76,3.18,0.00
831,-2.76,3.17,0.00
841,-2.76,3.11,0.00
851,-2.75,3.07,0.00
861,-2.76,3.38,0.00
871,-2.76,3.18,0.00
881,-2.75,3.12,0.00
891,-2.74,3.12,0.00
901,-2.74,3.23,0.00
911,-2.74,3.27,0.00
921,-2.73,3.19,0.00
931,-2.73,3.26,0.00
941,-2.72,3.22,0.00
951,-2.71,3.14,0.00
961,-2.71,3.37,0.00
971,-2.70,3.21,0.00
981,-2.70,3.41,0.00
991,-2.70,3.38,0.00
1001,-2.70,3.34,0.00
1011,-2.69,3.25,0.00
1021,-2.68,3.40,0.00
1031,-2.68,3.43,0.00
1041,-2.68,3.42,0.00
1051,-2.67,3.40,0.00
1061,-2.66,3.43,0.00
1071,-2.66,3.44,0.00
1081,-2.66,3.52,0.00
1091,-2.65,3.43,0.00
1101,-2.65,3.52,0.00
1111,-2.64,3.52,0.00
1121,-2.64,3.54,0.00
1131,-2.64,3.62,0.00
1141,-2.64,3.65,0.00
1151,-2.64,3.62,0.00
1161,-2.64,3.68,0.00
1171,-2.64,3.71,0.00
1181,-2.63,3.70,0.00
1191,-2.63,3.65,0.00
1201,-2.63,3.68,0.00
1211,-2.63,3.79,0.00
1221,-2.63,3.78,0.00
1231,-2.63,3.80,0.00
1241,-2.63,3.81,0.00
1251,-2.62,3.79,0.00
1261,-2.62,3.83,0.00
1271,-2.62,3.89,0.00
1281,-2.62,3.92,0.00
1291,-2.62,3.84,0.00
1301,-2.62,3.86,0.00
1311,-2.61,3.83,0.00
1321,-2.61,3.91,0.00
1331,-2.61,3.91,0.00
1341,-2.61,3.97,0.00
1351,-2.60,3.94,0.00
1361,-2.60,3.99,0.00
1371,-2.60,4.02,0.00
1381,-2.60,4.01,0.00
1391,-2.60,4.06,0.00
1401,-2.60,4.04,0.00
1411,-2.60,4.10,0.00
1421,-2.60,4.11,0.00
1431,-2.60,4.10,0.00
1441,-2.59,4.14,0.00
1451,-2.59,4.17,0.00
1461,-2.59,4.17,0.00
1471,-2.59,4.21,0.00
1481,-2.60,4.25,0.00
1491,-2.60,4.22,0.00
1501,-2.59,4.18,0.00
1511,-2.59,4.26,0.00
1521,-2.59,4.25,0.00
1531,-2.59,4.31,0.00
1541,-2.59,4.24,0.00
1551,-2.59,4.31,0.00
1561,-2.59,4.36,0.00
1571,-2.59,4.36,0.00
1581,-2.59,4.40,0.00
1591,-2.59,4.42,0.00
1601,-2.59,4.40,0.00
1611,-2.58,4.40,0.00
1621,-2.58,4.41,0.00
1631,-2.58,4.45,0.00
1641,-2.58,4.48,0.00
1651,-2.58,4.54,0.00
1661,-2.58,4.55,0.00
1671,-2.59,4.60,0.00
1681,-2.59,4.59,0.00
1691,-2.59,4.60,0.00
1701,-2.59,4.53,0.00
