tempo_ms,angulo_deg,u_pct,referencia
11,-1.90,39.02,0.00
21,-1.91,1.45,0.00
31,-1.93,1.48,0.00
41,-1.90,0.60,0.00
51,-1.90,1.06,0.00
61,-1.93,1.92,0.00
71,-1.93,1.13,0.00
81,-1.93,1.21,0.00
91,-1.95,1.73,0.00
101,-1.95,1.22,0.00
111,-1.93,0.87,0.00
121,-1.94,1.37,0.00
131,-1.95,1.47,0.00
141,-1.94,1.12,0.00
151,-1.93,1.13,0.00
161,-1.95,1.73,0.00
171,-1.96,1.54,0.00
181,-1.94,0.88,0.00
191,-1.95,1.59,0.00
201,-1.97,1.79,0.00
211,-1.95,1.08,0.00
221,-1.95,1.29,0.00
231,-1.97,1.93,0.00
241,-1.96,1.31,0.00
251,-1.94,1.01,0.00
261,-1.97,1.95,0.00
271,-1.98,1.77,0.00
281,-1.97,1.26,0.00
291,-2.00,2.05,0.00
301,-2.01,1.91,0.00
311,-1.99,1.04,0.00
321,-1.99,1.67,0.00
331,-2.01,1.92,0.00
341,-2.00,1.47,0.00
351,-1.99,1.26,0.00
361,-2.00,1.83,0.00
371,-2.01,1.82,0.00
381,-1.99,1.33,0.00
391,-1.99,1.58,0.00
401,-2.01,2.17,0.00
411,-2.00,1.50,0.00
421,-2.00,1.64,0.00
431,-2.03,2.30,0.00
441,-2.01,1.45,0.00
451,-2.00,1.40,0.00
461,-2.02,2.16,0.00
471,-2.01,1.72,0.00
481,-2.00,1.56,0.00
491,-2.03,2.35,0.00
501,-2.04,1.99,0.00
511,-2.04,1.87,0.00
521,-2.04,1.83,0.00
531,-2.05,2.08,0.00
541,-2.04,1.69,0.00
551,-2.03,1.67,0.00
561,-2.04,2.19,0.00
571,-2.05,2.06,0.00
581,-2.03,1.50,0.00
591,-2.05,2.37,0.00
601,-2.05,2.07,0.00
611,-2.02,1.29,0.00
621,-2.03,2.29,0.00
631,-2.05,2.44,0.00
641,-2.05,1.84,0.00
651,-2.04,1.87,0.00
661,-2.05,2.27,0.00
671,-2.03,1.62,0.00
681,-2.02,1.89,0.00
691,-2.04,2.45,0.00
701,-2.04,2.28,0.00
711,-2.03,1.87,0.00
721,-2.06,2.60,0.00
731,-2.08,2.60,0.00
741,-2.06,1.80,0.00
751,-2.06,2.14,0.00
761,-2.05,2.12,0.00
771,-2.03,1.63,0.00
781,-2.05,2.65,0.00
791,-2.05,2.32,0.00
801,-2.03,1.76,0.00
811,-2.03,2.28,0.00
821,-2.06,2.91,0.00
831,-2.05,2.07,0.00
841,-2.05,2.22,0.00
851,-2.07,2.78,0.00
861,-2.05,2.00,0.00
871,-2.04,2.00,0.00
881,-2.04,2.48,0.00
891,-2.05,2.53,0.00
901,-2.05,2.28,0.00
911,-2.05,2.45,0.00
921,-2.07,2.90,0.00
931,-2.08,2.57,0.00
941,-2.07,2.25,0.00
951,-2.09,2.90,0.00
961,-2.09,2.41,0.00
971,-2.06,2.00,0.00
981,-2.09,2.99,0.00
991,-2.10,2.84,0.00
1001,-2.07,1.92,0.00
1011,-2.08,2.66,0.00
1021,-2.09,2.81,0.00
1031,-2.07,2.24,0.00
1041,-2.08,2.63,0.00
1051,-2.09,2.81,0.00
1061,-2.09,2.61,0.00
1071,-2.07,2.28,0.00
1081,-2.08,2.81,0.00
1091,-2.08,2.75,0.00
1101,-2.06,2.17,0.00
1111,-2.06,2.72,0.00
1121,-2.09,3.23,0.00
1131,-2.08,2.54,0.00
1141,-2.08,2.70,0.00
1151,-2.11,3.42,0.00
1161,-2.11,2.72,0.00
1171,-2.09,2.49,0.00
1181,-2.11,3.14,0.00
1191,-2.12,3.11,0.00
1201,-2.10,2.29,0.00
1211,-2.10,2.86,0.00
1221,-2.11,3.18,0.00
1231,-2.10,2.67,0.00
1241,-2.10,2.74,0.00
1251,-2.13,3.48,0.00
1261,-2.12,2.90,0.00
1271,-2.11,2.54,0.00
1281,-2.11,2.98,0.00
1291,-2.11,3.09,0.00
1301,-2.10,2.67,0.00
1311,-2.08,2.49,0.00
1321,-2.10,3.42,0.00
1331,-2.10,3.17,0.00
1341,-2.09,2.67,0.00
1351,-2.10,3.31,0.00
1361,-2.11,3.13,0.00
1371,-2.11,3.24,0.00
1381,-2.11,3.10,0.00
1391,-2.10,2.86,0.00
1401,-2.11,3.30,0.00
1411,-2.09,2.75,0.00
1421,-2.10,3.33,0.00
1431,-2.10,3.11,0.00
1441,-2.12,3.54,0.00
1451,-2.11,3.03,0.00
1461,-2.13,3.57,0.00
1471,-2.13,3.09,0.00
1481,-2.13,3.28,0.00
1491,-2.14,3.53,0.00
1501,-2.12,2.77,0.00
1511,-2.13,3.54,0.00
1521,-2.15,3.67,0.00
1531,-2.13,2.87,0.00
1541,-2.14,3.55,0.00
1551,-2.13,3.14,0.00
1561,-2.13,3.28,0.00
1571,-2.12,3.32,0.00
1581,-2.11,3.18,0.00
1591,-2.11,3.27,0.00
1601,-2.09,2.98,0.00
1611,-2.09,3.41,0.00
1621,-2.09,3.47,0.00
1631,-2.08,3.09,0.00
1641,-2.08,3.46,0.00
1651,-2.09,3.64,0.00
1661,-2.10,3.75,0.00
1671,-2.09,3.14,0.00
1681,-2.08,3.30,0.00
1691,-2.07,3.46,0.00
1701,-2.08,3.69,0.00
1711,-2.09,3.60,0.00
1721,-2.09,3.51,0.00
1731,-2.07,3.21,0.00
1741,-2.07,3.50,0.00
1751,-2.07,3.63,0.00
1761,-2.07,3.59,0.00
1771,-2.07,3.71,0.00
1781,-2.09,3.95,0.00
1791,-2.09,3.57,0.00
1801,-2.08,3.62,0.00
1811,-2.09,3.71,0.00
1821,-2.09,3.66,0.00
1831,-2.09,3.88,0.00
1841,-2.10,3.76,0.00
1851,-2.11,3.91,0.00
1861,-2.10,3.62,0.00
1871,-2.10,3.80,0.00
1881,-2.10,3.74,0.00
1891,-2.10,3.69,0.00
1901,-2.09,3.72,0.00
1911,-2.09,3.86,0.00
1921,-2.10,3.85,0.00
1931,-2.09,3.82,0.00
1941,-2.10,3.87,0.00
1951,-2.10,3.94,0.00
1961,-2.10,3.89,0.00
1971,-2.10,3.88,0.00
1981,-2.10,3.96,0.00
1991,-2.10,3.98,0.00
2001,-2.10,3.96,0.00
2011,-2.10,3.92,0.00
2021,-2.10,3.93,0.00
2031,-2.10,3.99,0.00
2041,-2.10,4.01,0.00
2051,-2.10,4.02,0.00
