tempo_ms,angulo_deg,u_pct,referencia
11,2.55,-52.49,0.00
21,2.57,-1.91,0.00
31,2.61,-2.34,0.00
41,2.60,-1.48,0.00
51,2.60,-1.48,0.00
61,2.62,-1.97,0.00
71,2.65,-2.22,0.00
81,2.64,-1.50,0.00
91,2.62,-1.31,0.00
101,2.64,-2.04,0.00
111,2.66,-2.11,0.00
121,2.65,-1.52,0.00
131,2.62,-1.21,0.00
141,2.64,-2.06,0.00
151,2.65,-1.98,0.00
161,2.65,-1.81,0.00
171,2.65,-1.94,0.00
181,2.67,-2.15,0.00
191,2.68,-2.17,0.00
201,2.68,-1.89,0.00
211,2.69,-2.11,0.00
221,2.69,-1.86,0.00
231,2.72,-2.58,0.00
241,2.74,-2.41,0.00
251,2.74,-2.09,0.00
261,2.74,-1.93,0.00
271,2.76,-2.57,0.00
281,2.78,-2.50,0.00
291,2.77,-1.84,0.00
301,2.76,-1.96,0.00
311,2.77,-2.32,0.00
321,2.78,-2.40,0.00
331,2.76,-1.83,0.00
341,2.75,-1.89,0.00
351,2.75,-2.28,0.00
361,2.78,-2.85,0.00
371,2.78,-2.33,0.00
381,2.76,-1.73,0.00
391,2.75,-2.23,0.00
401,2.78,-2.74,0.00
411,2.77,-2.21,0.00
421,2.77,-2.37,0.00
431,2.78,-2.59,0.00
441,2.80,-2.76,0.00
451,2.80,-2.43,0.00
461,2.78,-1.98,0.00
471,2.81,-3.02,0.00
481,2.83,-3.05,0.00
491,2.85,-2.88,0.00
501,2.87,-2.88,0.00
511,2.87,-2.54,0.00
521,2.85,-2.25,0.00
531,2.86,-2.83,0.00
541,2.85,-2.44,0.00
551,2.88,-3.21,0.00
561,2.90,-3.16,0.00
571,2.91,-2.81,0.00
581,2.93,-3.19,0.00
591,2.91,-2.36,0.00
601,2.93,-3.18,0.00
611,2.93,-2.75,0.00
621,2.92,-2.56,0.00
631,2.94,-3.31,0.00
641,2.94,-2.81,0.00
651,2.94,-3.04,0.00
661,2.93,-2.66,0.00
671,2.92,-2.76,0.00
681,2.93,-3.10,0.00
691,2.93,-2.92,0.00
701,2.95,-3.30,0.00
711,2.95,-3.19,0.00
721,2.94,-2.74,0.00
731,2.94,-2.96,0.00
741,2.93,-2.86,0.00
751,2.94,-3.37,0.00
761,2.95,-3.25,0.00
771,2.96,-3.38,0.00
781,2.96,-3.07,0.00
791,2.97,-3.41,0.00
801,2.96,-3.02,0.00
811,2.96,-3.12,0.00
821,2.95,-3.13,0.00
831,2.93,-2.90,0.00
841,2.93,-3.24,0.00
851,2.92,-3.09,0.00
861,2.94,-3.64,0.00
871,2.94,-3.25,0.00
881,2.93,-3.08,0.00
891,2.92,-3.22,0.00
901,2.92,-3.32,0.00
911,2.92,-3.38,0.00
921,2.94,-3.85,0.00
931,2.94,-3.38,0.00
941,2.94,-3.42,0.00
951,2.92,-3.23,0.00
961,2.94,-3.70,0.00
971,2.94,-3.68,0.00
981,2.94,-3.42,0.00
991,2.94,-3.60,0.00
1001,2.95,-3.71,0.00
1011,2.94,-3.49,0.00
1021,2.94,-3.46,0.00
1031,2.95,-3.99,0.00
1041,2.95,-3.61,0.00
1051,2.93,-3.27,0.00
1061,2.94,-3.80,0.00
1071,2.94,-3.78,0.00
1081,2.93,-3.49,0.00
1091,2.93,-3.71,0.00
1101,2.93,-3.88,0.00
1111,2.92,-3.52,0.00
1121,2.91,-3.53,0.00
1131,2.91,-3.85,0.00
1141,2.92,-3.98,0.00
1151,2.91,-3.78,0.00
1161,2.91,-3.73,0.00
1171,2.90,-3.80,0.00
1181,2.90,-3.87,0.00
1191,2.89,-3.69,0.00
1201,2.89,-3.99,0.00
1211,2.90,-4.16,0.00
1221,2.91,-4.07,0.00
1231,2.90,-3.88,0.00
1241,2.90,-3.97,0.00
1251,2.89,-3.85,0.00
1261,2.90,-4.15,0.00
1271,2.88,-3.74,0.00
1281,2.88,-4.11,0.00
1291,2.89,-4.21,0.00
1301,2.89,-4.05,0.00
1311,2.89,-4.28,0.00
1321,2.88,-3.92,0.00
1331,2.87,-3.88,0.00
1341,2.87,-4.23,0.00
1351,2.88,-4.39,0.00
1361,2.89,-4.45,0.00
1371,2.89,-4.21,0.00
1381,2.88,-4.14,0.00
1391,2.88,-4.23,0.00
1401,2.88,-4.42,0.00
1411,2.88,-4.33,0.00
1421,2.87,-4.11,0.00
1431,2.85,-4.02,0.00
1441,2.85,-4.36,0.00
1451,2.86,-4.49,0.00
