tempo_ms,angulo_deg,u_pct,referencia
11,3.60,-74.09,0.00
21,3.58,-1.78,0.00
31,3.56,-1.73,0.00
41,3.57,-2.33,0.00
51,3.57,-2.12,0.00
61,3.56,-2.06,0.00
71,3.56,-2.14,0.00
81,3.56,-2.31,0.00
91,3.57,-2.32,0.00
101,3.55,-2.02,0.00
111,3.55,-2.21,0.00
121,3.55,-2.40,0.00
131,3.57,-2.81,0.00
141,3.56,-2.14,0.00
151,3.52,-1.59,0.00
161,3.51,-2.17,0.00
171,3.54,-2.97,0.00
181,3.52,-2.17,0.00
191,3.49,-1.76,0.00
201,3.48,-2.42,0.00
211,3.51,-3.00,0.00
221,3.49,-2.20,0.00
231,3.45,-1.77,0.00
241,3.47,-2.83,0.00
251,3.49,-3.13,0.00
261,3.49,-2.55,0.00
271,3.46,-1.96,0.00
281,3.44,-2.41,0.00
291,3.44,-2.53,0.00
301,3.45,-2.83,0.00
311,3.45,-2.72,0.00
321,3.48,-3.37,0.00
331,3.49,-3.01,0.00
341,3.49,-2.93,0.00
351,3.49,-2.83,0.00
361,3.50,-2.92,0.00
371,3.50,-2.84,0.00
381,3.48,-2.66,0.00
391,3.47,-2.70,0.00
401,3.49,-3.29,0.00
411,3.50,-3.12,0.00
421,3.50,-2.95,0.00
431,3.48,-2.71,0.00
441,3.49,-3.20,0.00
451,3.49,-3.03,0.00
461,3.49,-3.07,0.00
471,3.48,-2.89,0.00
481,3.48,-3.17,0.00
491,3.48,-3.24,0.00
501,3.49,-3.26,0.00
511,3.48,-2.98,0.00
521,3.47,-3.15,0.00
531,3.48,-3.40,0.00
541,3.49,-3.35,0.00
551,3.49,-3.28,0.00
561,3.49,-3.31,0.00
571,3.49,-3.47,0.00
581,3.48,-3.14,0.00
591,3.48,-3.28,0.00
601,3.48,-3.54,0.00
611,3.47,-3.05,0.00
621,3.47,-3.45,0.00
631,3.46,-3.33,0.00
641,3.47,-3.59,0.00
651,3.45,-3.22,0.00
661,3.46,-3.64,0.00
671,3.46,-3.54,0.00
681,3.47,-3.81,0.00
691,3.46,-3.53,0.00
701,3.48,-4.01,0.00
711,3.47,-3.35,0.00
721,3.46,-3.59,0.00
731,3.47,-3.86,0.00
741,3.47,-3.59,0.00
751,3.45,-3.36,0.00
761,3.44,-3.51,0.00
771,3.41,-3.32,0.00
781,3.41,-3.69,0.00
791,3.41,-3.75,0.00
801,3.42,-4.09,0.00
811,3.43,-3.95,0.00
821,3.44,-4.24,0.00
831,3.44,-3.87,0.00
841,3.44,-3.79,0.00
851,3.43,-3.85,0.00
861,3.43,-4.05,0.00
871,3.42,-3.60,0.00
881,3.41,-3.97,0.00
891,3.42,-4.10,0.00
901,3.42,-4.16,0.00
911,3.44,-4.37,0.00
921,3.44,-4.09,0.00
931,3.42,-3.72,0.00
941,3.42,-4.17,0.00
951,3.42,-4.20,0.00
961,3.42,-4.22,0.00
971,3.40,-3.74,0.00
981,3.40,-4.30,0.00
991,3.42,-4.56,0.00
1001,3.41,-4.05,0.00
1011,3.40,-4.27,0.00
1021,3.41,-4.50,0.00
1031,3.42,-4.40,0.00
1041,3.42,-4.43,0.00
1051,3.41,-4.26,0.00
1061,3.42,-4.56,0.00
1071,3.42,-4.47,0.00
