tempo_ms,angulo_deg,u_pct,referencia
10,1.54,-31.66,0.00
20,1.51,-0.41,0.00
30,1.52,-1.00,0.00
40,1.52,-0.99,0.00
50,1.52,-0.78,0.00
60,1.45,0.33,0.00
70,1.43,-0.40,0.00
80,1.43,-0.93,0.00
90,1.45,-1.34,0.00
100,1.44,-0.65,0.00
110,1.38,0.19,0.00
120,1.35,-0.26,0.00
130,1.37,-1.26,0.00
140,1.38,-1.19,0.00
150,1.36,-0.56,0.00
160,1.33,-0.18,0.00
170,1.30,-0.33,0.00
180,1.29,-0.84,0.00
190,1.33,-1.75,0.00
200,1.33,-0.79,0.00
210,1.28,-0.09,0.00
220,1.25,-0.27,0.00
230,1.25,-1.00,0.00
240,1.26,-1.02,0.00
250,1.26,-0.91,0.00
260,1.22,-0.32,0.00
270,1.20,-0.38,0.00
280,1.20,-1.00,0.00
290,1.20,-0.98,0.00
300,1.23,-1.48,0.00
310,1.22,-0.80,0.00
320,1.20,-0.70,0.00
330,1.17,-0.39,0.00
340,1.17,-1.00,0.00
350,1.18,-1.03,0.00
360,1.18,-1.16,0.00
370,1.16,-0.54,0.00
380,1.13,-0.35,0.00
390,1.10,-0.40,0.00
400,1.10,-1.01,0.00
410,1.12,-1.39,0.00
420,1.13,-1.26,0.00
430,1.09,-0.20,0.00
440,1.08,-0.62,0.00
450,1.08,-1.16,0.00
460,1.10,-1.28,0.00
470,1.10,-1.13,0.00
480,1.07,-0.39,0.00
490,1.03,-0.11,0.00
500,1.01,-0.74,0.00
510,1.03,-1.38,0.00
520,1.04,-1.23,0.00
530,1.04,-1.13,0.00
540,1.01,-0.39,0.00
550,0.99,-0.64,0.00
560,1.02,-1.49,0.00
570,1.04,-1.63,0.00
580,1.03,-0.81,0.00
590,1.01,-0.70,0.00
600,0.99,-0.70,0.00
610,1.00,-1.09,0.00
620,1.02,-1.51,0.00
630,1.03,-1.27,0.00
640,0.99,-0.33,0.00
650,0.96,-0.58,0.00
660,0.95,-0.89,0.00
670,0.98,-1.68,0.00
680,0.99,-1.30,0.00
690,0.98,-0.90,0.00
700,0.95,-0.53,0.00
710,0.95,-0.98,0.00
720,0.96,-1.32,0.00
730,0.98,-1.58,0.00
740,0.97,-1.04,0.00
750,0.94,-0.41,0.00
760,0.92,-0.72,0.00
770,0.92,-1.07,0.00
780,0.94,-1.60,0.00
790,0.94,-1.20,0.00
800,0.92,-0.64,0.00
810,0.88,-0.47,0.00
820,0.88,-1.16,0.00
830,0.91,-1.64,0.00
840,0.93,-1.68,0.00
850,0.92,-0.94,0.00
860,0.89,-0.54,0.00
870,0.87,-0.81,0.00
880,0.89,-1.61,0.00
890,0.91,-1.56,0.00
900,0.91,-1.11,0.00
910,0.88,-0.52,0.00
920,0.86,-0.82,0.00
930,0.87,-1.46,0.00
940,0.90,-1.85,0.00
950,0.91,-1.36,0.00
960,0.91,-1.18,0.00
970,0.88,-0.65,0.00
980,0.89,-1.53,0.00
990,0.91,-1.67,0.00
1000,0.93,-1.53,0.00
1010,0.91,-0.87,0.00
1020,0.88,-0.78,0.00
1030,0.87,-0.94,0.00
1040,0.89,-1.63,0.00
1050,0.90,-1.61,0.00
1060,0.89,-0.96,0.00
