tempo_ms,angulo_deg,u_pct,referencia
10,2.18,-44.94,0.00
20,2.15,-0.53,0.00
30,2.10,-0.40,0.00
40,2.08,-0.84,0.00
50,2.08,-1.25,0.00
60,2.06,-0.78,0.00
70,2.01,-0.32,0.00
80,1.97,-0.34,0.00
90,1.96,-1.16,0.00
100,1.93,-0.70,0.00
110,1.90,-0.58,0.00
120,1.86,-0.44,0.00
130,1.82,-0.50,0.00
140,1.81,-0.86,0.00
150,1.79,-0.91,0.00
160,1.77,-0.92,0.00
170,1.73,-0.42,0.00
180,1.71,-0.78,0.00
190,1.71,-1.11,0.00
200,1.71,-1.38,0.00
210,1.70,-0.99,0.00
220,1.67,-0.54,0.00
230,1.65,-0.91,0.00
240,1.64,-1.08,0.00
250,1.64,-1.30,0.00
260,1.61,-0.58,0.00
270,1.58,-0.65,0.00
280,1.55,-0.56,0.00
290,1.54,-1.18,0.00
300,1.54,-1.20,0.00
310,1.52,-0.84,0.00
320,1.47,-0.23,0.00
330,1.46,-1.03,0.00
340,1.46,-1.18,0.00
350,1.47,-1.56,0.00
360,1.45,-0.71,0.00
370,1.41,-0.54,0.00
380,1.39,-0.84,0.00
390,1.42,-1.90,0.00
400,1.42,-1.19,0.00
410,1.37,-0.38,0.00
420,1.34,-0.58,0.00
430,1.34,-1.33,0.00
440,1.36,-1.51,0.00
450,1.35,-1.17,0.00
460,1.31,-0.44,0.00
470,1.33,-1.64,0.00
480,1.30,-0.82,0.00
490,1.26,-0.44,0.00
500,1.26,-1.18,0.00
510,1.27,-1.57,0.00
520,1.29,-1.62,0.00
530,1.28,-1.15,0.00
540,1.26,-0.90,0.00
550,1.23,-0.75,0.00
560,1.24,-1.43,0.00
570,1.24,-1.36,0.00
580,1.23,-1.16,0.00
590,1.23,-1.25,0.00
600,1.23,-1.31,0.00
610,1.23,-1.32,0.00
620,1.23,-1.43,0.00
630,1.23,-1.36,0.00
640,1.20,-0.73,0.00
650,1.18,-1.06,0.00
660,1.20,-1.64,0.00
670,1.20,-1.49,0.00
680,1.16,-0.48,0.00
690,1.13,-0.81,0.00
700,1.13,-1.25,0.00
710,1.15,-1.79,0.00
720,1.13,-1.06,0.00
730,1.10,-0.71,0.00
740,1.08,-0.89,0.00
750,1.10,-1.81,0.00
760,1.11,-1.59,0.00
770,1.09,-1.03,0.00
780,1.06,-0.81,0.00
790,1.07,-1.60,0.00
800,1.09,-1.70,0.00
810,1.07,-1.09,0.00
820,1.05,-1.08,0.00
830,1.05,-1.33,0.00
840,1.07,-1.86,0.00
850,1.06,-1.16,0.00
860,1.03,-0.93,0.00
870,1.02,-1.04,0.00
880,1.05,-2.13,0.00
890,1.03,-1.13,0.00
900,1.01,-1.03,0.00
910,0.99,-0.96,0.00
920,1.00,-1.57,0.00
930,1.01,-1.61,0.00
940,1.00,-1.42,0.00
950,0.98,-0.92,0.00
960,0.94,-0.75,0.00
970,0.93,-1.11,0.00
980,0.96,-2.16,0.00
990,0.96,-1.40,0.00
1000,0.92,-0.63,0.00
1010,0.90,-1.00,0.00
1020,0.91,-1.80,0.00
1030,0.93,-1.79,0.00
1040,0.91,-0.98,0.00
1050,0.89,-1.19,0.00
1060,0.91,-1.78,0.00
1070,0.93,-1.92,0.00
1080,0.90,-0.88,0.00
1090,0.87,-0.95,0.00
1100,0.89,-1.84,0.00
1110,0.92,-2.18,0.00
1120,0.90,-1.08,0.00
1130,0.87,-0.88,0.00
1140,0.88,-1.63,0.00
1150,0.89,-1.75,0.00
1160,0.88,-1.39,0.00
1170,0.87,-1.25,0.00
1180,0.87,-1.59,0.00
1190,0.87,-1.52,0.00
1200,0.87,-1.57,0.00
1210,0.86,-1.20,0.00
1220,0.86,-1.61,0.00
1230,0.86,-1.46,0.00
1240,0.88,-1.95,0.00
1250,0.86,-1.19,0.00
1260,0.84,-1.12,0.00
1270,0.82,-1.33,0.00
1280,0.84,-1.88,0.00
1290,0.84,-1.54,0.00
1300,0.82,-1.09,0.00
1310,0.81,-1.43,0.00
1320,0.82,-1.78,0.00
1330,0.80,-1.16,0.00
1340,0.78,-1.08,0.00
1350,0.77,-1.51,0.00
1360,0.80,-2.05,0.00
1370,0.78,-1.29,0.00
1380,0.76,-1.05,0.00
1390,0.72,-0.91,0.00
1400,0.74,-1.96,0.00
1410,0.73,-1.27,0.00
1420,0.71,-1.22,0.00
1430,0.71,-1.48,0.00
1440,0.74,-2.13,0.00
1450,0.73,-1.51,0.00
1460,0.70,-0.93,0.00
1470,0.69,-1.47,0.00
1480,0.72,-2.06,0.00
1490,0.74,-2.02,0.00
1500,0.71,-1.09,0.00
1510,0.70,-1.36,0.00
1520,0.70,-1.60,0.00
1530,0.71,-1.83,0.00
1540,0.70,-1.30,0.00
1550,0.68,-1.38,0.00
1560,0.71,-2.06,0.00
1570,0.69,-1.21,0.00
1580,0.69,-1.82,0.00
1590,0.72,-2.08,0.00
1600,0.69,-1.20,0.00
1610,0.68,-1.28,0.00
1620,0.67,-1.45,0.00
1630,0.69,-1.98,0.00
1640,0.69,-1.82,0.00
1650,0.67,-1.22,0.00
1660,0.66,-1.38,0.00
1670,0.69,-2.19,0.00
1680,0.71,-2.20,0.00
1690,0.70,-1.47,0.00
1700,0.70,-1.60,0.00
1710,0.72,-2.19,0.00
1720,0.72,-1.73,0.00
1730,0.71,-1.53,0.00
1740,0.70,-1.48,0.00
1750,0.74,-2.41,0.00
1760,0.75,-1.91,0.00
1770,0.74,-1.61,0.00
1780,0.73,-1.52,0.00
1790,0.73,-1.84,0.00
1800,0.74,-1.94,0.00
1810,0.73,-1.51,0.00
1820,0.73,-1.73,0.00
1830,0.73,-1.85,0.00
1840,0.74,-1.97,0.00
1850,0.72,-1.30,0.00
1860,0.72,-1.71,0.00
1870,0.74,-2.30,0.00
1880,0.76,-2.25,0.00
1890,0.76,-1.73,0.00
1900,0.75,-1.64,0.00
1910,0.77,-2.19,0.00
1920,0.78,-2.13,0.00
1930,0.77,-1.49,0.00
1940,0.76,-1.74,0.00
1950,0.78,-2.13,0.00
1960,0.80,-2.40,0.00
1970,0.79,-1.55,0.00
1980,0.78,-1.82,0.00
1990,0.78,-1.91,0.00
2000,0.80,-2.28,0.00
2010,0.78,-1.46,0.00
2020,0.78,-1.81,0.00
2030,0.78,-1.93,0.00
2040,0.78,-1.98,0.00
2050,0.76,-1.42,0.00
2060,0.73,-1.37,0.00
2070,0.74,-2.05,0.00
2080,0.74,-1.84,0.00
2090,0.74,-1.87,0.00
2100,0.72,-1.56,0.00
2110,0.72,-1.87,0.00
2120,0.73,-2.13,0.00
2130,0.71,-1.50,0.00
2140,0.71,-1.85,0.00
2150,0.71,-1.99,0.00
2160,0.73,-2.30,0.00
2170,0.72,-1.69,0.00
2180,0.70,-1.50,0.00
2190,0.69,-1.88,0.00
2200,0.72,-2.39,0.00
2210,0.71,-1.85,0.00
2220,0.70,-1.65,0.00
2230,0.70,-1.99,0.00
2240,0.72,-2.38,0.00
2250,0.70,-1.48,0.00
2260,0.66,-1.14,0.00
2270,0.66,-2.08,0.00
2280,0.69,-2.40,0.00
2290,0.67,-1.59,0.00
2300,0.64,-1.39,0.00
2310,0.64,-2.02,0.00
2320,0.67,-2.60,0.00
2330,0.66,-1.61,0.00
2340,0.65,-1.86,0.00
2350,0.66,-2.12,0.00
2360,0.69,-2.69,0.00
2370,0.69,-2.03,0.00
2380,0.67,-1.57,0.00
2390,0.66,-1.70,0.00
2400,0.70,-2.81,0.00
2410,0.72,-2.46,0.00
2420,0.70,-1.73,0.00
2430,0.69,-1.83,0.00
2440,0.71,-2.35,0.00
2450,0.74,-2.73,0.00
2460,0.71,-1.49,0.00
2470,0.71,-1.96,0.00
2480,0.71,-2.20,0.00
2490,0.73,-2.47,0.00
2500,0.72,-1.84,0.00
2510,0.71,-1.94,0.00
2520,0.70,-1.87,0.00
2530,0.71,-2.24,0.00
2540,0.73,-2.43,0.00
2550,0.71,-1.68,0.00
2560,0.68,-1.63,0.00
2570,0.69,-2.21,0.00
2580,0.72,-2.64,0.00
2590,0.70,-1.71,0.00
2600,0.68,-1.78,0.00
2610,0.68,-2.13,0.00
2620,0.65,-1.52,0.00
2630,0.64,-1.86,0.00
2640,0.65,-2.23,0.00
2650,0.67,-2.53,0.00
2660,0.66,-2.09,0.00
2670,0.64,-1.59,0.00
2680,0.62,-1.82,0.00
2690,0.64,-2.51,0.00
2700,0.67,-2.73,0.00
2710,0.66,-1.94,0.00
2720,0.65,-1.78,0.00
2730,0.67,-2.61,0.00
2740,0.69,-2.66,0.00
2750,0.69,-2.16,0.00
2760,0.68,-1.89,0.00
2770,0.70,-2.60,0.00
2780,0.72,-2.65,0.00
2790,0.72,-2.12,0.00
2800,0.69,-1.65,0.00
2810,0.70,-2.36,0.00
2820,0.71,-2.57,0.00
2830,0.74,-2.69,0.00
2840,0.70,-1.56,0.00
2850,0.69,-2.03,0.00
2860,0.70,-2.46,0.00
2870,0.72,-2.56,0.00
2880,0.70,-1.95,0.00
2890,0.70,-2.15,0.00
2900,0.72,-2.57,0.00
2910,0.72,-2.28,0.00
2920,0.70,-1.91,0.00
2930,0.68,-1.91,0.00
2940,0.70,-2.56,0.00
2950,0.70,-2.34,0.00
2960,0.71,-2.47,0.00
2970,0.68,-1.73,0.00
2980,0.68,-2.29,0.00
2990,0.68,-2.30,0.00
3000,0.70,-2.60,0.00
3010,0.68,-1.92,0.00
3020,0.66,-1.88,0.00
3030,0.67,-2.53,0.00
3040,0.68,-2.47,0.00
3050,0.65,-1.71,0.00
3060,0.63,-1.94,0.00
3070,0.66,-2.89,0.00
3080,0.68,-2.76,0.00
3090,0.67,-1.98,0.00
3100,0.64,-1.81,0.00
3110,0.67,-2.90,0.00
