tempo_ms,angulo_deg,u_pct,referencia
10,2.28,-47.00,0.00
20,2.25,-0.57,0.00
30,2.22,-0.74,0.00
40,2.18,-0.54,0.00
50,2.16,-1.05,0.00
60,2.13,-0.59,0.00
70,2.08,-0.29,0.00
80,2.07,-1.12,0.00
90,2.02,-0.34,0.00
100,1.98,-0.47,0.00
110,1.93,-0.30,0.00
120,1.89,-0.41,0.00
130,1.87,-0.85,0.00
140,1.85,-0.86,0.00
150,1.80,-0.35,0.00
160,1.77,-0.52,0.00
170,1.71,0.03,0.00
180,1.68,-0.74,0.00
190,1.64,-0.41,0.00
200,1.62,-0.81,0.00
210,1.58,-0.30,0.00
220,1.54,-0.37,0.00
230,1.50,-0.33,0.00
240,1.48,-0.69,0.00
250,1.44,-0.50,0.00
260,1.41,-0.48,0.00
270,1.38,-0.43,0.00
280,1.34,-0.27,0.00
290,1.30,-0.44,0.00
300,1.28,-0.72,0.00
310,1.26,-0.58,0.00
320,1.24,-0.69,0.00
330,1.20,-0.28,0.00
340,1.18,-0.70,0.00
350,1.14,-0.23,0.00
360,1.13,-0.81,0.00
370,1.10,-0.40,0.00
380,1.07,-0.60,0.00
390,1.06,-0.82,0.00
400,1.03,-0.39,0.00
410,1.01,-0.61,0.00
420,0.98,-0.35,0.00
430,0.95,-0.46,0.00
440,0.93,-0.51,0.00
450,0.91,-0.67,0.00
460,0.91,-0.94,0.00
470,0.88,-0.37,0.00
480,0.84,-0.25,0.00
490,0.83,-0.79,0.00
500,0.83,-1.00,0.00
510,0.83,-0.92,0.00
520,0.84,-1.10,0.00
530,0.83,-0.81,0.00
540,0.81,-0.69,0.00
550,0.80,-0.77,0.00
560,0.80,-0.89,0.00
570,0.78,-0.67,0.00
580,0.78,-0.99,0.00
590,0.77,-0.72,0.00
600,0.75,-0.58,0.00
610,0.74,-0.69,0.00
620,0.72,-0.56,0.00
630,0.70,-0.60,0.00
640,0.69,-0.89,0.00
650,0.69,-0.86,0.00
660,0.69,-1.04,0.00
670,0.69,-0.95,0.00
680,0.67,-0.62,0.00
690,0.67,-0.89,0.00
700,0.67,-0.87,0.00
710,0.66,-0.96,0.00
720,0.67,-1.12,0.00
730,0.65,-0.63,0.00
740,0.66,-1.04,0.00
750,0.65,-0.84,0.00
760,0.64,-0.72,0.00
770,0.63,-0.93,0.00
780,0.64,-1.03,0.00
790,0.65,-1.33,0.00
800,0.64,-0.77,0.00
810,0.63,-0.89,0.00
820,0.63,-0.87,0.00
830,0.61,-0.58,0.00
840,0.61,-1.12,0.00
850,0.62,-1.13,0.00
860,0.63,-1.32,0.00
870,0.65,-1.44,0.00
880,0.63,-0.63,0.00
890,0.62,-0.80,0.00
900,0.61,-0.75,0.00
910,0.58,-0.37,0.00
920,0.56,-0.70,0.00
930,0.58,-1.39,0.00
940,0.57,-0.77,0.00
950,0.55,-0.59,0.00
960,0.53,-0.71,0.00
970,0.50,-0.35,0.00
