tempo_ms,angulo_deg,u_pct,referencia
10,-3.21,65.98,0.00
20,-3.20,1.84,0.00
30,-3.20,1.79,0.00
40,-3.20,1.90,0.00
50,-3.19,1.87,0.00
60,-3.19,1.92,0.00
70,-3.19,2.02,0.00
80,-3.19,1.90,0.00
90,-3.18,1.97,0.00
100,-3.18,1.98,0.00
110,-3.18,2.08,0.00
120,-3.18,2.05,0.00
130,-3.18,2.08,0.00
140,-3.18,2.14,0.00
150,-3.17,2.06,0.00
160,-3.17,2.02,0.00
170,-3.17,2.17,0.00
180,-3.17,2.21,0.00
190,-3.17,2.21,0.00
200,-3.16,2.23,0.00
210,-3.16,2.20,0.00
220,-3.16,2.26,0.00
230,-3.15,2.18,0.00
240,-3.15,2.26,0.00
250,-3.15,2.23,0.00
260,-3.14,2.32,0.00
270,-3.14,2.33,0.00
280,-3.14,2.35,0.00
290,-3.14,2.37,0.00
300,-3.13,2.36,0.00
310,-3.13,2.42,0.00
320,-3.13,2.47,0.00
330,-3.13,2.41,0.00
340,-3.13,2.53,0.00
350,-3.13,2.51,0.00
360,-3.12,2.51,0.00
370,-3.12,2.60,0.00
380,-3.12,2.59,0.00
390,-3.12,2.57,0.00
400,-3.12,2.61,0.00
410,-3.12,2.66,0.00
420,-3.12,2.61,0.00
430,-3.11,2.62,0.00
440,-3.11,2.70,0.00
450,-3.11,2.71,0.00
460,-3.11,2.73,0.00
470,-3.11,2.75,0.00
480,-3.11,2.82,0.00
490,-3.11,2.73,0.00
500,-3.10,2.82,0.00
510,-3.10,2.76,0.00
520,-3.10,2.80,0.00
530,-3.10,2.93,0.00
540,-3.10,2.93,0.00
550,-3.10,2.95,0.00
560,-3.10,2.92,0.00
570,-3.10,3.05,0.00
580,-3.10,2.99,0.00
590,-3.10,3.04,0.00
600,-3.10,3.03,0.00
610,-3.10,3.02,0.00
620,-3.10,3.10,0.00
630,-3.09,2.97,0.00
640,-3.09,3.14,0.00
650,-3.09,3.09,0.00
660,-3.09,3.16,0.00
670,-3.09,3.19,0.00
680,-3.10,3.28,0.00
690,-3.09,3.17,0.00
700,-3.09,3.23,0.00
710,-3.09,3.20,0.00
720,-3.09,3.28,0.00
730,-3.09,3.24,0.00
740,-3.09,3.30,0.00
750,-3.08,3.26,0.00
760,-3.08,3.38,0.00
770,-3.09,3.39,0.00
780,-3.08,3.39,0.00
790,-3.09,3.44,0.00
800,-3.09,3.46,0.00
810,-3.09,3.52,0.00
820,-3.09,3.49,0.00
830,-3.09,3.52,0.00
840,-3.09,3.52,0.00
850,-3.09,3.53,0.00
860,-3.09,3.59,0.00
870,-3.09,3.52,0.00
880,-3.08,3.54,0.00
890,-3.08,3.51,0.00
900,-3.08,3.65,0.00
910,-3.08,3.67,0.00
920,-3.08,3.72,0.00
930,-3.08,3.76,0.00
940,-3.08,3.71,0.00
950,-3.08,3.69,0.00
960,-3.08,3.71,0.00
970,-3.07,3.65,0.00
980,-3.07,3.73,0.00
990,-3.06,3.73,0.00
1000,-3.06,3.82,0.00
1010,-3.06,3.89,0.00
1020,-3.06,3.92,0.00
1030,-3.07,3.93,0.00
1040,-3.07,3.93,0.00
1050,-3.07,3.93,0.00
1060,-3.07,3.96,0.00
1070,-3.06,3.91,0.00
1080,-3.06,3.97,0.00
1090,-3.06,3.98,0.00
1100,-3.06,4.02,0.00
1110,-3.06,4.00,0.00
1120,-3.05,4.04,0.00
1130,-3.05,4.11,0.00
1140,-3.05,4.13,0.00
1150,-3.06,4.17,0.00
1160,-3.06,4.19,0.00
1170,-3.06,4.14,0.00
1180,-3.06,4.22,0.00
1190,-3.06,4.22,0.00
1200,-3.05,4.20,0.00
1210,-3.06,4.28,0.00
1220,-3.05,4.26,0.00
1230,-3.05,4.28,0.00
1240,-3.05,4.36,0.00
1250,-3.06,4.37,0.00
1260,-3.06,4.34,0.00
1270,-3.06,4.39,0.00
1280,-3.05,4.35,0.00
1290,-3.05,4.37,0.00
1300,-3.05,4.41,0.00
1310,-3.05,4.43,0.00
1320,-3.05,4.54,0.00
1330,-3.05,4.52,0.00
1340,-3.06,4.64,0.00
1350,-3.06,4.61,0.00
1360,-3.06,4.60,0.00
1370,-3.06,4.63,0.00
1380,-3.06,4.58,0.00
1390,-3.06,4.59,0.00
1400,-3.06,4.62,0.00
1410,-3.06,4.69,0.00
1420,-3.06,4.68,0.00
1430,-3.06,4.76,0.00
1440,-3.06,4.75,0.00
1450,-3.06,4.76,0.00
1460,-3.06,4.78,0.00
1470,-3.07,4.81,0.00
1480,-3.06,4.80,0.00
1490,-3.06,4.82,0.00
1500,-3.06,4.80,0.00
1510,-3.06,4.80,0.00
1520,-3.06,4.85,0.00
1530,-3.06,4.92,0.00
1540,-3.06,4.92,0.00
1550,-3.06,5.00,0.00
1560,-3.06,5.06,0.00
1570,-3.07,5.05,0.00
1580,-3.07,5.04,0.00
1590,-3.07,5.03,0.00
1600,-3.07,5.12,0.00
1610,-3.07,5.07,0.00
1620,-3.07,5.10,0.00
1630,-3.07,5.08,0.00
1640,-3.07,5.14,0.00
1650,-3.07,5.14,0.00
1660,-3.07,5.21,0.00
1670,-3.07,5.19,0.00
1680,-3.07,5.23,0.00
1690,-3.06,5.19,0.00
1700,-3.06,5.19,0.00
1710,-3.06,5.22,0.00
1720,-3.06,5.31,0.00
1730,-3.06,5.36,0.00
1740,-3.06,5.38,0.00
1750,-3.06,5.40,0.00
1760,-3.06,5.40,0.00
1770,-3.06,5.39,0.00
1780,-3.07,5.45,0.00
1790,-3.07,5.48,0.00
1800,-3.07,5.50,0.00
