tempo_ms,angulo_deg,u_pct,referencia
11,-0.04,0.87,0.00
21,-0.04,0.05,0.00
31,-0.04,0.04,0.00
41,-0.04,0.03,0.00
51,-0.05,0.04,0.00
61,-0.05,0.05,0.00
71,-0.05,0.02,0.00
81,-0.04,0.00,0.00
91,-0.04,0.03,0.00
101,-0.04,0.00,0.00
111,-0.05,0.08,0.00
121,-0.05,0.04,0.00
131,-0.05,0.04,0.00
141,-0.04,0.00,0.00
151,-0.05,0.06,0.00
161,-0.05,0.05,0.00
171,-0.05,0.03,0.00
181,-0.05,0.03,0.00
191,-0.05,0.04,0.00
201,-0.05,0.01,0.00
211,-0.04,-0.06,0.00
221,-0.04,0.02,0.00
231,-0.04,0.07,0.00
241,-0.04,0.03,0.00
251,-0.04,0.02,0.00
261,-0.04,0.07,0.00
271,-0.04,0.02,0.00
281,-0.04,0.01,0.00
291,-0.04,0.04,0.00
301,-0.04,0.03,0.00
311,-0.04,0.03,0.00
321,-0.04,0.04,0.00
331,-0.04,0.07,0.00
341,-0.05,0.05,0.00
351,-0.05,0.12,0.00
361,-0.05,0.05,0.00
371,-0.05,0.05,0.00
381,-0.05,0.01,0.00
391,-0.05,-0.01,0.00
401,-0.05,0.01,0.00
411,-0.05,0.04,0.00
421,-0.04,0.02,0.00
431,-0.05,0.07,0.00
441,-0.05,0.04,0.00
451,-0.05,0.09,0.00
461,-0.05,0.06,0.00
471,-0.05,0.03,0.00
481,-0.05,0.01,0.00
491,-0.05,0.03,0.00
501,-0.05,0.04,0.00
511,-0.05,0.04,0.00
521,-0.05,0.06,0.00
531,-0.05,0.07,0.00
541,-0.05,0.00,0.00
551,-0.05,0.05,0.00
561,-0.05,0.07,0.00
571,-0.05,0.04,0.00
581,-0.05,0.03,0.00
591,-0.05,0.01,0.00
601,-0.04,0.00,0.00
611,-0.04,0.06,0.00
621,-0.04,0.06,0.00
631,-0.05,0.08,0.00
641,-0.05,0.05,0.00
651,-0.05,0.08,0.00
661,-0.05,0.07,0.00
671,-0.05,0.03,0.00
681,-0.05,0.07,0.00
691,-0.05,0.01,0.00
701,-0.05,0.04,0.00
711,-0.05,0.04,0.00
721,-0.05,0.04,0.00
731,-0.05,0.05,0.00
741,-0.05,0.04,0.00
751,-0.04,0.01,0.00
761,-0.04,0.03,0.00
771,-0.04,0.03,0.00
781,-0.04,0.06,0.00
791,-0.04,0.05,0.00
801,-0.04,0.07,0.00
811,-0.05,0.08,0.00
821,-0.05,0.07,0.00
831,-0.05,0.12,0.00
841,-0.05,0.05,0.00
851,-0.05,0.04,0.00
861,-0.05,0.08,0.00
871,-0.05,0.05,0.00
881,-0.05,0.04,0.00
891,-0.05,0.08,0.00
901,-0.05,0.08,0.00
911,-0.05,0.06,0.00
921,-0.05,0.06,0.00
931,-0.05,0.05,0.00
941,-0.05,0.08,0.00
951,-0.05,0.02,0.00
961,-0.05,0.12,0.00
971,-0.06,0.10,0.00
981,-0.05,0.04,0.00
991,-0.06,0.09,0.00
1001,-0.06,0.08,0.00
1011,-0.06,0.04,0.00
1021,-0.05,0.00,0.00
1031,-0.05,0.08,0.00
1041,-0.05,0.09,0.00
1051,-0.06,0.10,0.00
1061,-0.06,0.13,0.00
1071,-0.06,0.05,0.00
1081,-0.06,0.02,0.00
1091,-0.05,0.04,0.00
1101,-0.05,0.01,0.00
1111,-0.05,0.04,0.00
1121,-0.05,0.04,0.00
1131,-0.05,0.06,0.00
1141,-0.05,0.10,0.00
1151,-0.05,0.12,0.00
1161,-0.06,0.13,0.00
1171,-0.06,0.12,0.00
1181,-0.06,0.12,0.00
1191,-0.06,0.08,0.00
1201,-0.06,0.08,0.00
1211,-0.06,0.05,0.00
1221,-0.06,0.02,0.00
1231,-0.06,0.06,0.00
1241,-0.06,0.10,0.00
1251,-0.06,0.07,0.00
1261,-0.06,0.07,0.00
1271,-0.06,0.07,0.00
1281,-0.06,0.09,0.00
1291,-0.06,0.09,0.00
1301,-0.06,0.08,0.00
1311,-0.06,0.09,0.00
1321,-0.06,0.02,0.00
1331,-0.05,0.02,0.00
1341,-0.05,0.04,0.00
1351,-0.06,0.12,0.00
1361,-0.05,0.05,0.00
1371,-0.06,0.11,0.00
1381,-0.06,0.17,0.00
1391,-0.06,0.07,0.00
1401,-0.06,0.08,0.00
1411,-0.06,0.09,0.00
1421,-0.06,0.06,0.00
1431,-0.06,0.02,0.00
1441,-0.05,0.03,0.00
1451,-0.06,0.11,0.00
1461,-0.06,0.08,0.00
1471,-0.05,0.04,0.00
1481,-0.05,0.05,0.00
1491,-0.05,0.08,0.00
1501,-0.05,0.02,0.00
1511,-0.05,0.03,0.00
1521,-0.05,0.04,0.00
1531,-0.05,0.08,0.00
1541,-0.05,0.07,0.00
1551,-0.04,0.06,0.00
1561,-0.04,0.03,0.00
1571,-0.04,0.09,0.00
1581,-0.04,0.08,0.00
1591,-0.04,0.07,0.00
1601,-0.04,0.10,0.00
1611,-0.04,0.08,0.00
1621,-0.04,0.09,0.00
1631,-0.05,0.10,0.00
1641,-0.05,0.10,0.00
1651,-0.05,0.11,0.00
1661,-0.05,0.06,0.00
1671,-0.05,0.07,0.00
1681,-0.05,0.08,0.00
1691,-0.05,0.09,0.00
1701,-0.05,0.09,0.00
1711,-0.05,0.12,0.00
1721,-0.05,0.06,0.00
1731,-0.05,0.05,0.00
1741,-0.04,0.05,0.00
1751,-0.04,0.03,0.00
1761,-0.04,0.05,0.00
1771,-0.04,0.04,0.00
1781,-0.04,0.04,0.00
1791,-0.04,0.09,0.00
1801,-0.04,0.06,0.00
1811,-0.03,0.00,0.00
1821,-0.03,-0.01,0.00
1831,-0.03,0.06,0.00
1841,-0.03,0.11,0.00
1851,-0.03,0.04,0.00
1861,-0.03,0.06,0.00
1871,-0.03,0.09,0.00
1881,-0.03,0.14,0.00
1891,-0.03,0.08,0.00
1901,-0.03,0.09,0.00
1911,-0.03,0.11,0.00
1921,-0.03,0.10,0.00
1931,-0.03,0.11,0.00
1941,-0.03,0.08,0.00
1951,-0.04,0.14,0.00
1961,-0.04,0.04,0.00
1971,-0.03,0.05,0.00
1981,-0.03,0.04,0.00
1991,-0.03,0.07,0.00
2001,-0.03,0.12,0.00
2011,-0.04,0.15,0.00
2021,-0.04,0.11,0.00
2031,-0.04,0.10,0.00
2041,-0.04,0.10,0.00
2051,-0.04,0.10,0.00
2061,-0.04,0.04,0.00
2071,-0.04,0.14,0.00
2081,-0.04,0.06,0.00
2091,-0.04,0.07,0.00
2101,-0.04,0.14,0.00
2111,-0.04,0.07,0.00
2121,-0.04,0.07,0.00
2131,-0.04,0.09,0.00
2141,-0.04,0.09,0.00
2151,-0.04,0.12,0.00
2161,-0.04,0.14,0.00
2171,-0.04,0.07,0.00
2181,-0.04,0.14,0.00
2191,-0.05,0.16,0.00
2201,-0.05,0.11,0.00
2211,-0.05,0.10,0.00
2221,-0.05,0.12,0.00
2231,-0.05,0.05,0.00
2241,-0.05,0.11,0.00
2251,-0.05,0.06,0.00
2261,-0.05,0.11,0.00
2271,-0.05,0.08,0.00
2281,-0.04,0.06,0.00
2291,-0.04,0.09,0.00
2301,-0.04,0.09,0.00
2311,-0.04,0.08,0.00
2321,-0.04,0.08,0.00
2331,-0.04,0.07,0.00
2341,-0.04,0.12,0.00
2351,-0.04,0.10,0.00
2361,-0.04,0.07,0.00
2371,-0.04,0.10,0.00
2381,-0.04,0.07,0.00
2391,-0.04,0.07,0.00
2401,-0.04,0.08,0.00
2411,-0.04,0.09,0.00
2421,-0.04,0.15,0.00
2431,-0.04,0.07,0.00
2441,-0.03,0.03,0.00
2451,-0.03,0.09,0.00
2461,-0.04,0.11,0.00
2471,-0.03,0.08,0.00
2481,-0.03,0.08,0.00
2491,-0.03,0.11,0.00
2501,-0.03,0.07,0.00
2511,-0.03,0.11,0.00
2521,-0.03,0.06,0.00
2531,-0.03,0.06,0.00
2541,-0.03,0.07,0.00
2551,-0.03,0.12,0.00
2561,-0.03,0.12,0.00
2571,-0.03,0.07,0.00
2581,-0.03,0.09,0.00
2591,-0.03,0.08,0.00
2601,-0.03,0.11,0.00
2611,-0.03,0.08,0.00
2621,-0.03,0.10,0.00
2631,-0.03,0.03,0.00
2641,-0.03,0.05,0.00
2651,-0.02,0.09,0.00
2661,-0.02,0.05,0.00
2671,-0.02,0.11,0.00
2681,-0.02,0.11,0.00
2691,-0.03,0.13,0.00
2701,-0.03,0.13,0.00
2711,-0.03,0.12,0.00
2721,-0.03,0.11,0.00
2731,-0.03,0.14,0.00
2741,-0.03,0.12,0.00
2751,-0.03,0.10,0.00
2761,-0.03,0.08,0.00
2771,-0.03,0.08,0.00
2781,-0.03,0.07,0.00
2791,-0.03,0.09,0.00
2801,-0.03,0.05,0.00
2811,-0.03,0.08,0.00
2821,-0.02,0.08,0.00
2831,-0.03,0.14,0.00
2841,-0.03,0.09,0.00
2851,-0.03,0.12,0.00
2861,-0.03,0.10,0.00
2871,-0.03,0.14,0.00
2881,-0.03,0.10,0.00
2891,-0.03,0.12,0.00
2901,-0.03,0.10,0.00
2911,-0.03,0.13,0.00
2921,-0.03,0.14,0.00
2931,-0.04,0.17,0.00
2941,-0.04,0.14,0.00
2951,-0.04,0.13,0.00
2961,-0.04,0.09,0.00
2971,-0.04,0.12,0.00
2981,-0.04,0.10,0.00
2991,-0.04,0.15,0.00
3001,-0.04,0.11,0.00
3011,-0.04,0.14,0.00
3021,-0.04,0.16,0.00
3031,-0.04,0.10,0.00
3041,-0.04,0.09,0.00
3051,-0.04,0.11,0.00
3061,-0.04,0.10,0.00
3071,-0.04,0.10,0.00
3081,-0.04,0.06,0.00
3091,-0.04,0.07,0.00
3101,-0.04,0.11,0.00
3111,-0.04,0.14,0.00
3121,-0.04,0.16,0.00
3131,-0.04,0.11,0.00
3141,-0.04,0.11,0.00
3151,-0.04,0.07,0.00
3161,-0.04,0.14,0.00
3171,-0.04,0.11,0.00
3181,-0.04,0.13,0.00
3191,-0.04,0.10,0.00
3201,-0.04,0.09,0.00
