tempo_ms,angulo_deg,u_pct,referencia
10,-2.30,47.40,0.00
20,-2.30,1.36,0.00
30,-2.30,1.33,0.00
40,-2.30,1.38,0.00
50,-2.30,1.35,0.00
60,-2.30,1.37,0.00
70,-2.30,1.40,0.00
80,-2.29,1.43,0.00
90,-2.29,1.42,0.00
100,-2.29,1.43,0.00
110,-2.29,1.45,0.00
120,-2.29,1.48,0.00
130,-2.29,1.52,0.00
140,-2.29,1.51,0.00
150,-2.28,1.51,0.00
160,-2.28,1.53,0.00
170,-2.28,1.52,0.00
180,-2.28,1.59,0.00
190,-2.28,1.59,0.00
200,-2.28,1.62,0.00
210,-2.28,1.64,0.00
220,-2.28,1.65,0.00
230,-2.28,1.72,0.00
240,-2.28,1.66,0.00
250,-2.28,1.71,0.00
260,-2.28,1.66,0.00
270,-2.28,1.73,0.00
280,-2.28,1.73,0.00
290,-2.28,1.73,0.00
300,-2.28,1.73,0.00
310,-2.28,1.77,0.00
320,-2.28,1.86,0.00
330,-2.28,1.83,0.00
340,-2.28,1.83,0.00
350,-2.28,1.88,0.00
360,-2.28,1.84,0.00
370,-2.28,1.86,0.00
380,-2.28,1.88,0.00
390,-2.28,1.88,0.00
400,-2.28,1.93,0.00
410,-2.28,1.95,0.00
420,-2.28,1.94,0.00
430,-2.28,1.95,0.00
440,-2.28,1.96,0.00
450,-2.28,1.99,0.00
460,-2.28,2.04,0.00
470,-2.28,2.02,0.00
480,-2.28,2.07,0.00
490,-2.28,2.07,0.00
500,-2.28,2.07,0.00
510,-2.28,2.12,0.00
520,-2.28,2.11,0.00
530,-2.28,2.14,0.00
540,-2.28,2.14,0.00
550,-2.28,2.17,0.00
560,-2.28,2.16,0.00
570,-2.28,2.17,0.00
580,-2.28,2.17,0.00
590,-2.28,2.19,0.00
600,-2.28,2.22,0.00
610,-2.28,2.29,0.00
620,-2.28,2.26,0.00
630,-2.28,2.26,0.00
640,-2.28,2.28,0.00
650,-2.28,2.33,0.00
660,-2.28,2.32,0.00
670,-2.28,2.29,0.00
680,-2.28,2.35,0.00
690,-2.28,2.41,0.00
700,-2.28,2.39,0.00
710,-2.28,2.40,0.00
720,-2.28,2.40,0.00
730,-2.28,2.43,0.00
740,-2.28,2.42,0.00
750,-2.28,2.38,0.00
760,-2.28,2.43,0.00
770,-2.28,2.43,0.00
780,-2.28,2.48,0.00
790,-2.27,2.41,0.00
800,-2.27,2.51,0.00
810,-2.27,2.56,0.00
820,-2.27,2.56,0.00
830,-2.27,2.50,0.00
840,-2.27,2.57,0.00
850,-2.27,2.57,0.00
860,-2.27,2.60,0.00
870,-2.27,2.62,0.00
880,-2.27,2.64,0.00
890,-2.27,2.65,0.00
900,-2.27,2.68,0.00
910,-2.27,2.68,0.00
920,-2.27,2.67,0.00
930,-2.26,2.70,0.00
940,-2.26,2.70,0.00
950,-2.26,2.69,0.00
960,-2.26,2.78,0.00
970,-2.26,2.72,0.00
980,-2.26,2.78,0.00
990,-2.26,2.83,0.00
1000,-2.26,2.82,0.00
1010,-2.26,2.86,0.00
1020,-2.26,2.90,0.00
1030,-2.26,2.86,0.00
1040,-2.26,2.83,0.00
1050,-2.26,2.85,0.00
1060,-2.26,2.87,0.00
1070,-2.26,2.87,0.00
1080,-2.26,2.97,0.00
1090,-2.26,2.93,0.00
1100,-2.26,2.96,0.00
1110,-2.25,2.94,0.00
1120,-2.25,3.00,0.00
1130,-2.26,3.03,0.00
1140,-2.25,3.00,0.00
1150,-2.26,3.10,0.00
1160,-2.26,3.02,0.00
1170,-2.26,3.11,0.00
1180,-2.26,3.08,0.00
1190,-2.26,3.13,0.00
1200,-2.26,3.13,0.00
1210,-2.26,3.16,0.00
1220,-2.26,3.15,0.00
1230,-2.26,3.16,0.00
1240,-2.26,3.20,0.00
1250,-2.26,3.12,0.00
1260,-2.26,3.23,0.00
1270,-2.26,3.20,0.00
1280,-2.26,3.23,0.00
1290,-2.26,3.19,0.00
1300,-2.25,3.25,0.00
1310,-2.25,3.27,0.00
1320,-2.26,3.31,0.00
1330,-2.26,3.35,0.00
1340,-2.26,3.30,0.00
1350,-2.26,3.33,0.00
1360,-2.25,3.33,0.00
1370,-2.26,3.42,0.00
1380,-2.25,3.34,0.00
1390,-2.25,3.37,0.00
1400,-2.25,3.39,0.00
1410,-2.25,3.40,0.00
1420,-2.25,3.45,0.00
1430,-2.25,3.49,0.00
1440,-2.26,3.51,0.00
1450,-2.25,3.43,0.00
1460,-2.26,3.57,0.00
1470,-2.26,3.53,0.00
1480,-2.26,3.56,0.00
1490,-2.26,3.52,0.00
1500,-2.26,3.55,0.00
1510,-2.26,3.65,0.00
1520,-2.26,3.63,0.00
1530,-2.26,3.63,0.00
1540,-2.26,3.61,0.00
1550,-2.26,3.67,0.00
1560,-2.26,3.65,0.00
1570,-2.26,3.70,0.00
1580,-2.26,3.65,0.00
1590,-2.26,3.71,0.00
1600,-2.26,3.74,0.00
1610,-2.26,3.70,0.00
1620,-2.26,3.76,0.00
1630,-2.26,3.79,0.00
1640,-2.26,3.82,0.00
1650,-2.26,3.77,0.00
1660,-2.26,3.79,0.00
1670,-2.26,3.83,0.00
1680,-2.26,3.84,0.00
1690,-2.26,3.88,0.00
1700,-2.27,3.89,0.00
1710,-2.27,3.91,0.00
1720,-2.26,3.84,0.00
1730,-2.26,3.93,0.00
1740,-2.27,3.95,0.00
1750,-2.27,3.96,0.00
1760,-2.26,3.92,0.00
1770,-2.26,3.98,0.00
1780,-2.27,4.01,0.00
1790,-2.27,4.00,0.00
1800,-2.27,4.04,0.00
1810,-2.27,4.02,0.00
1820,-2.27,4.06,0.00
1830,-2.26,4.06,0.00
1840,-2.27,4.10,0.00
1850,-2.27,4.11,0.00
1860,-2.27,4.11,0.00
1870,-2.26,4.08,0.00
1880,-2.26,4.11,0.00
1890,-2.26,4.14,0.00
1900,-2.26,4.19,0.00
1910,-2.26,4.20,0.00
1920,-2.26,4.15,0.00
1930,-2.26,4.19,0.00
1940,-2.26,4.21,0.00
1950,-2.26,4.25,0.00
1960,-2.26,4.30,0.00
1970,-2.26,4.28,0.00
1980,-2.26,4.32,0.00
1990,-2.26,4.29,0.00
2000,-2.26,4.32,0.00
2010,-2.26,4.32,0.00
2020,-2.26,4.41,0.00
2030,-2.27,4.43,0.00
2040,-2.27,4.40,0.00
2050,-2.27,4.41,0.00
2060,-2.27,4.45,0.00
2070,-2.27,4.47,0.00
2080,-2.27,4.45,0.00
2090,-2.27,4.47,0.00
2100,-2.27,4.42,0.00
2110,-2.27,4.48,0.00
2120,-2.27,4.48,0.00
