tempo_ms,angulo_deg,u_pct,referencia
10,-3.18,65.47,0.00
20,-3.18,1.88,0.00
30,-3.18,1.91,0.00
40,-3.19,2.00,0.00
50,-3.19,2.01,0.00
60,-3.19,1.99,0.00
70,-3.19,2.02,0.00
80,-3.19,2.01,0.00
90,-3.19,2.03,0.00
100,-3.19,2.09,0.00
110,-3.20,2.11,0.00
120,-3.20,2.12,0.00
130,-3.20,2.19,0.00
140,-3.20,2.20,0.00
150,-3.20,2.18,0.00
160,-3.21,2.24,0.00
170,-3.21,2.23,0.00
180,-3.21,2.20,0.00
190,-3.21,2.28,0.00
200,-3.21,2.35,0.00
210,-3.21,2.36,0.00
220,-3.22,2.38,0.00
230,-3.22,2.39,0.00
240,-3.22,2.38,0.00
250,-3.22,2.40,0.00
260,-3.22,2.40,0.00
270,-3.22,2.41,0.00
280,-3.22,2.46,0.00
290,-3.22,2.48,0.00
300,-3.22,2.50,0.00
310,-3.22,2.54,0.00
320,-3.22,2.54,0.00
330,-3.22,2.56,0.00
340,-3.22,2.57,0.00
350,-3.22,2.64,0.00
360,-3.22,2.63,0.00
370,-3.23,2.67,0.00
380,-3.23,2.70,0.00
390,-3.23,2.69,0.00
400,-3.23,2.79,0.00
410,-3.23,2.77,0.00
420,-3.23,2.74,0.00
430,-3.23,2.81,0.00
440,-3.23,2.76,0.00
450,-3.23,2.82,0.00
460,-3.23,2.83,0.00
470,-3.23,2.93,0.00
480,-3.24,2.92,0.00
490,-3.24,2.92,0.00
500,-3.24,2.98,0.00
510,-3.24,2.92,0.00
520,-3.24,2.99,0.00
530,-3.24,3.01,0.00
540,-3.24,3.06,0.00
550,-3.24,3.07,0.00
560,-3.24,3.10,0.00
570,-3.24,3.13,0.00
580,-3.25,3.15,0.00
590,-3.25,3.15,0.00
600,-3.25,3.18,0.00
610,-3.25,3.23,0.00
620,-3.25,3.21,0.00
630,-3.25,3.18,0.00
640,-3.25,3.26,0.00
650,-3.25,3.25,0.00
660,-3.25,3.28,0.00
670,-3.25,3.32,0.00
680,-3.25,3.31,0.00
690,-3.25,3.30,0.00
700,-3.24,3.31,0.00
710,-3.24,3.38,0.00
720,-3.24,3.41,0.00
730,-3.24,3.44,0.00
740,-3.24,3.46,0.00
750,-3.24,3.44,0.00
760,-3.24,3.54,0.00
770,-3.24,3.49,0.00
780,-3.24,3.52,0.00
790,-3.24,3.52,0.00
800,-3.24,3.62,0.00
810,-3.24,3.58,0.00
820,-3.24,3.63,0.00
830,-3.24,3.66,0.00
840,-3.24,3.65,0.00
850,-3.24,3.75,0.00
860,-3.24,3.72,0.00
870,-3.25,3.77,0.00
880,-3.25,3.75,0.00
890,-3.24,3.75,0.00
900,-3.24,3.80,0.00
910,-3.24,3.81,0.00
920,-3.24,3.84,0.00
930,-3.24,3.84,0.00
940,-3.24,3.88,0.00
950,-3.24,3.91,0.00
960,-3.24,3.98,0.00
970,-3.24,3.91,0.00
980,-3.24,3.99,0.00
990,-3.24,3.99,0.00
1000,-3.24,4.04,0.00
1010,-3.25,4.08,0.00
1020,-3.25,4.07,0.00
1030,-3.25,4.07,0.00
1040,-3.24,4.06,0.00
1050,-3.25,4.13,0.00
1060,-3.25,4.16,0.00
1070,-3.25,4.20,0.00
1080,-3.25,4.18,0.00
1090,-3.25,4.18,0.00
1100,-3.24,4.21,0.00
1110,-3.24,4.26,0.00
1120,-3.24,4.26,0.00
1130,-3.24,4.25,0.00
1140,-3.24,4.34,0.00
1150,-3.24,4.33,0.00
1160,-3.24,4.33,0.00
1170,-3.24,4.38,0.00
1180,-3.24,4.41,0.00
1190,-3.24,4.39,0.00
1200,-3.24,4.49,0.00
1210,-3.24,4.50,0.00
1220,-3.24,4.48,0.00
1230,-3.25,4.56,0.00
1240,-3.24,4.48,0.00
1250,-3.24,4.56,0.00
1260,-3.24,4.57,0.00
1270,-3.24,4.63,0.00
1280,-3.25,4.64,0.00
1290,-3.25,4.64,0.00
1300,-3.25,4.65,0.00
1310,-3.24,4.67,0.00
1320,-3.25,4.72,0.00
1330,-3.25,4.74,0.00
1340,-3.24,4.73,0.00
1350,-3.24,4.77,0.00
1360,-3.24,4.80,0.00
1370,-3.25,4.88,0.00
1380,-3.25,4.90,0.00
1390,-3.25,4.87,0.00
1400,-3.25,4.86,0.00
1410,-3.25,4.88,0.00
1420,-3.25,4.95,0.00
1430,-3.25,4.95,0.00
1440,-3.25,4.99,0.00
1450,-3.25,5.05,0.00
1460,-3.26,5.04,0.00
1470,-3.26,5.04,0.00
1480,-3.26,5.07,0.00
1490,-3.26,5.05,0.00
1500,-3.26,5.13,0.00
1510,-3.26,5.14,0.00
1520,-3.26,5.23,0.00
1530,-3.26,5.20,0.00
1540,-3.26,5.14,0.00
1550,-3.26,5.25,0.00
1560,-3.26,5.24,0.00
1570,-3.26,5.22,0.00
1580,-3.26,5.29,0.00
1590,-3.26,5.29,0.00
1600,-3.26,5.39,0.00
1610,-3.27,5.36,0.00
1620,-3.26,5.37,0.00
1630,-3.26,5.36,0.00
