tempo_ms,angulo_deg,u_pct,referencia
10,-2.82,58.09,0.00
20,-2.80,1.14,0.00
30,-2.72,0.16,0.00
40,-2.70,1.09,0.00
50,-2.72,2.14,0.00
60,-2.66,0.50,0.00
70,-2.65,1.37,0.00
80,-2.60,0.61,0.00
90,-2.56,0.93,0.00
100,-2.57,1.91,0.00
110,-2.57,1.58,0.00
120,-2.56,1.57,0.00
130,-2.57,1.91,0.00
140,-2.56,1.36,0.00
150,-2.53,1.17,0.00
160,-2.52,1.60,0.00
170,-2.47,0.70,0.00
180,-2.47,1.73,0.00
190,-2.43,0.91,0.00
200,-2.41,1.32,0.00
210,-2.40,1.65,0.00
220,-2.39,1.38,0.00
230,-2.41,2.23,0.00
240,-2.40,1.73,0.00
250,-2.39,1.61,0.00
260,-2.40,1.91,0.00
270,-2.38,1.47,0.00
280,-2.37,1.67,0.00
290,-2.39,2.17,0.00
300,-2.37,1.42,0.00
310,-2.36,1.66,0.00
320,-2.35,1.70,0.00
330,-2.34,1.79,0.00
340,-2.34,1.85,0.00
350,-2.33,1.81,0.00
360,-2.33,1.91,0.00
370,-2.33,2.03,0.00
380,-2.32,1.79,0.00
390,-2.31,1.73,0.00
400,-2.30,1.81,0.00
410,-2.30,1.95,0.00
420,-2.30,2.00,0.00
430,-2.28,1.64,0.00
440,-2.27,1.87,0.00
450,-2.27,2.05,0.00
460,-2.27,1.96,0.00
470,-2.27,2.07,0.00
480,-2.26,1.85,0.00
490,-2.26,2.05,0.00
500,-2.24,1.77,0.00
510,-2.24,2.19,0.00
520,-2.25,2.27,0.00
530,-2.24,2.00,0.00
540,-2.23,1.86,0.00
550,-2.22,2.04,0.00
560,-2.23,2.30,0.00
570,-2.23,2.24,0.00
580,-2.23,2.17,0.00
590,-2.23,2.38,0.00
600,-2.23,2.19,0.00
610,-2.23,2.27,0.00
620,-2.23,2.28,0.00
630,-2.23,2.20,0.00
640,-2.23,2.33,0.00
650,-2.23,2.22,0.00
660,-2.23,2.46,0.00
670,-2.24,2.42,0.00
680,-2.22,2.02,0.00
690,-2.21,2.09,0.00
700,-2.20,2.19,0.00
710,-2.19,2.27,0.00
720,-2.20,2.50,0.00
730,-2.20,2.40,0.00
740,-2.19,2.37,0.00
750,-2.18,2.20,0.00
760,-2.18,2.33,0.00
770,-2.18,2.64,0.00
780,-2.18,2.45,0.00
790,-2.17,2.29,0.00
800,-2.17,2.37,0.00
810,-2.16,2.42,0.00
820,-2.17,2.77,0.00
830,-2.17,2.47,0.00
840,-2.15,2.11,0.00
850,-2.14,2.34,0.00
860,-2.16,2.95,0.00
870,-2.17,2.86,0.00
880,-2.15,2.15,0.00
890,-2.14,2.50,0.00
900,-2.16,3.04,0.00
910,-2.15,2.54,0.00
920,-2.14,2.26,0.00
930,-2.13,2.52,0.00
940,-2.15,3.23,0.00
950,-2.15,2.63,0.00
960,-2.14,2.47,0.00
970,-2.14,2.65,0.00
980,-2.14,2.93,0.00
990,-2.13,2.55,0.00
1000,-2.13,2.58,0.00
1010,-2.13,2.95,0.00
