tempo_ms,angulo_deg,u_pct,referencia
10,1.36,-27.93,0.00
20,1.36,-0.87,0.00
30,1.36,-0.76,0.00
40,1.36,-0.84,0.00
50,1.36,-0.82,0.00
60,1.36,-0.83,0.00
70,1.36,-0.91,0.00
80,1.36,-0.89,0.00
90,1.36,-0.87,0.00
100,1.36,-0.91,0.00
110,1.37,-0.92,0.00
120,1.37,-0.89,0.00
130,1.36,-0.88,0.00
140,1.36,-0.90,0.00
150,1.36,-0.92,0.00
160,1.36,-0.95,0.00
170,1.37,-1.02,0.00
180,1.37,-0.98,0.00
190,1.37,-1.00,0.00
200,1.37,-0.94,0.00
210,1.37,-1.01,0.00
220,1.37,-0.98,0.00
230,1.37,-0.97,0.00
240,1.37,-1.00,0.00
250,1.37,-0.99,0.00
260,1.37,-1.00,0.00
270,1.37,-1.06,0.00
280,1.37,-0.99,0.00
290,1.36,-1.02,0.00
300,1.37,-1.09,0.00
310,1.37,-1.11,0.00
320,1.37,-1.11,0.00
330,1.37,-1.12,0.00
340,1.37,-1.09,0.00
350,1.37,-1.13,0.00
360,1.37,-1.11,0.00
370,1.37,-1.11,0.00
380,1.37,-1.12,0.00
390,1.37,-1.21,0.00
400,1.37,-1.16,0.00
410,1.38,-1.20,0.00
420,1.38,-1.25,0.00
430,1.38,-1.21,0.00
440,1.38,-1.16,0.00
450,1.38,-1.18,0.00
460,1.37,-1.12,0.00
470,1.37,-1.10,0.00
480,1.36,-1.16,0.00
490,1.37,-1.25,0.00
500,1.37,-1.32,0.00
510,1.37,-1.27,0.00
520,1.37,-1.31,0.00
530,1.37,-1.28,0.00
540,1.37,-1.27,0.00
550,1.37,-1.27,0.00
560,1.37,-1.30,0.00
570,1.37,-1.30,0.00
580,1.37,-1.27,0.00
590,1.37,-1.33,0.00
600,1.37,-1.34,0.00
610,1.37,-1.33,0.00
620,1.37,-1.39,0.00
630,1.37,-1.37,0.00
640,1.37,-1.36,0.00
650,1.37,-1.39,0.00
660,1.37,-1.39,0.00
670,1.37,-1.39,0.00
680,1.37,-1.41,0.00
690,1.37,-1.41,0.00
700,1.37,-1.41,0.00
710,1.37,-1.46,0.00
720,1.37,-1.44,0.00
730,1.37,-1.41,0.00
740,1.37,-1.48,0.00
750,1.37,-1.47,0.00
760,1.37,-1.47,0.00
770,1.37,-1.44,0.00
780,1.37,-1.52,0.00
790,1.37,-1.56,0.00
800,1.37,-1.54,0.00
810,1.37,-1.53,0.00
820,1.37,-1.54,0.00
830,1.37,-1.56,0.00
840,1.37,-1.51,0.00
850,1.37,-1.56,0.00
860,1.37,-1.53,0.00
870,1.37,-1.57,0.00
880,1.37,-1.59,0.00
890,1.37,-1.63,0.00
