tempo_ms,angulo_deg,u_pct,referencia
11,1.27,-26.22,0.00
21,1.28,-0.79,0.00
31,1.28,-0.78,0.00
41,1.28,-0.79,0.00
51,1.28,-0.82,0.00
61,1.28,-0.82,0.00
71,1.29,-0.91,0.00
81,1.29,-0.91,0.00
91,1.29,-0.89,0.00
101,1.30,-0.88,0.00
111,1.30,-0.90,0.00
121,1.30,-0.93,0.00
131,1.31,-0.91,0.00
141,1.31,-0.89,0.00
151,1.31,-0.90,0.00
161,1.31,-0.88,0.00
171,1.31,-0.88,0.00
181,1.31,-0.91,0.00
191,1.31,-0.92,0.00
201,1.31,-0.93,0.00
211,1.31,-0.97,0.00
221,1.31,-0.96,0.00
231,1.31,-0.94,0.00
241,1.31,-0.98,0.00
251,1.31,-1.04,0.00
261,1.32,-1.02,0.00
271,1.32,-1.05,0.00
281,1.32,-1.04,0.00
291,1.32,-1.05,0.00
301,1.32,-1.07,0.00
311,1.33,-1.04,0.00
321,1.33,-1.10,0.00
331,1.33,-0.99,0.00
341,1.33,-1.12,0.00
351,1.33,-1.07,0.00
361,1.33,-1.13,0.00
371,1.33,-1.06,0.00
381,1.33,-1.10,0.00
391,1.33,-1.15,0.00
401,1.33,-1.18,0.00
411,1.34,-1.16,0.00
421,1.34,-1.13,0.00
431,1.34,-1.14,0.00
441,1.34,-1.18,0.00
451,1.34,-1.18,0.00
461,1.34,-1.26,0.00
471,1.34,-1.23,0.00
481,1.35,-1.20,0.00
491,1.34,-1.16,0.00
501,1.34,-1.23,0.00
511,1.34,-1.23,0.00
521,1.34,-1.24,0.00
531,1.34,-1.23,0.00
541,1.35,-1.34,0.00
551,1.35,-1.29,0.00
561,1.35,-1.27,0.00
571,1.35,-1.26,0.00
581,1.35,-1.30,0.00
591,1.35,-1.33,0.00
601,1.35,-1.34,0.00
611,1.35,-1.31,0.00
621,1.35,-1.34,0.00
631,1.36,-1.37,0.00
641,1.36,-1.33,0.00
651,1.36,-1.35,0.00
661,1.36,-1.43,0.00
671,1.36,-1.42,0.00
681,1.36,-1.42,0.00
691,1.36,-1.44,0.00
701,1.37,-1.42,0.00
711,1.37,-1.46,0.00
721,1.37,-1.44,0.00
731,1.37,-1.48,0.00
741,1.37,-1.45,0.00
751,1.37,-1.49,0.00
761,1.37,-1.43,0.00
771,1.37,-1.48,0.00
781,1.37,-1.47,0.00
791,1.37,-1.48,0.00
801,1.37,-1.56,0.00
811,1.37,-1.48,0.00
821,1.37,-1.51,0.00
831,1.37,-1.53,0.00
841,1.37,-1.55,0.00
851,1.37,-1.54,0.00
861,1.37,-1.55,0.00
871,1.37,-1.58,0.00
881,1.37,-1.53,0.00
891,1.37,-1.54,0.00
901,1.37,-1.56,0.00
911,1.37,-1.60,0.00
921,1.37,-1.60,0.00
931,1.37,-1.68,0.00
941,1.38,-1.70,0.00
951,1.38,-1.67,0.00
961,1.38,-1.69,0.00
971,1.38,-1.67,0.00
981,1.38,-1.67,0.00
991,1.38,-1.66,0.00
1001,1.38,-1.65,0.00
1011,1.38,-1.66,0.00
1021,1.37,-1.66,0.00
1031,1.37,-1.69,0.00
1041,1.37,-1.74,0.00
1051,1.37,-1.72,0.00
1061,1.37,-1.66,0.00
1071,1.37,-1.75,0.00
1081,1.37,-1.75,0.00
1091,1.37,-1.71,0.00
1101,1.36,-1.71,0.00
1111,1.36,-1.79,0.00
1121,1.37,-1.85,0.00
1131,1.37,-1.84,0.00
1141,1.37,-1.84,0.00
1151,1.37,-1.84,0.00
1161,1.37,-1.80,0.00
1171,1.37,-1.81,0.00
1181,1.37,-1.76,0.00
1191,1.36,-1.84,0.00
1201,1.36,-1.84,0.00
1211,1.36,-1.87,0.00
1221,1.36,-1.84,0.00
1231,1.36,-1.84,0.00
1241,1.36,-1.90,0.00
1251,1.36,-1.87,0.00
1261,1.36,-1.92,0.00
1271,1.36,-1.94,0.00
1281,1.36,-1.93,0.00
1291,1.36,-1.93,0.00
1301,1.36,-1.94,0.00
1311,1.36,-1.94,0.00
1321,1.36,-1.95,0.00
1331,1.36,-1.92,0.00
1341,1.36,-1.97,0.00
1351,1.36,-2.00,0.00
1361,1.36,-1.98,0.00
1371,1.35,-1.97,0.00
1381,1.35,-2.04,0.00
1391,1.36,-2.04,0.00
1401,1.36,-2.09,0.00
1411,1.36,-2.05,0.00
1421,1.36,-2.05,0.00
1431,1.36,-2.08,0.00
1441,1.36,-2.01,0.00
1451,1.36,-2.09,0.00
1461,1.36,-2.13,0.00
1471,1.36,-2.12,0.00
1481,1.36,-2.13,0.00
1491,1.36,-2.11,0.00
