tempo_ms,angulo_deg,u_pct,referencia
11,3.24,-66.75,0.00
21,3.22,-1.54,0.00
31,3.23,-2.11,0.00
41,3.24,-2.10,0.00
51,3.27,-2.58,0.00
61,3.26,-1.82,0.00
71,3.27,-2.14,0.00
81,3.27,-2.01,0.00
91,3.26,-1.87,0.00
101,3.26,-2.11,0.00
111,3.27,-2.42,0.00
121,3.25,-1.63,0.00
131,3.26,-2.38,0.00
141,3.24,-1.86,0.00
151,3.22,-1.79,0.00
161,3.21,-2.03,0.00
171,3.20,-1.92,0.00
181,3.19,-2.03,0.00
191,3.17,-1.90,0.00
201,3.15,-1.88,0.00
211,3.15,-2.08,0.00
221,3.13,-2.05,0.00
231,3.14,-2.37,0.00
241,3.13,-2.23,0.00
251,3.12,-2.03,0.00
261,3.09,-1.75,0.00
271,3.09,-2.41,0.00
281,3.07,-2.01,0.00
291,3.08,-2.44,0.00
301,3.08,-2.43,0.00
311,3.07,-2.18,0.00
321,3.05,-2.22,0.00
331,3.05,-2.36,0.00
341,3.05,-2.44,0.00
351,3.03,-2.06,0.00
361,3.03,-2.48,0.00
371,3.04,-2.81,0.00
381,3.03,-2.30,0.00
391,3.02,-2.48,0.00
401,3.01,-2.25,0.00
411,3.02,-2.79,0.00
421,2.99,-2.13,0.00
431,2.99,-2.49,0.00
441,2.99,-2.67,0.00
451,2.98,-2.58,0.00
461,2.98,-2.58,0.00
471,2.99,-2.85,0.00
481,2.98,-2.62,0.00
491,2.99,-2.92,0.00
501,3.00,-2.82,0.00
511,2.99,-2.65,0.00
521,2.99,-2.93,0.00
531,3.00,-3.00,0.00
541,3.00,-2.84,0.00
551,3.01,-3.09,0.00
561,3.02,-2.97,0.00
571,3.02,-3.05,0.00
581,3.02,-2.80,0.00
591,3.04,-3.47,0.00
601,3.05,-3.06,0.00
611,3.02,-2.42,0.00
621,3.02,-3.15,0.00
631,3.03,-3.25,0.00
641,3.05,-3.31,0.00
651,3.06,-3.36,0.00
661,3.06,-3.06,0.00
671,3.04,-2.81,0.00
681,3.06,-3.50,0.00
