tempo_ms,angulo_deg,u_pct,referencia
10,-3.27,67.38,0.00
20,-3.26,1.70,0.00
30,-3.23,1.18,0.00
40,-3.11,-0.42,0.00
50,-3.09,1.41,0.00
60,-3.08,1.84,0.00
70,-3.09,2.07,0.00
80,-3.11,2.44,0.00
90,-3.14,2.43,0.00
100,-3.16,2.51,0.00
110,-3.19,2.66,0.00
120,-3.16,1.57,0.00
130,-3.15,1.71,0.00
140,-3.12,1.66,0.00
150,-3.11,1.76,0.00
160,-3.09,1.85,0.00
170,-3.08,1.83,0.00
180,-3.06,1.81,0.00
190,-3.07,2.27,0.00
200,-3.06,1.97,0.00
210,-3.02,1.50,0.00
220,-3.03,2.39,0.00
230,-3.01,1.74,0.00
240,-2.96,1.25,0.00
250,-2.94,1.68,0.00
260,-2.93,2.21,0.00
270,-2.90,1.46,0.00
280,-2.89,2.16,0.00
290,-2.88,1.98,0.00
300,-2.87,2.01,0.00
310,-2.87,2.38,0.00
320,-2.87,2.24,0.00
330,-2.87,2.31,0.00
340,-2.86,2.27,0.00
350,-2.87,2.48,0.00
360,-2.87,2.29,0.00
370,-2.86,2.25,0.00
380,-2.85,2.29,0.00
390,-2.85,2.32,0.00
400,-2.86,2.59,0.00
410,-2.84,2.20,0.00
420,-2.84,2.51,0.00
430,-2.84,2.43,0.00
440,-2.84,2.46,0.00
450,-2.83,2.37,0.00
460,-2.83,2.55,0.00
470,-2.84,2.83,0.00
480,-2.83,2.35,0.00
490,-2.83,2.49,0.00
500,-2.84,2.94,0.00
510,-2.84,2.61,0.00
520,-2.83,2.43,0.00
530,-2.82,2.39,0.00
540,-2.83,3.07,0.00
550,-2.85,2.95,0.00
560,-2.83,2.49,0.00
570,-2.83,2.77,0.00
580,-2.82,2.58,0.00
590,-2.79,2.08,0.00
600,-2.77,2.46,0.00
610,-2.75,2.39,0.00
620,-2.73,2.35,0.00
630,-2.72,2.56,0.00
640,-2.71,2.55,0.00
650,-2.71,2.96,0.00
660,-2.72,3.03,0.00
670,-2.74,3.27,0.00
680,-2.76,3.21,0.00
690,-2.74,2.49,0.00
700,-2.73,2.88,0.00
710,-2.75,3.39,0.00
720,-2.74,2.61,0.00
730,-2.75,3.18,0.00
740,-2.73,2.63,0.00
750,-2.72,2.89,0.00
760,-2.72,2.96,0.00
770,-2.71,2.83,0.00
780,-2.69,2.78,0.00
790,-2.67,2.64,0.00
800,-2.64,2.49,0.00
810,-2.65,3.15,0.00
820,-2.63,2.79,0.00
830,-2.62,2.92,0.00
840,-2.63,3.28,0.00
850,-2.61,2.79,0.00
860,-2.60,2.86,0.00
870,-2.61,3.40,0.00
880,-2.60,2.97,0.00
890,-2.60,3.17,0.00
900,-2.62,3.72,0.00
910,-2.61,2.97,0.00
920,-2.62,3.41,0.00
930,-2.65,3.91,0.00
940,-2.63,2.99,0.00
950,-2.62,3.12,0.00
960,-2.59,2.73,0.00
970,-2.61,3.59,0.00
980,-2.62,3.61,0.00
990,-2.62,3.42,0.00
1000,-2.63,3.52,0.00
1010,-2.63,3.50,0.00
1020,-2.62,3.20,0.00
1030,-2.62,3.37,0.00
1040,-2.62,3.45,0.00
1050,-2.61,3.43,0.00
1060,-2.61,3.47,0.00
1070,-2.61,3.41,0.00
1080,-2.61,3.57,0.00
1090,-2.62,3.78,0.00
1100,-2.62,3.54,0.00
1110,-2.61,3.49,0.00
1120,-2.61,3.48,0.00
1130,-2.60,3.56,0.00
1140,-2.61,3.66,0.00
1150,-2.60,3.50,0.00
1160,-2.59,3.57,0.00
1170,-2.59,3.62,0.00
1180,-2.59,3.66,0.00
1190,-2.59,3.71,0.00
1200,-2.59,3.74,0.00
1210,-2.59,3.74,0.00
1220,-2.59,3.71,0.00
1230,-2.59,3.73,0.00
1240,-2.58,3.73,0.00
1250,-2.58,3.69,0.00
1260,-2.57,3.74,0.00
1270,-2.57,3.75,0.00
1280,-2.57,3.81,0.00
1290,-2.57,3.91,0.00
1300,-2.57,3.88,0.00
1310,-2.57,3.83,0.00
1320,-2.57,3.93,0.00
1330,-2.56,3.89,0.00
1340,-2.56,3.94,0.00
1350,-2.56,3.98,0.00
1360,-2.56,3.97,0.00
1370,-2.56,4.02,0.00
1380,-2.57,4.09,0.00
1390,-2.57,4.03,0.00
1400,-2.57,4.03,0.00
1410,-2.56,4.01,0.00
1420,-2.56,3.99,0.00
1430,-2.56,4.10,0.00
1440,-2.56,4.07,0.00
1450,-2.56,4.11,0.00
1460,-2.56,4.15,0.00
1470,-2.55,4.16,0.00
1480,-2.56,4.21,0.00
1490,-2.56,4.20,0.00
1500,-2.56,4.21,0.00
1510,-2.56,4.25,0.00
1520,-2.56,4.24,0.00
1530,-2.56,4.26,0.00
1540,-2.55,4.24,0.00
1550,-2.55,4.26,0.00
1560,-2.55,4.26,0.00
1570,-2.55,4.34,0.00
1580,-2.55,4.33,0.00
1590,-2.54,4.31,0.00
1600,-2.54,4.35,0.00
1610,-2.54,4.39,0.00
1620,-2.54,4.39,0.00
1630,-2.54,4.38,0.00
1640,-2.54,4.47,0.00
1650,-2.54,4.45,0.00
1660,-2.54,4.48,0.00
1670,-2.54,4.49,0.00
1680,-2.54,4.51,0.00
1690,-2.54,4.53,0.00
1700,-2.54,4.54,0.00
1710,-2.54,4.55,0.00
1720,-2.54,4.61,0.00
1730,-2.54,4.61,0.00
1740,-2.54,4.63,0.00
1750,-2.54,4.56,0.00
1760,-2.53,4.60,0.00
1770,-2.53,4.66,0.00
1780,-2.54,4.69,0.00
1790,-2.54,4.71,0.00
1800,-2.53,4.70,0.00
1810,-2.53,4.68,0.00
1820,-2.53,4.67,0.00
1830,-2.53,4.75,0.00
1840,-2.53,4.79,0.00
1850,-2.53,4.77,0.00
1860,-2.53,4.81,0.00
1870,-2.53,4.83,0.00
1880,-2.53,4.84,0.00
1890,-2.53,4.86,0.00
1900,-2.53,4.90,0.00
1910,-2.53,4.90,0.00
1920,-2.53,4.89,0.00
1930,-2.53,4.93,0.00
1940,-2.53,4.97,0.00
1950,-2.53,5.00,0.00
1960,-2.53,4.99,0.00
1970,-2.53,5.02,0.00
1980,-2.53,4.98,0.00
1990,-2.53,5.02,0.00
2000,-2.53,5.07,0.00
2010,-2.53,5.06,0.00
2020,-2.53,5.07,0.00
2030,-2.53,5.07,0.00
2040,-2.53,5.11,0.00
2050,-2.53,5.14,0.00
2060,-2.53,5.19,0.00
2070,-2.53,5.20,0.00
2080,-2.53,5.18,0.00
2090,-2.53,5.21,0.00
2100,-2.54,5.24,0.00
2110,-2.54,5.26,0.00
2120,-2.54,5.26,0.00
2130,-2.54,5.27,0.00
2140,-2.54,5.28,0.00
2150,-2.54,5.32,0.00
2160,-2.54,5.31,0.00
2170,-2.54,5.32,0.00
2180,-2.54,5.35,0.00
2190,-2.54,5.35,0.00
2200,-2.53,5.36,0.00
2210,-2.53,5.37,0.00
2220,-2.53,5.37,0.00
2230,-2.53,5.37,0.00
2240,-2.53,5.45,0.00
2250,-2.53,5.51,0.00
2260,-2.53,5.44,0.00
2270,-2.53,5.48,0.00
2280,-2.53,5.50,0.00
2290,-2.53,5.56,0.00
2300,-2.53,5.56,0.00
2310,-2.53,5.61,0.00
2320,-2.53,5.60,0.00
2330,-2.53,5.60,0.00
2340,-2.53,5.60,0.00
2350,-2.53,5.63,0.00
2360,-2.53,5.67,0.00
2370,-2.53,5.72,0.00
2380,-2.53,5.72,0.00
2390,-2.54,5.75,0.00
2400,-2.54,5.73,0.00
2410,-2.53,5.70,0.00
2420,-2.53,5.74,0.00
2430,-2.53,5.74,0.00
2440,-2.53,5.78,0.00
2450,-2.53,5.79,0.00
2460,-2.53,5.77,0.00
2470,-2.53,5.80,0.00
2480,-2.52,5.81,0.00
2490,-2.52,5.87,0.00
2500,-2.53,5.91,0.00
2510,-2.53,5.95,0.00
2520,-2.53,5.91,0.00
2530,-2.52,5.89,0.00
2540,-2.52,5.93,0.00
2550,-2.52,5.99,0.00
2560,-2.52,5.94,0.00
2570,-2.52,5.93,0.00
2580,-2.52,6.00,0.00
2590,-2.52,6.05,0.00
2600,-2.52,6.05,0.00
2610,-2.52,6.05,0.00
2620,-2.52,6.08,0.00
2630,-2.52,6.08,0.00
2640,-2.52,6.16,0.00
2650,-2.52,6.19,0.00
2660,-2.52,6.14,0.00
2670,-2.52,6.17,0.00
2680,-2.52,6.19,0.00
2690,-2.52,6.20,0.00
2700,-2.52,6.17,0.00
2710,-2.52,6.25,0.00
2720,-2.52,6.25,0.00
2730,-2.52,6.27,0.00
2740,-2.52,6.28,0.00
2750,-2.52,6.25,0.00
2760,-2.52,6.31,0.00
2770,-2.51,6.30,0.00
2780,-2.51,6.31,0.00
2790,-2.51,6.37,0.00
2800,-2.51,6.38,0.00
2810,-2.51,6.42,0.00
2820,-2.51,6.40,0.00
2830,-2.51,6.44,0.00
2840,-2.51,6.44,0.00
2850,-2.51,6.42,0.00
2860,-2.51,6.48,0.00
2870,-2.51,6.45,0.00
2880,-2.51,6.45,0.00
2890,-2.51,6.54,0.00
2900,-2.51,6.58,0.00
2910,-2.51,6.55,0.00
2920,-2.51,6.57,0.00
2930,-2.51,6.57,0.00
2940,-2.51,6.67,0.00
2950,-2.51,6.70,0.00
2960,-2.51,6.62,0.00
2970,-2.51,6.60,0.00
2980,-2.51,6.68,0.00
2990,-2.51,6.73,0.00
3000,-2.51,6.72,0.00
3010,-2.51,6.75,0.00
3020,-2.51,6.75,0.00
3030,-2.51,6.78,0.00
3040,-2.51,6.80,0.00
3050,-2.51,6.84,0.00
3060,-2.52,6.83,0.00
3070,-2.52,6.84,0.00
3080,-2.51,6.81,0.00
3090,-2.51,6.79,0.00
3100,-2.51,6.85,0.00
3110,-2.51,6.85,0.00
3120,-2.51,6.95,0.00
3130,-2.51,6.96,0.00
3140,-2.51,6.89,0.00
3150,-2.51,6.95,0.00
3160,-2.51,6.93,0.00
3170,-2.50,6.92,0.00
3180,-2.50,6.98,0.00
3190,-2.50,7.01,0.00
3200,-2.50,7.03,0.00
3210,-2.50,7.08,0.00
3220,-2.50,7.13,0.00
3230,-2.50,7.10,0.00
3240,-2.51,7.15,0.00
3250,-2.50,7.09,0.00
3260,-2.50,7.10,0.00
3270,-2.50,7.14,0.00
3280,-2.50,7.21,0.00
3290,-2.50,7.16,0.00
3300,-2.50,7.17,0.00
3310,-2.50,7.18,0.00
3320,-2.50,7.26,0.00
3330,-2.50,7.20,0.00
3340,-2.50,7.26,0.00
3350,-2.50,7.28,0.00
3360,-2.50,7.32,0.00
3370,-2.50,7.34,0.00
3380,-2.50,7.35,0.00
3390,-2.50,7.36,0.00
3400,-2.50,7.45,0.00
3410,-2.50,7.39,0.00
3420,-2.50,7.41,0.00
3430,-2.50,7.43,0.00
3440,-2.50,7.43,0.00
3450,-2.50,7.42,0.00
3460,-2.50,7.45,0.00
3470,-2.50,7.52,0.00
3480,-2.50,7.49,0.00
3490,-2.50,7.55,0.00
3500,-2.50,7.51,0.00
3510,-2.50,7.59,0.00
3520,-2.50,7.57,0.00
3530,-2.50,7.57,0.00
3540,-2.50,7.57,0.00
3550,-2.50,7.61,0.00
3560,-2.50,7.61,0.00
3570,-2.50,7.68,0.00
3580,-2.49,7.61,0.00
3590,-2.49,7.63,0.00
3600,-2.49,7.67,0.00
3610,-2.49,7.72,0.00
3620,-2.49,7.77,0.00
3630,-2.49,7.75,0.00
3640,-2.49,7.81,0.00
3650,-2.50,7.85,0.00
3660,-2.50,7.82,0.00
3670,-2.50,7.83,0.00
3680,-2.50,7.82,0.00
3690,-2.50,7.89,0.00
3700,-2.50,7.90,0.00
3710,-2.50,7.90,0.00
3720,-2.50,7.95,0.00
3730,-2.50,7.91,0.00
3740,-2.50,7.94,0.00
3750,-2.50,7.91,0.00
3760,-2.50,7.97,0.00
3770,-2.50,8.03,0.00
3780,-2.50,8.05,0.00
3790,-2.50,8.01,0.00
3800,-2.50,8.02,0.00
3810,-2.50,8.04,0.00
3820,-2.50,8.07,0.00
3830,-2.50,8.08,0.00
3840,-2.50,8.06,0.00
3850,-2.50,8.08,0.00
3860,-2.50,8.10,0.00
3870,-2.50,8.15,0.00
3880,-2.50,8.18,0.00
3890,-2.50,8.24,0.00
3900,-2.50,8.27,0.00
3910,-2.50,8.21,0.00
3920,-2.50,8.21,0.00
3930,-2.50,8.25,0.00
3940,-2.50,8.29,0.00
3950,-2.50,8.35,0.00
3960,-2.51,8.36,0.00
3970,-2.51,8.35,0.00
3980,-2.51,8.36,0.00
3990,-2.51,8.37,0.00
4000,-2.51,8.37,0.00
4010,-2.51,8.41,0.00
4020,-2.51,8.39,0.00
4030,-2.51,8.42,0.00
4040,-2.51,8.43,0.00
4050,-2.51,8.48,0.00
4060,-2.51,8.50,0.00
4070,-2.51,8.55,0.00
4080,-2.51,8.54,0.00
4090,-2.52,8.56,0.00
4100,-2.51,8.50,0.00
4110,-2.51,8.55,0.00
4120,-2.51,8.53,0.00
4130,-2.51,8.52,0.00
4140,-2.51,8.65,0.00
4150,-2.51,8.65,0.00
4160,-2.51,8.61,0.00
4170,-2.51,8.68,0.00
4180,-2.51,8.70,0.00
4190,-2.51,8.65,0.00
4200,-2.51,8.71,0.00
4210,-2.51,8.73,0.00
4220,-2.51,8.74,0.00
4230,-2.51,8.78,0.00
4240,-2.51,8.76,0.00
4250,-2.51,8.81,0.00
4260,-2.51,8.81,0.00
4270,-2.51,8.80,0.00
4280,-2.51,8.80,0.00
4290,-2.50,8.82,0.00
4300,-2.51,8.90,0.00
4310,-2.51,8.88,0.00
4320,-2.51,8.90,0.00
4330,-2.50,8.86,0.00
4340,-2.50,8.93,0.00
4350,-2.50,8.91,0.00
4360,-2.50,8.96,0.00
4370,-2.50,9.00,0.00
4380,-2.50,8.99,0.00
4390,-2.50,9.03,0.00
4400,-2.50,9.05,0.00
4410,-2.50,9.12,0.00
4420,-2.50,9.05,0.00
4430,-2.51,9.16,0.00
4440,-2.51,9.14,0.00
4450,-2.51,9.18,0.00
4460,-2.51,9.11,0.00
4470,-2.51,9.16,0.00
4480,-2.51,9.19,0.00
