tempo_ms,angulo_deg,u_pct,referencia
11,-2.86,58.92,0.00
21,-2.86,1.66,0.00
31,-2.85,1.44,0.00
41,-2.84,1.63,0.00
51,-2.84,1.72,0.00
61,-2.85,1.91,0.00
71,-2.84,1.58,0.00
81,-2.83,1.48,0.00
91,-2.82,1.65,0.00
101,-2.83,1.97,0.00
111,-2.82,1.71,0.00
121,-2.80,1.50,0.00
131,-2.79,1.56,0.00
141,-2.80,2.03,0.00
151,-2.80,1.94,0.00
161,-2.79,1.81,0.00
171,-2.77,1.44,0.00
181,-2.76,1.81,0.00
191,-2.79,2.47,0.00
201,-2.80,2.16,0.00
211,-2.78,1.65,0.00
221,-2.76,1.52,0.00
231,-2.78,2.44,0.00
241,-2.79,2.26,0.00
251,-2.78,1.91,0.00
261,-2.76,1.65,0.00
271,-2.78,2.48,0.00
281,-2.79,2.31,0.00
291,-2.77,1.88,0.00
301,-2.75,1.57,0.00
311,-2.75,2.21,0.00
321,-2.77,2.68,0.00
331,-2.77,2.21,0.00
341,-2.75,1.83,0.00
351,-2.74,1.96,0.00
361,-2.75,2.47,0.00
371,-2.75,2.36,0.00
381,-2.76,2.32,0.00
391,-2.75,2.15,0.00
401,-2.74,2.24,0.00
411,-2.74,2.33,0.00
421,-2.72,1.86,0.00
431,-2.72,2.37,0.00
441,-2.73,2.56,0.00
451,-2.74,2.58,0.00
461,-2.72,2.15,0.00
471,-2.70,1.89,0.00
481,-2.69,2.39,0.00
491,-2.71,2.85,0.00
501,-2.72,2.57,0.00
511,-2.69,1.90,0.00
521,-2.68,2.28,0.00
531,-2.70,3.01,0.00
541,-2.71,2.83,0.00
551,-2.69,2.13,0.00
561,-2.68,2.28,0.00
571,-2.68,2.65,0.00
581,-2.69,2.82,0.00
591,-2.68,2.31,0.00
601,-2.66,2.27,0.00
611,-2.66,2.75,0.00
621,-2.67,2.75,0.00
631,-2.66,2.49,0.00
641,-2.64,2.41,0.00
651,-2.64,2.70,0.00
661,-2.65,2.91,0.00
671,-2.66,2.88,0.00
681,-2.65,2.53,0.00
691,-2.63,2.47,0.00
701,-2.63,2.79,0.00
711,-2.65,3.13,0.00
721,-2.64,2.76,0.00
731,-2.62,2.41,0.00
741,-2.61,2.57,0.00
751,-2.60,2.72,0.00
761,-2.61,3.08,0.00
771,-2.59,2.49,0.00
781,-2.57,2.56,0.00
791,-2.59,3.21,0.00
801,-2.60,3.28,0.00
811,-2.59,2.63,0.00
821,-2.56,2.47,0.00
831,-2.58,3.27,0.00
841,-2.60,3.55,0.00
851,-2.60,2.92,0.00
861,-2.58,2.60,0.00
871,-2.60,3.54,0.00
881,-2.60,3.08,0.00
891,-2.58,2.71,0.00
901,-2.59,3.27,0.00
911,-2.60,3.41,0.00
921,-2.59,2.96,0.00
931,-2.59,3.16,0.00
941,-2.59,3.18,0.00
951,-2.58,2.96,0.00
961,-2.58,3.26,0.00
971,-2.56,2.84,0.00
981,-2.58,3.64,0.00
991,-2.58,3.20,0.00
1001,-2.56,2.94,0.00
1011,-2.58,3.59,0.00
1021,-2.57,3.23,0.00
1031,-2.56,3.11,0.00
1041,-2.56,3.36,0.00
1051,-2.57,3.50,0.00
1061,-2.58,3.65,0.00
1071,-2.57,3.20,0.00
1081,-2.57,3.42,0.00
1091,-2.59,3.83,0.00
1101,-2.59,3.47,0.00
1111,-2.59,3.31,0.00
1121,-2.59,3.63,0.00
1131,-2.59,3.48,0.00
1141,-2.59,3.47,0.00
1151,-2.58,3.40,0.00
1161,-2.58,3.46,0.00
1171,-2.58,3.68,0.00
1181,-2.58,3.51,0.00
1191,-2.58,3.56,0.00
1201,-2.58,3.69,0.00
1211,-2.58,3.73,0.00
1221,-2.58,3.61,0.00
1231,-2.58,3.62,0.00
1241,-2.58,3.61,0.00
1251,-2.57,3.67,0.00
1261,-2.57,3.72,0.00
1271,-2.58,3.83,0.00
1281,-2.58,3.72,0.00
1291,-2.58,3.77,0.00
1301,-2.57,3.73,0.00
1311,-2.57,3.72,0.00
1321,-2.56,3.73,0.00
1331,-2.56,3.72,0.00
1341,-2.56,3.80,0.00
1351,-2.56,3.88,0.00
1361,-2.55,3.84,0.00
1371,-2.56,3.92,0.00
1381,-2.55,3.84,0.00
1391,-2.55,3.90,0.00
1401,-2.55,3.94,0.00
1411,-2.55,3.94,0.00
1421,-2.55,3.93,0.00
1431,-2.54,3.97,0.00
1441,-2.54,3.99,0.00
1451,-2.54,4.01,0.00
1461,-2.54,4.04,0.00
1471,-2.54,4.00,0.00
1481,-2.54,4.12,0.00
1491,-2.54,4.13,0.00
1501,-2.54,4.13,0.00
1511,-2.55,4.20,0.00
1521,-2.55,4.19,0.00
1531,-2.55,4.21,0.00
1541,-2.55,4.21,0.00
1551,-2.55,4.21,0.00
1561,-2.55,4.24,0.00
1571,-2.55,4.22,0.00
1581,-2.55,4.27,0.00
1591,-2.55,4.27,0.00
1601,-2.56,4.30,0.00
1611,-2.55,4.28,0.00
1621,-2.55,4.30,0.00
1631,-2.55,4.33,0.00
1641,-2.55,4.35,0.00
1651,-2.55,4.33,0.00
1661,-2.55,4.35,0.00
1671,-2.55,4.37,0.00
1681,-2.55,4.44,0.00
1691,-2.55,4.48,0.00
1701,-2.55,4.48,0.00
1711,-2.55,4.48,0.00
1721,-2.55,4.53,0.00
1731,-2.55,4.51,0.00
1741,-2.55,4.45,0.00
1751,-2.55,4.52,0.00
1761,-2.55,4.55,0.00
1771,-2.55,4.59,0.00
1781,-2.55,4.59,0.00
1791,-2.55,4.61,0.00
1801,-2.55,4.57,0.00
1811,-2.54,4.60,0.00
1821,-2.54,4.61,0.00
1831,-2.54,4.66,0.00
1841,-2.54,4.70,0.00
1851,-2.54,4.74,0.00
1861,-2.54,4.71,0.00
1871,-2.54,4.67,0.00
1881,-2.54,4.70,0.00
1891,-2.54,4.80,0.00
1901,-2.54,4.86,0.00
1911,-2.54,4.85,0.00
1921,-2.54,4.82,0.00
1931,-2.54,4.81,0.00
1941,-2.54,4.82,0.00
1951,-2.54,4.88,0.00
1961,-2.54,4.87,0.00
1971,-2.54,4.88,0.00
1981,-2.54,4.97,0.00
1991,-2.54,4.93,0.00
2001,-2.54,4.94,0.00
2011,-2.54,4.98,0.00
2021,-2.54,5.06,0.00
2031,-2.55,5.07,0.00
2041,-2.55,5.06,0.00
2051,-2.55,5.08,0.00
2061,-2.55,5.10,0.00
2071,-2.55,5.08,0.00
2081,-2.55,5.07,0.00
2091,-2.55,5.13,0.00
2101,-2.55,5.13,0.00
2111,-2.55,5.15,0.00
2121,-2.55,5.15,0.00
2131,-2.55,5.18,0.00
2141,-2.55,5.21,0.00
2151,-2.55,5.21,0.00
2161,-2.55,5.23,0.00
2171,-2.55,5.25,0.00
2181,-2.55,5.24,0.00
2191,-2.55,5.27,0.00
2201,-2.55,5.29,0.00
2211,-2.55,5.35,0.00
2221,-2.55,5.32,0.00
2231,-2.55,5.37,0.00
2241,-2.55,5.36,0.00
2251,-2.55,5.38,0.00
2261,-2.55,5.42,0.00
2271,-2.55,5.43,0.00
2281,-2.55,5.44,0.00
2291,-2.55,5.49,0.00
2301,-2.55,5.50,0.00
2311,-2.55,5.52,0.00
2321,-2.56,5.55,0.00
2331,-2.56,5.54,0.00
2341,-2.56,5.59,0.00
2351,-2.56,5.59,0.00
2361,-2.56,5.57,0.00
2371,-2.56,5.63,0.00
2381,-2.56,5.63,0.00
2391,-2.56,5.69,0.00
2401,-2.57,5.69,0.00
2411,-2.57,5.65,0.00
2421,-2.56,5.65,0.00
2431,-2.56,5.68,0.00
2441,-2.56,5.69,0.00
2451,-2.56,5.74,0.00
2461,-2.56,5.78,0.00
2471,-2.56,5.77,0.00
2481,-2.56,5.78,0.00
2491,-2.56,5.83,0.00
2501,-2.56,5.80,0.00
2511,-2.56,5.81,0.00
2521,-2.56,5.83,0.00
2531,-2.56,5.85,0.00
2541,-2.56,5.85,0.00
2551,-2.56,5.84,0.00
2561,-2.56,5.92,0.00
2571,-2.56,5.94,0.00
2581,-2.56,5.93,0.00
2591,-2.55,5.95,0.00
2601,-2.55,5.96,0.00
2611,-2.55,5.98,0.00
2621,-2.55,6.00,0.00
2631,-2.55,6.08,0.00
2641,-2.56,6.12,0.00
2651,-2.56,6.05,0.00
2661,-2.55,6.05,0.00
2671,-2.56,6.13,0.00
2681,-2.55,6.08,0.00
2691,-2.55,6.10,0.00
