tempo_ms,angulo_deg,u_pct,referencia
12,-1.16,50.12,45.00
23,-1.16,27.17,45.00
32,-1.16,27.48,45.00
42,-1.16,27.82,45.00
52,-1.16,28.08,45.00
63,-1.15,28.26,45.00
72,-1.13,28.29,45.00
82,-1.06,27.55,45.00
92,-1.04,28.99,45.00
103,-1.03,29.31,45.00
113,-1.02,29.70,45.00
122,-1.01,29.98,45.00
132,-1.01,30.47,45.00
142,-1.00,30.64,45.00
153,-0.99,30.89,45.00
162,-0.98,31.12,45.00
172,-0.97,31.47,45.00
182,-0.93,31.11,45.00
193,-0.91,31.92,45.00
203,-0.88,32.05,45.00
212,-0.86,32.28,45.00
222,-0.82,32.37,45.00
233,-0.76,32.14,45.00
243,-0.70,32.55,45.00
252,-0.62,32.26,45.00
262,-0.52,32.27,45.00
272,-0.41,32.07,45.00
283,-0.29,32.34,45.00
293,-0.16,32.16,45.00
302,0.02,31.54,45.00
312,0.22,31.11,45.00
323,0.46,30.63,45.00
333,0.67,31.45,45.00
343,0.87,31.70,45.00
352,1.10,31.37,45.00
363,1.35,30.98,45.00
373,1.65,30.25,45.00
383,1.99,29.43,45.00
392,2.37,28.63,45.00
403,2.76,28.68,45.00
413,3.13,29.03,45.00
423,3.49,29.35,45.00
433,3.83,29.72,45.00
442,4.18,29.68,45.00
453,4.55,29.38,45.00
463,4.96,28.42,45.00
473,5.42,27.55,45.00
482,5.91,26.99,45.00
493,6.39,27.14,45.00
503,6.85,27.50,45.00
513,7.24,28.85,45.00
522,7.52,31.12,45.00
533,8.14,24.31,45.00
543,8.66,26.24,45.00
553,9.29,23.92,45.00
563,9.77,26.94,45.00
573,10.24,26.95,45.00
583,10.82,24.75,45.00
593,11.35,25.63,45.00
603,11.91,24.92,45.00
613,12.46,25.15,45.00
623,13.02,24.58,45.00
633,13.60,24.15,45.00
643,14.14,25.09,45.00
653,14.66,25.05,45.00
663,15.17,25.37,45.00
673,15.70,24.69,45.00
683,16.27,23.90,45.00
693,16.83,23.96,45.00
704,17.38,24.00,45.00
713,17.88,24.85,45.00
723,18.38,24.81,45.00
733,18.87,24.87,45.00
744,19.37,24.49,45.00
754,19.88,24.21,45.00
763,20.39,23.96,45.00
773,20.88,24.36,45.00
783,21.35,24.67,45.00
794,21.80,25.01,45.00
803,22.24,25.09,45.00
813,22.67,25.14,45.00
823,23.10,25.08,45.00
834,23.52,24.97,45.00
844,23.93,25.23,45.00
853,24.31,25.75,45.00
863,24.68,25.91,45.00
874,25.03,26.28,45.00
884,25.38,26.14,45.00
893,25.72,26.30,45.00
903,26.07,26.05,45.00
914,26.38,26.72,45.00
924,26.67,27.03,45.00
934,26.93,27.61,45.00
943,27.20,27.55,45.00
953,27.44,27.96,45.00
964,27.69,27.86,45.00
974,27.90,28.57,45.00
983,28.11,28.48,45.00
993,28.29,29.17,45.00
1004,28.47,29.30,45.00
1014,28.62,29.74,45.00
1024,28.78,29.56,45.00
1033,28.92,30.13,45.00
1044,29.04,30.39,45.00
1054,29.15,30.71,45.00
1064,29.24,31.26,45.00
1074,29.30,31.77,45.00
1087,29.36,31.99,45.00
1094,29.41,32.20,45.00
1104,29.46,32.19,45.00
1114,29.51,32.43,45.00
1123,29.51,33.35,45.00
1134,29.50,33.81,45.00
1144,29.50,33.60,45.00
1154,29.53,33.21,45.00
1164,29.56,33.15,45.00
1174,29.58,33.62,45.00
1184,29.54,34.71,45.00
1194,29.49,35.27,45.00
1204,29.42,35.61,45.00
1214,29.36,35.78,45.00
1224,29.27,36.42,45.00
1234,29.22,35.71,45.00
1244,29.17,35.81,45.00
1255,29.14,35.64,45.00
1264,29.09,36.09,45.00
1274,29.05,36.01,45.00
1284,29.03,35.97,45.00
1294,29.01,35.75,45.00
1304,29.01,35.77,45.00
1314,29.01,35.67,45.00
1324,29.01,35.68,45.00
1334,29.01,36.00,45.00
1345,28.99,36.47,45.00
1354,28.98,36.35,45.00
1364,28.98,36.30,45.00
1374,28.99,36.15,45.00
1385,29.00,36.23,45.00
1395,29.01,36.30,45.00
1404,29.02,36.49,45.00
1414,29.05,36.15,45.00
1424,29.10,35.93,45.00
1435,29.14,36.06,45.00
1444,29.17,36.30,45.00
1454,29.21,36.39,45.00
1464,29.26,36.05,45.00
1475,29.33,35.92,45.00
1485,29.38,36.22,45.00
1494,29.43,36.51,45.00
1504,29.48,36.34,45.00
1515,29.56,36.04,45.00
1525,29.64,35.95,45.00
1534,29.66,37.23,45.00
1544,29.70,36.82,45.00
1555,29.72,37.49,45.00
1565,29.76,37.10,45.00
1575,29.73,38.54,45.00
1584,29.61,40.57,45.00
1594,29.65,37.51,45.00
1605,29.73,36.74,45.00
1615,29.69,39.19,45.00
1624,29.68,38.82,45.00
1634,29.77,36.83,45.00
1645,29.86,36.89,45.00
1655,29.97,36.37,45.00
1665,30.10,36.24,45.00
1674,30.21,36.41,45.00
1685,30.34,36.15,45.00
1695,30.48,35.97,45.00
1705,30.61,36.29,45.00
1715,30.75,36.07,45.00
1725,30.89,35.95,45.00
1735,31.00,36.78,45.00
1745,32.18,14.57,45.00
1755,32.31,35.65,45.00
1764,32.40,36.55,45.00
1775,32.51,36.15,45.00
1785,32.63,36.03,45.00
1795,32.71,36.75,45.00
1805,32.79,36.77,45.00
1815,32.85,37.27,45.00
1825,32.99,35.67,45.00
1835,33.07,36.91,45.00
1845,33.19,35.96,45.00
1855,33.28,36.85,45.00
1865,33.39,36.39,45.00
1875,33.52,35.93,45.00
1885,33.67,35.45,45.00
1896,33.75,36.97,45.00
1905,33.88,35.91,45.00
1915,34.03,35.70,45.00
1925,34.16,35.93,45.00
