tempo_ms,angulo_deg,u_pct,referencia
12,-1.45,56.09,45.00
23,-1.45,27.38,45.00
33,-1.45,27.64,45.00
43,-1.45,27.99,45.00
55,-2.01,39.90,45.00
62,-2.03,29.28,45.00
73,-2.05,29.67,45.00
83,-2.05,29.60,45.00
93,-2.03,29.47,45.00
103,-2.02,30.08,45.00
113,-2.02,30.41,45.00
123,-2.02,30.72,45.00
133,-1.99,30.62,45.00
143,-1.96,30.89,45.00
153,-2.52,43.11,45.00
163,-2.47,31.34,45.00
173,-2.43,31.93,45.00
183,-2.37,31.69,45.00
194,-2.31,31.99,45.00
203,-2.25,32.28,45.00
213,-2.16,31.82,45.00
223,-2.05,31.88,45.00
234,-1.93,31.71,45.00
243,-1.76,31.07,45.00
253,-1.56,30.71,45.00
263,-1.36,30.67,45.00
273,-1.16,31.07,45.00
284,-0.96,31.22,45.00
293,-0.74,31.08,45.00
303,-0.50,30.67,45.00
313,-0.21,29.94,45.00
324,0.12,29.18,45.00
334,0.46,28.97,45.00
343,0.81,29.06,45.00
353,1.15,29.27,45.00
364,1.48,29.56,45.00
374,1.83,29.20,45.00
383,2.21,28.85,45.00
393,2.62,28.13,45.00
403,3.07,27.41,45.00
414,3.53,27.22,45.00
424,3.98,27.38,45.00
433,4.43,27.30,45.00
443,4.90,27.07,45.00
454,5.40,26.50,45.00
464,5.91,26.11,45.00
473,6.42,26.17,45.00
483,6.93,25.99,45.00
494,7.48,25.16,45.00
504,8.04,25.07,45.00
514,8.59,25.07,45.00
523,9.15,24.77,45.00
534,9.71,24.65,45.00
544,10.27,24.56,45.00
554,10.86,23.86,45.00
564,11.44,24.04,45.00
573,12.00,24.28,45.00
584,12.57,23.90,45.00
594,13.13,24.03,45.00
604,13.70,23.79,45.00
613,14.26,23.70,45.00
624,14.84,23.42,45.00
634,15.39,23.60,45.00
644,15.95,23.51,45.00
654,16.51,23.28,45.00
664,17.06,23.44,45.00
674,17.61,23.19,45.00
684,18.14,23.40,45.00
694,18.68,23.29,45.00
704,19.20,23.33,45.00
714,19.72,23.37,45.00
724,20.22,23.56,45.00
734,20.71,23.73,45.00
743,21.18,23.83,45.00
754,21.66,23.71,45.00
764,22.12,23.94,45.00
774,22.57,24.01,45.00
784,23.00,24.24,45.00
794,23.42,24.40,45.00
804,23.83,24.46,45.00
