tempo_ms,angulo_deg,u_pct,referencia
0,2.7,-1.6054947800000003,0.0
10,2.65,-0.8004026199999994,0.0
20,2.61,-0.5892183449999946,0.0
30,2.57,-0.7835279549999994,0.0
40,2.48,-0.7775716849999994,0.0
50,2.44,0.257781639999997,0.0
60,2.4,-0.7353979799999992,0.0
70,2.37,-0.7283117199999993,0.0
80,2.33,-0.926785815000004,0.0
90,2.29,-0.7192342649999994,0.0
100,2.25,-0.7114168349999992,0.0
110,2.18,-0.7033335249999992,0.0
120,2.15,-0.0775056300000034,0.0
130,2.11,-0.874517384999995,0.0
140,2.08,-0.6655034949999994,0.0
150,2.05,-0.8620499600000038,0.0
160,1.98,-0.8583970149999951,0.0
170,1.95,-0.0312397200000031,0.0
180,1.92,-0.8269220749999993,0.0
190,1.89,-0.8224050199999995,0.0
200,1.86,-0.8176885549999995,0.0
210,1.83,-0.8127726800000039,0.0
220,1.8,-0.8076573949999994,0.0
230,1.77,-0.8023426999999994,0.0
240,1.74,-0.7968285949999994,0.0
250,1.72,-0.7911150799999995,0.0
260,1.69,-0.9910283899999996,0.0
270,1.67,-0.7849825249999993,0.0
280,1.64,-0.9845634849999996,0.0
290,1.61,-0.7781852699999994,0.0
300,1.59,-0.771607645000004,0.0
310,1.56,-0.9706568449999996,0.0
320,1.54,-0.7637468699999994,0.0
330,1.52,-0.9624637199999996,0.0
340,1.5,-0.9610476299999996,0.0
350,1.47,-0.9594985999999996,0.0
360,1.45,-0.7519903949999995,0.0
370,1.43,-0.9501090149999996,0.0
380,1.41,-0.9480946949999997,0.0
390,1.37,-0.9459474349999994,0.0
400,1.35,-0.5320147650000038,0.0
410,1.34,-0.9294686849999996,0.0
420,1.32,-1.1326158999999998,0.0
430,1.3,-0.9298704099999996,0.0
440,1.28,-0.9269919799999996,0.0
450,1.27,-0.9239806099999996,0.0
460,1.26,-1.1266625349999997,0.0
470,1.24,-1.1292779899999998,0.0
480,1.22,-0.9260007399999995,0.0
490,1.21,-0.9225905499999992,0.0
500,1.19,-1.1248736549999996,0.0
510,1.17,-0.9212640549999996,0.0
520,1.16,-0.9175215149999992,0.0
530,1.13,-1.1194722699999995,0.0
540,1.12,-0.7097040849999994,0.0
550,1.11,-1.1113889600000042,0.0
560,1.1,-1.113007365,0.0
570,1.09,-1.1145592999999998,0.0
580,1.08,-1.1160447649999998,0.0
590,1.07,-1.1174637599999997,0.0
600,1.06,-1.118816285,0.0
610,1.03,-1.12010234,0.0
620,1.02,-0.7096694549999993,0.0
630,1.0,-1.1106896299999995,0.0
640,0.99,-0.9058170999999996,0.0
650,0.98,-1.1066378649999995,0.0
660,0.97,-1.1073921599999996,0.0
670,0.96,-1.1080799849999996,0.0
680,0.96,-1.1087013399999996,0.0
690,0.94,-1.3150824599999995,0.0
700,0.94,-0.9098111099999991,0.0
710,0.93,-1.3160592899999997,0.0
720,0.92,-1.116481235000002,0.0
730,0.89,-1.1168367099999998,0.0
740,0.88,-0.7054732449999994,0.0
750,0.87,-1.1055628399999995,0.0
760,0.86,-1.1055859649999995,0.0
770,0.86,-1.1055426199999996,0.0
780,0.85,-1.31125904,0.0
790,0.84,-1.1111492249999997,0.0
800,0.84,-1.1109729399999997,0.0
810,0.83,-1.3165564199999995,0.0
820,0.82,-1.1163136649999996,0.0
830,0.81,-1.1160044399999995,0.0
840,0.8,-1.115628745000002,0.0
850,0.79,-1.1151865799999996,0.0
860,0.78,-1.1146779449999995,0.0
870,0.77,-1.1141028399999997,0.0
880,0.76,-1.1134612649999998,0.0
890,0.76,-1.1127532199999997,0.0
900,0.75,-1.3178049399999998,0.0
910,0.74,-1.1170304249999996,0.0
920,0.73,-1.1161894399999994,0.0
930,0.72,-1.1152819849999995,0.0
940,0.71,-1.1143080599999995,0.0
950,0.71,-1.1132676649999995,0.0
960,0.7,-1.3179870349999998,0.0
970,0.7,-1.1168801699999995,0.0
980,0.69,-1.3215330699999996,0.0
990,0.69,-1.1203597349999996,0.0
1000,0.68,-1.3249461649999996,0.0
1010,0.67,-1.1237063600000017,0.0
1020,0.66,-1.1224000849999995,0.0
1030,0.66,-1.1210273399999997,0.0
1040,0.65,-1.32541436,0.0
1050,0.65,-1.1239751449999995,0.0
1060,0.64,-1.3282956949999998,0.0
1070,0.64,-1.1267900099999997,0.0
1080,0.64,-1.3310440899999998,0.0
1090,0.63,-1.33529817,0.0
1100,0.63,-1.1337260149999997,0.0
1110,0.62,-1.337913625,0.0
1120,0.62,-1.1362749999999997,0.0
1130,0.61,-1.34039614,0.0
1140,0.61,-1.1386910449999996,0.0
1150,0.6,-1.342745715,0.0
1160,0.6,-1.1409741499999997,0.0
1170,0.59,-1.34496235,0.0
1180,0.59,-1.1431243149999997,0.0
1190,0.59,-1.347046045,0.0
1200,0.58,-1.350967775,0.0
1210,0.58,-1.1490632699999996,0.0
1220,0.58,-1.3529185299999995,0.0
1230,0.58,-1.3567737899999996,0.0
1240,0.58,-1.3606290499999996,0.0
1250,0.57,-1.3644843099999997,0.0
1260,0.57,-1.1625133349999994,0.0
1270,0.57,-1.3663021249999996,0.0
1280,0.57,-1.3700909149999996,0.0
