tempo_ms,angulo_deg,u_pct,referencia
0,18.11,-10.0,0.0
10,17.76,-2.9187853949999703,0.0
20,17.08,-2.835244340000044,0.0
30,16.74,4.042888920000067,0.0
40,16.42,-2.672549850000001,0.0
50,16.11,-2.997381110000065,0.0
60,15.8,-3.125911564999953,0.0
70,15.5,-3.0523814500000253,0.0
80,15.21,-3.1826169999999863,0.0
90,14.92,-3.316684685000016,0.0
100,14.64,-3.248824739999982,0.0
110,14.08,-3.384863400000013,0.0
120,13.81,2.4440936800000106,0.0
130,13.55,-3.292187735000008,0.0
140,13.29,-3.432500695000005,0.0
150,13.04,-3.3710854349999675,0.0
160,12.79,-3.513768189999998,0.0
170,12.56,-3.4547891949999983,0.0
180,12.32,-3.805800920000028,0.0
190,12.09,-3.549457599999995,0.0
200,11.87,-3.6973452349999913,0.0
210,11.64,-3.849530294999987,0.0
220,11.42,-3.594426780000028,0.0
230,11.2,-3.743620689999986,0.0
240,10.99,-3.691352259999986,0.0
250,10.79,-3.8434477250000185,0.0
260,10.58,-3.999973554999977,0.0
270,10.39,-3.749343750000018,0.0
280,10.19,-4.10897054500001,0.0
290,10.0,-3.861508174999978,0.0
300,9.64,-4.018542640000009,0.0
310,9.46,-0.4752681800000111,0.0
320,9.29,-4.034473030000005,0.0
330,9.11,-4.198307654999965,0.0
340,8.94,-3.955186055000005,0.0
350,8.77,-4.116694230000001,0.0
360,8.62,-4.077072415000001,0.0
370,8.45,-4.447973079999992,0.0
380,8.3,-4.006224225,0.0
390,8.15,-4.374997850000028,0.0
400,8.01,-4.342774424999993,0.0
410,7.86,-4.515380184999988,0.0
420,7.72,-4.2812291300000105,0.0
430,7.58,-4.451907259999988,0.0
440,7.43,-4.421654810000007,0.0
450,7.29,-4.184645544999993,0.0
460,7.16,-4.352465465000007,0.0
470,7.02,-4.525181040000002,0.0
480,6.9,-4.291206269999988,0.0
490,6.64,-4.667953390000016,0.0
500,6.52,-1.762335579999986,0.0
510,6.39,-4.536556839999998,0.0
520,6.25,-4.304154225000002,0.0
530,6.12,-4.065061265000007,0.0
540,6.01,-4.230863960000002,0.0
550,5.89,-4.607455014999994,0.0
560,5.8,-4.377488664999998,0.0
570,5.72,-4.9642033800000025,0.0
580,5.62,-5.156146099999999,0.0
590,5.51,-4.735904590000008,0.0
600,5.39,-4.509172144999994,0.0
610,5.27,-4.275882294999998,0.0
620,5.07,-4.241794804999998,0.0
630,4.99,-2.560299795000015,0.0
640,4.9,-4.947390204999999,0.0
650,4.81,-4.728122620000002,0.0
660,4.73,-4.708256804999985,0.0
670,4.67,-4.893618995000017,0.0
680,4.6,-5.29010189499999,0.0
690,4.52,-5.080359739999993,0.0
700,4.44,-4.864326059999998,0.0
710,4.34,-4.847760620000017,0.0
720,4.27,-4.419010949999989,0.0
730,4.19,-5.007075284999994,0.0
740,4.11,-4.7888480950000165,0.0
750,4.03,-4.770089144999998,0.0
760,3.95,-4.750798434999998,0.0
770,3.9,-4.730975964999998,0.0
780,3.83,-5.328100439999994,0.0
790,3.76,-4.913240095000003,0.0
800,3.68,-4.897914459999994,0.0
810,3.62,-4.676297300000007,0.0
820,3.56,-5.065800849999999,0.0
830,3.53,-5.054905579999998,0.0
840,3.41,-5.6610901949999946,0.0
850,3.35,-3.8146392850000064,0.0
860,3.32,-5.002348144999998,0.0
870,3.26,-5.607136889999994,0.0
880,3.19,-4.994247519999998,0.0
890,3.14,-4.775133095000003,0.0
900,3.12,-5.167205850000003,0.0
910,3.07,-5.776424959999999,0.0
920,3.0,-5.1680324249999945,0.0
930,2.95,-4.747655070000002,0.0
940,2.93,-5.138464895000003,0.0
950,2.89,-5.746421074999999,0.0
960,2.82,-5.342591844999999,0.0
970,2.79,-4.721018029999993,0.0
980,2.68,-5.522283865000003,0.0
990,2.65,-3.876740410000001,0.0
1000,2.62,-5.477075664999993,0.0
1010,2.56,-5.477211510000002,0.0
1020,2.52,-4.859669239999997,0.0
1030,2.51,-5.253380619999998,0.0
1040,2.49,-5.864304824999994,0.0
1050,2.45,-5.669336325000007,0.0
1060,2.41,-5.262582414999998,0.0
1070,2.39,-5.255562624999998,0.0
1080,2.33,-5.659929424999999,0.0
1090,2.31,-4.840858344999998,0.0
1100,2.28,-5.644693384999998,0.0
1110,2.26,-5.442569249999994,0.0
1120,2.21,-5.646071939999999,0.0
1130,2.21,-5.0319629850000025,0.0
1140,2.16,-6.046652854999999,0.0
1150,2.11,-5.032211550000003,0.0
1160,2.09,-5.017437894999994,0.0
1170,2.08,-5.619810594999999,0.0
1180,2.05,-5.827876590000003,0.0
1190,2.03,-5.424223644999994,0.0
1200,2.0,-5.626197524999999,0.0
1210,2.0,-5.422212230000003,0.0
1220,1.99,-6.035506229999999,0.0
1230,1.94,-5.842973995,0.0
1240,1.92,-5.027070349999998,0.0
